Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"3,07 B","3,80 B","3,54 B","2,89 B","2,95 B","3,17 B","2,05 B","1,45 B","1,40 B","1,70 B","1,63 B","1,44 B","1,41 B","1,48 B","1,54 B","1,35 B","1,15 B","767,31 M","616,19 M","581,10 M","659,50 M","600,20 M","557,57 M","597,14 M",0
Custos,"-2,59 B","-3,32 B","-3,20 B","-2,39 B","-2,12 B","-2,64 B","-1,74 B","-1,14 B","-1,11 B","-1,38 B","-1,30 B","-1,10 B","-1,08 B","-1,23 B","-1,23 B","-1,05 B","-863,21 M","-1,37 B","189,05 M","-402,48 M","-423,65 M","-425,42 M","-368,90 M","-335,82 M",0
Lucro bruto,"487,45 M","482,34 M","336,69 M","495,44 M","836,27 M","521,31 M","311,39 M","313,41 M","282,89 M","327,53 M","326,24 M","340,46 M","331,84 M","255,90 M","304,82 M","300,31 M","282,05 M","-607,02 M","805,24 M","178,63 M","235,85 M","174,78 M","188,67 M","261,31 M",0
Despesas operacionais,"-582,68 M","575,34 M","-79,73 M","-485,41 M","155,19 M","-515,31 M","198,01 M","-36,99 M","216,95 M","-69,22 M","-100,77 M","-64,10 M","-18,06 M","381,35 M","89,36 M","-117,08 M","-105,65 M","-5,34 M","-98,54 M","-72,01 M","141,11 M","16,39 M","-39,16 M","74,59 M",0
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--
Despesas administrativas,"-147,55 M","-206,96 M","-144,26 M","-142,15 M","-155,60 M","-162,40 M","-110,87 M","-91,44 M","-89,36 M","-134,41 M","-108,78 M","-100,37 M","-95,96 M","-119,07 M","-93,52 M","-100,09 M","-65,65 M","-59,08 M","-38,73 M","-34,69 M","-36,09 M","-52,40 M","-35,43 M","-29,97 M",--
EBIT,"-95,23 M","1,06 B","256,96 M","10,02 M","991,46 M","6,00 M","509,40 M","276,42 M","499,84 M","258,31 M","225,46 M","276,36 M","313,78 M","637,25 M","394,19 M","183,24 M","176,40 M","-612,36 M","706,70 M","106,62 M","376,97 M","191,17 M","149,51 M","335,91 M",0
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-589,83 M","-432,04 M","-625,29 M","-644,53 M","-732,08 M","-413,64 M","-102,62 M","-136,05 M","-108,98 M","-76,24 M","-120,13 M","-24,45 M","-17,19 M","2,07 B","-53,05 M","-187,45 M","-164,44 M","-205,59 M","-151,57 M","-199,95 M","-209,93 M","-218,29 M","-222,93 M","-130,18 M",0
Antes dos impostos,"-685,06 M","625,63 M","-368,33 M","-634,50 M","259,38 M","-407,63 M","406,78 M","140,37 M","390,86 M","182,07 M","105,34 M","251,91 M","296,60 M","2,70 B","341,13 M","-4,22 M","11,96 M","-817,95 M","555,13 M","-93,33 M","167,03 M","-27,12 M","-73,42 M","205,73 M",0
Imposto,"83,45 M","-270,96 M","-35,37 M","71,65 M","-205,38 M","63,96 M","-135,95 M","-49,28 M","-137,24 M","-74,47 M","-943,45 M","-69,02 M","-66,64 M","-251,32 M","-111,05 M","2,19 M","-14,55 M","16,23 M","-238,60 M","7,11 M","-65,95 M","1,58 B","-11,56 M","-67,30 M",0
Op. continuadas,"-601,61 M","354,68 M","-403,69 M","-562,85 M","54,00 M","-343,67 M","270,83 M","91,09 M","253,62 M","107,59 M","-838,12 M","182,88 M","229,95 M","2,45 B","230,09 M","-2,03 M","-2,58 M","-801,71 M","316,53 M","-86,23 M","101,08 M","1,56 B","-84,98 M","138,43 M",0
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-601,61 M","354,68 M","-403,69 M","-562,85 M","54,00 M","-343,67 M","270,83 M","91,09 M","253,62 M","107,59 M","-838,12 M","182,88 M","229,95 M","2,45 B","230,09 M","-2,03 M","-2,58 M","-801,71 M","316,53 M","-86,23 M","101,08 M","1,56 B","-84,98 M","138,43 M",0
Dos controladores,"-621,34 M","339,90 M","-397,03 M","-615,39 M","8,50 M","-364,60 M","270,83 M","91,09 M","253,62 M","-317,69 M",0,"182,88 M",0,"2,45 B","230,09 M","-2,03 M","-6,80 M","14,45 M","82,25 M","-71,06 M","33,10 M","602,98 M","-46,55 M","58,25 M",0
Dos não controladores,"19,73 M","14,78 M","-6,66 M","52,54 M","45,50 M","20,93 M",0,0,0,0,0,0,0,0,0,0,"4,21 M","-34,19 M","234,28 M","-15,17 M","67,98 M","954,48 M","-38,43 M","80,18 M",0
