Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"1,98 B","1,95 B","1,93 B","1,89 B","1,83 B","1,83 B","1,72 B","1,65 B","1,59 B","1,55 B","1,52 B","1,49 B","1,47 B","1,47 B","1,45 B","1,45 B","1,44 B","1,47 B","1,46 B","1,45 B","1,44 B","1,45 B","1,50 B","1,21 B","1,20 B","1,10 B","1,01 B"
Ativo circulante,"618,42 M","620,26 M","627,57 M","620,36 M","572,47 M","602,48 M","542,95 M","518,08 M","493,60 M","472,35 M","452,40 M","426,99 M","416,96 M","411,10 M","398,16 M","402,32 M","382,01 M","394,55 M","409,29 M","416,39 M","454,40 M","483,02 M","593,60 M","320,19 M","321,43 M","248,76 M","261,28 M"
Caixa e eq. de caixa,"22,99 M","45,91 M","13,65 M","31,00 M","32,75 M","57,60 M","39,21 M","48,65 M","52,49 M","44,23 M","51,98 M","51,97 M","58,42 M","56,47 M","53,62 M","70,38 M","74,57 M","96,36 M","116,94 M","136,98 M","150,18 M","206,49 M","317,57 M","79,11 M","59,77 M","49,17 M","57,62 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,"114,00 Mil",0,0,0,0,0,0,0,"2,43 M",0,0,0,0,0,0,0,0,0,0
Contas a receber,"235,61 M","239,68 M","275,19 M","236,64 M","199,66 M","196,04 M","172,50 M","174,48 M","172,75 M","160,45 M","155,93 M","152,81 M","147,44 M","134,47 M","129,50 M","126,59 M","107,88 M","95,74 M","89,59 M","83,88 M","76,71 M","71,40 M","59,55 M","18,91 M","25,46 M","13,09 M","18,61 M"
Estoques,"292,70 M","277,62 M","269,34 M","282,02 M","281,18 M","280,44 M","253,55 M","222,60 M","194,99 M","189,12 M","176,38 M","161,15 M","146,69 M","155,54 M","151,41 M","147,26 M","144,89 M","140,07 M","135,25 M","129,75 M","150,29 M","131,91 M","129,76 M","127,92 M","142,13 M","129,45 M","132,20 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,36 B","1,33 B","1,31 B","1,27 B","1,26 B","1,23 B","1,18 B","1,13 B","1,10 B","1,08 B","1,07 B","1,06 B","1,06 B","1,06 B","1,05 B","1,05 B","1,06 B","1,08 B","1,05 B","1,03 B","986,40 M","971,96 M","902,53 M","887,88 M","876,54 M","846,88 M","753,61 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"591,46 M","567,99 M","551,54 M","523,53 M","509,32 M","486,94 M","453,20 M","411,00 M","378,30 M","353,42 M","340,45 M","327,37 M","324,04 M","327,79 M","311,98 M","311,63 M","318,23 M","334,46 M","337,16 M","321,16 M","271,84 M","257,11 M","221,56 M","199,94 M","192,85 M","181,40 M","51,34 M"
Intangível,"606,70 M","606,10 M","605,41 M","604,76 M","604,88 M","606,08 M","607,05 M","603,11 M","601,42 M","600,40 M","601,73 M","602,69 M","602,11 M","604,08 M","604,54 M","605,43 M","607,70 M","610,28 M","612,82 M","614,47 M","612,70 M","615,00 M","616,86 M","619,47 M","621,20 M","623,33 M","665,33 M"
Passivo total,"1,98 B","1,95 B","1,93 B","1,89 B","1,83 B","1,83 B","1,72 B","1,65 B","1,59 B","1,55 B","1,52 B","1,49 B","1,47 B","1,47 B","1,45 B","1,45 B","1,44 B","1,47 B","1,46 B","1,45 B","1,44 B","1,45 B","1,50 B","1,21 B","1,20 B","1,10 B","1,01 B"
Passivo circulante,"585,13 M","573,37 M","589,61 M","574,24 M","530,25 M","528,59 M","479,46 M","449,93 M","429,35 M","407,88 M","381,54 M","359,24 M","350,37 M","342,65 M","331,45 M","338,11 M","329,42 M","357,24 M","341,88 M","316,76 M","321,25 M","317,67 M","392,66 M","467,26 M","424,66 M","334,27 M","339,89 M"
Fornecedores,"352,58 M","359,18 M","382,91 M","390,09 M","354,68 M","374,74 M","309,30 M","294,24 M","274,91 M","273,03 M","247,04 M","230,42 M","224,19 M","222,53 M","200,52 M","196,07 M","187,35 M","187,30 M","167,66 M","148,88 M","142,05 M","133,18 M","133,21 M","104,92 M","115,30 M","113,53 M","113,70 M"
Empréstimos e financ.,"62,21 M","55,97 M","29,45 M","29,82 M","31,33 M","10,66 M","10,68 M","13,45 M","24,83 M","9,29 M","5,40 M","4,72 M","1,65 M","2,36 M","12,76 M","22,20 M","26,97 M","48,53 M","48,49 M","51,84 M","74,98 M","84,50 M","155,59 M","262,99 M","218,56 M","131,42 M","104,09 M"
Passivo não circulante,"472,82 M","456,51 M","433,95 M","416,90 M","404,33 M","409,16 M","348,12 M","318,86 M","292,48 M","269,78 M","274,47 M","270,97 M","274,57 M","278,57 M","268,25 M","267,66 M","279,46 M","275,13 M","298,41 M","305,70 M","291,85 M","301,14 M","285,17 M","291,78 M","313,56 M","295,32 M","183,43 M"
Emprést. de longo prazo,"13,02 M","15,13 M","2,81 M","4,21 M","5,61 M","28,21 M","10,89 M","9,50 M","16,16 M","17,55 M","21,43 M","22,82 M","26,57 M","26,54 M","16,86 M","17,54 M","18,21 M","2,47 M","13,75 M","23,93 M","34,80 M","46,92 M","62,76 M","79,72 M","100,42 M","87,28 M","87,43 M"
Patrimônio líquido,"920,79 M","919,28 M","909,87 M","902,30 M","896,84 M","896,71 M","893,21 M","882,86 M","871,89 M","870,86 M","861,62 M","855,83 M","847,88 M","849,49 M","846,55 M","843,22 M","830,95 M","838,14 M","823,21 M","824,76 M","827,70 M","836,16 M","818,31 M","449,02 M","459,75 M","466,05 M","491,57 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
