Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"24,74 B","24,35 B","23,70 B","20,39 B","20,12 B","18,23 B","17,90 B","17,13 B","16,52 B","16,36 B","15,06 B","14,38 B","13,73 B","13,26 B","12,39 B","11,43 B","10,46 B","9,95 B","9,21 B","8,76 B","8,18 B","8,20 B","5,76 B","5,13 B","4,34 B","4,12 B","3,39 B"
Ativo circulante,"12,95 B","12,75 B","12,39 B","11,82 B","12,58 B","10,86 B","10,93 B","10,43 B","10,00 B","10,37 B","9,31 B","9,08 B","9,02 B","8,80 B","7,89 B","7,08 B","6,43 B","6,27 B","6,21 B","6,11 B","5,82 B","6,07 B","4,00 B","3,53 B","2,89 B","2,78 B","2,54 B"
Caixa e eq. de caixa,"1,98 B","1,80 B","1,18 B","1,03 B","1,52 B","1,66 B","698,69 M","1,24 B","1,34 B","1,29 B","1,12 B","1,36 B","1,67 B","1,80 B","694,79 M","889,89 M","618,57 M","877,25 M","959,08 M","1,69 B","1,80 B","2,11 B","811,99 M","944,13 M","210,99 M","398,26 M","262,68 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"4,01 B","4,08 B","3,96 B","3,62 B","3,65 B","3,40 B","3,51 B","3,18 B","3,09 B","3,46 B","2,87 B","2,58 B","2,39 B","2,55 B","2,38 B","2,08 B","1,87 B","1,82 B","1,54 B","1,46 B","1,28 B","1,31 B","995,20 M","964,03 M","1,01 B","817,54 M","825,62 M"
Estoques,"5,22 B","5,17 B","5,73 B","6,12 B","6,41 B","4,94 B","5,96 B","5,29 B","4,96 B","5,09 B","4,94 B","4,69 B","4,44 B","3,99 B","4,67 B","3,99 B","3,80 B","3,50 B","3,49 B","2,83 B","2,64 B","2,62 B","2,09 B","1,59 B","1,57 B","1,50 B","1,40 B"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"11,78 B","11,60 B","11,31 B","8,58 B","7,53 B","7,37 B","6,97 B","6,70 B","6,52 B","5,99 B","5,75 B","5,30 B","4,70 B","4,46 B","4,50 B","4,35 B","4,03 B","3,68 B","3,00 B","2,65 B","2,36 B","2,13 B","1,76 B","1,60 B","1,45 B","1,34 B","848,90 M"
Investimentos,0,0,"55,84 M","53,81 M","55,84 M","43,14 M","43,14 M","43,16 M","43,17 M","19,24 M","1,26 M","1,26 M",0,"20,00 Mil",0,0,0,0,"150,00 Mil",0,0,0,0,0,0,0,0
Imobilizado,"9,47 B","9,40 B","9,03 B","7,43 B","6,87 B","6,42 B","6,26 B","6,08 B","6,02 B","5,58 B","5,28 B","4,84 B","4,44 B","4,22 B","4,28 B","4,15 B","3,86 B","3,49 B","2,84 B","2,51 B","2,25 B","1,94 B","1,65 B","1,43 B","1,32 B","1,21 B","704,83 M"
Intangível,"663,08 M","651,72 M","729,49 M","69,69 M","63,83 M","61,16 M","46,89 M","43,17 M","39,20 M","33,84 M","30,91 M","26,20 M","11,95 M","4,51 M","2,41 M","2,46 M","2,51 M","2,56 M","2,61 M","3,19 M","3,24 M","450,00 Mil","450,00 Mil","450,00 Mil",0,0,0
Passivo total,"24,74 B","24,35 B","23,70 B","20,39 B","20,12 B","18,23 B","17,90 B","17,13 B","16,52 B","16,36 B","15,06 B","14,38 B","13,73 B","13,26 B","12,39 B","11,43 B","10,46 B","9,95 B","9,21 B","8,76 B","8,18 B","8,20 B","5,76 B","5,13 B","4,34 B","4,12 B","3,39 B"
Passivo circulante,"7,57 B","7,30 B","6,42 B","5,05 B","5,23 B","4,67 B","5,22 B","4,75 B","4,15 B","4,24 B","3,21 B","3,04 B","2,93 B","2,75 B","2,21 B","2,37 B","1,87 B","1,65 B","1,57 B","1,53 B","1,17 B","1,36 B","1,59 B","1,35 B","1,09 B","1,01 B","1,10 B"
Fornecedores,"4,63 B","4,43 B","4,13 B","3,36 B","3,76 B","3,08 B","2,96 B","2,79 B","2,62 B","3,04 B","2,31 B","2,18 B","2,20 B","2,01 B","1,44 B","1,62 B","1,26 B","1,06 B","1,04 B","1,04 B","717,98 M","944,60 M","947,41 M","694,08 M","584,12 M","549,92 M","700,48 M"
Empréstimos e financ.,"1,54 B","1,20 B","535,23 M","248,59 M","249,08 M","420,99 M","648,72 M","639,65 M","620,13 M","465,40 M","267,28 M","269,74 M","273,99 M","273,11 M","268,80 M","265,34 M","244,04 M","233,97 M","86,36 M","157,63 M","89,71 M","128,35 M","313,18 M","304,38 M","253,67 M","254,65 M","221,09 M"
Passivo não circulante,"5,17 B","5,59 B","6,03 B","5,00 B","4,75 B","4,32 B","3,29 B","3,28 B","3,45 B","3,35 B","3,46 B","3,26 B","3,01 B","2,97 B","2,95 B","2,12 B","1,92 B","1,83 B","1,37 B","1,17 B","1,14 B","1,13 B","1,62 B","1,46 B","1,19 B","1,16 B","688,98 M"
Emprést. de longo prazo,"1,18 B","1,66 B","2,09 B","1,87 B","1,89 B","1,85 B","3,19 B","3,18 B","3,34 B","1,31 B","3,39 B","3,19 B","2,95 B","2,90 B","2,89 B","2,05 B","1,85 B","1,76 B","1,26 B","1,10 B","1,07 B","1,05 B","1,53 B","1,36 B","1,08 B","1,04 B","571,39 M"
Patrimônio líquido,"12,00 B","11,47 B","11,25 B","10,34 B","10,13 B","9,23 B","9,40 B","9,10 B","8,92 B","8,77 B","8,39 B","8,08 B","7,78 B","7,54 B","7,23 B","6,94 B","6,68 B","6,48 B","6,27 B","6,05 B","5,86 B","5,71 B","2,55 B","2,32 B","2,06 B","1,95 B","1,60 B"
Aos não controladores,"1,06 B","1,08 B","1,06 B","121,85 M","116,16 M","76,68 M","121,96 M","108,52 M","103,80 M","101,24 M","98,03 M","93,84 M","89,27 M","86,38 M","82,94 M","79,27 M","75,89 M","73,39 M","70,93 M","67,42 M","64,46 M","63,28 M","63,60 M","63,30 M","61,63 M","60,29 M","59,28 M"
