Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"9,40 B","10,55 B","10,76 B","8,78 B","8,33 B","8,73 B","8,34 B","7,64 B","7,38 B","7,54 B","6,93 B","6,43 B","5,87 B","6,06 B","5,92 B","5,20 B","4,58 B","4,44 B","4,35 B","3,72 B","3,36 B","3,64 B","3,64 B","2,71 B","2,36 B","1,78 B","2,21 B","2,03 B","2,01 B"
Custos,"-7,25 B","-8,18 B","-8,47 B","-6,76 B","-6,48 B","-6,82 B","-6,48 B","-5,93 B","-5,73 B","-5,89 B","-5,41 B","-5,03 B","-4,63 B","-4,78 B","-4,61 B","-4,03 B","-3,56 B","-3,44 B","-3,31 B","-2,86 B","-2,56 B","-2,78 B","-2,80 B","-1,99 B","-1,77 B","-1,29 B","-1,63 B","-1,53 B","-1,50 B"
Lucro bruto,"2,15 B","2,37 B","2,29 B","2,02 B","1,85 B","1,91 B","1,86 B","1,71 B","1,65 B","1,65 B","1,52 B","1,40 B","1,24 B","1,29 B","1,31 B","1,17 B","1,02 B","999,81 M","1,04 B","862,65 M","802,08 M","854,27 M","837,67 M","713,14 M","584,33 M","492,78 M","581,79 M","505,51 M","502,05 M"
Despesas operacionais,"-1,77 B","-1,92 B","-1,62 B","-1,43 B","-1,37 B","-1,36 B","-1,30 B","-1,26 B","-1,24 B","-1,11 B","-1,11 B","-987,83 M","-926,92 M","-867,28 M","-926,03 M","-847,95 M","-792,50 M","-740,34 M","-777,78 M","-647,57 M","-620,58 M","-639,57 M","-561,67 M","-477,73 M","-440,76 M","-356,58 M","-477,37 M","-404,34 M","-382,40 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-1,80 B","-1,87 B","-1,77 B","-1,43 B","-1,37 B","-1,37 B","-1,31 B","-1,24 B","-1,24 B","-1,20 B","-1,15 B","-1,06 B","-981,45 M","-992,45 M","-953,50 M","-858,25 M","-807,03 M","-748,22 M","-723,33 M","-645,36 M","-610,10 M","-637,64 M","-560,73 M","-477,75 M","-440,50 M","-346,34 M","-475,12 M","-403,25 M","-380,52 M"
EBIT,"384,59 M","453,46 M","671,06 M","591,83 M","480,64 M","540,84 M","552,76 M","457,40 M","405,45 M","542,01 M","414,03 M","413,58 M","312,99 M","421,23 M","388,19 M","326,06 M","229,81 M","259,46 M","260,12 M","215,08 M","181,50 M","214,71 M","276,00 M","235,41 M","143,56 M","136,21 M","104,42 M","101,17 M","119,65 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-222,14 M","-306,76 M","-218,55 M","-209,06 M","-181,25 M","-162,75 M","-149,82 M","-126,67 M","-132,71 M","-128,41 M","-100,05 M","-104,11 M","-72,76 M","-98,54 M","-90,80 M","-58,56 M","-29,07 M","-32,62 M","-46,70 M","-24,51 M","-24,78 M","-24,26 M","-39,09 M","-46,20 M","-35,60 M","-29,02 M","-28,77 M","-38,08 M","-15,68 M"
Antes dos impostos,"162,46 M","146,69 M","452,51 M","382,77 M","299,38 M","378,08 M","402,94 M","330,74 M","272,75 M","413,60 M","313,98 M","309,47 M","240,23 M","322,69 M","297,40 M","267,49 M","200,74 M","226,84 M","213,42 M","190,56 M","156,72 M","190,45 M","236,91 M","189,21 M","107,97 M","107,18 M","75,65 M","63,09 M","103,97 M"
Imposto,"28,46 M","196,26 M","394,06 M","-33,57 M","-23,07 M","-54,85 M","-47,68 M","-3,39 M","-32,37 M","-25,48 M","-383,00 Mil","-16,24 M","-541,00 Mil","-12,10 M","-6,53 M","-3,37 M","-1,52 M","-18,76 M",0,0,0,"2,97 M","-1,24 M",0,0,"-12,18 M",0,0,0
