Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019
Ativo total,"1,26 B","1,19 B","1,45 B","1,44 B","1,50 B","1,46 B","1,39 B","1,41 B","1,41 B","1,35 B","1,39 B","1,39 B","1,47 B","1,64 B","1,69 B","1,73 B","1,31 B","1,49 B","1,53 B","1,09 B","1,03 B","911,31 M","615,75 M"
Ativo circulante,"708,81 M","587,45 M","724,58 M","710,30 M","729,87 M","643,34 M","507,01 M","576,00 M","584,30 M","543,22 M","613,21 M","644,88 M","718,16 M","929,12 M","991,93 M","1,10 B","701,25 M","890,39 M","953,16 M","544,75 M","533,92 M","457,15 M","334,25 M"
Caixa e eq. de caixa,"270,98 M","171,98 M","205,25 M","131,97 M","144,61 M","102,03 M","52,77 M","75,32 M","95,71 M","101,96 M","98,50 M","72,26 M","134,22 M","152,47 M","179,69 M","229,06 M","16,90 M","38,47 M","174,45 M","22,58 M","31,34 M","37,78 M","28,23 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"246,70 M","237,12 M","306,91 M","332,69 M","334,29 M","317,75 M","209,43 M","250,66 M","237,09 M","220,15 M","224,74 M","209,54 M","211,04 M","195,94 M","142,97 M","157,99 M","128,87 M","163,72 M","187,43 M","179,61 M","162,45 M","162,58 M","111,37 M"
Estoques,"154,15 M","147,18 M","172,97 M","204,19 M","199,72 M","169,60 M","202,50 M","207,04 M","208,12 M","179,43 M","228,82 M","284,65 M","289,85 M","310,03 M","251,13 M","302,46 M","286,16 M","259,36 M","201,46 M","215,42 M","240,77 M","138,78 M","167,81 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"553,81 M","600,57 M","721,00 M","727,82 M","773,71 M","812,10 M","887,91 M","838,21 M","822,21 M","809,83 M","775,87 M","747,59 M","749,65 M","709,50 M","700,68 M","627,87 M","612,67 M","601,45 M","579,82 M","541,42 M","495,25 M","454,16 M","281,50 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"243,59 M","262,84 M","317,88 M","345,20 M","374,34 M","388,07 M","391,24 M","394,38 M","400,66 M","412,86 M","423,44 M","435,49 M","449,42 M","444,84 M","445,61 M","418,71 M","417,83 M","419,20 M","413,68 M","396,31 M","370,85 M","345,93 M","239,25 M"
Intangível,"75,22 M","80,67 M","88,41 M","92,25 M","100,88 M","104,79 M","105,73 M","105,81 M","103,60 M","108,41 M","104,22 M","105,39 M","107,28 M","80,20 M","77,30 M","61,51 M","59,70 M","56,85 M","54,67 M","50,15 M","44,37 M","37,97 M","16,36 M"
Passivo total,"1,26 B","1,19 B","1,45 B","1,44 B","1,50 B","1,46 B","1,39 B","1,41 B","1,41 B","1,35 B","1,39 B","1,39 B","1,47 B","1,64 B","1,69 B","1,73 B","1,31 B","1,49 B","1,53 B","1,09 B","1,03 B","911,31 M","615,75 M"
Passivo circulante,"379,37 M","350,00 M","393,08 M","372,87 M","413,81 M","365,51 M","257,35 M","226,32 M","246,10 M","198,43 M","223,24 M","224,11 M","282,22 M","421,97 M","417,99 M","421,06 M","452,81 M","591,30 M","563,13 M","538,26 M","578,39 M","448,85 M","285,58 M"
Fornecedores,"50,06 M","58,37 M","84,84 M","83,47 M","105,83 M","108,79 M","104,42 M","114,33 M","127,61 M","96,10 M","68,64 M","79,61 M","86,38 M","142,11 M","90,79 M","95,08 M","111,22 M","199,44 M","161,50 M","137,69 M","209,33 M","149,07 M","104,97 M"
Empréstimos e financ.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"297,12 M","271,04 M",0,0
Passivo não circulante,"411,61 M","371,67 M","409,21 M","419,87 M","426,92 M","424,08 M","483,89 M","537,51 M","519,72 M","519,51 M","520,95 M","525,28 M","545,68 M","568,86 M","626,72 M","669,81 M","230,80 M","271,06 M","353,69 M","382,01 M","311,29 M","332,50 M","255,96 M"
Emprést. de longo prazo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"373,79 M","308,56 M",0,0
Patrimônio líquido,"471,65 M","466,36 M","643,29 M","645,38 M","662,86 M","665,85 M","653,67 M","650,38 M","640,70 M","635,11 M","644,88 M","643,08 M","639,91 M","647,79 M","647,90 M","639,50 M","630,31 M","629,47 M","616,16 M","165,91 M","139,50 M","129,96 M","74,21 M"
Aos não controladores,"589,00 Mil","846,00 Mil","715,00 Mil","659,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
