Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,4T2022
Ativo total,"8,44 B","8,43 B","8,48 B","8,63 B","8,86 B","8,91 B","3,98 B","3,98 B","3,93 B","7,63 B","2,01 B"
Ativo circulante,"4,72 B","4,67 B","4,70 B","4,84 B","5,25 B","5,36 B","2,94 B","3,02 B","2,96 B","4,74 B","1,63 B"
Caixa e eq. de caixa,"381,58 M","264,82 M","316,83 M","146,97 M","223,35 M","78,74 M","27,10 M","18,86 M","11,03 M","115,15 M","23,71 M"
Aplicações financeiras,"106,62 M","1,40 M","104,66 M","126,66 M","624,93 M","757,90 M","605,27 M","613,00 M","691,54 M","686,51 M","276,31 M"
Contas a receber,"870,68 M","736,33 M","718,96 M","766,02 M","640,96 M","750,50 M","371,25 M","433,46 M","391,34 M","649,48 M","583,79 M"
Estoques,"2,33 B","2,60 B","2,59 B","2,80 B","2,81 B","2,96 B","1,52 B","1,50 B","1,48 B","2,69 B","630,83 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"3,71 B","3,76 B","3,77 B","3,79 B","3,60 B","3,55 B","1,05 B","959,73 M","965,95 M","2,89 B","380,31 M"
Investimentos,"19,69 M","19,69 M","17,99 M",0,0,0,0,0,0,0,0
Imobilizado,"1,37 B","1,39 B","1,46 B","1,46 B","1,35 B","1,29 B","351,37 M","349,63 M","349,93 M","993,77 M","208,53 M"
Intangível,"1,27 B","1,28 B","1,29 B","1,30 B","1,31 B","1,32 B","306,73 M","309,91 M","315,55 M","1,24 B","55,75 M"
Passivo total,"8,44 B","8,43 B","8,48 B","8,63 B","8,86 B","8,91 B","3,98 B","3,98 B","3,93 B","7,63 B","2,01 B"
Passivo circulante,"3,38 B","3,31 B","2,99 B","2,96 B","3,27 B","3,37 B","1,50 B","1,44 B","1,03 B","2,09 B","605,02 M"
Fornecedores,"2,04 B","1,93 B","1,82 B","1,85 B","1,54 B","1,78 B","906,36 M","871,07 M","717,86 M","1,23 B","484,74 M"
Empréstimos e financ.,"213,73 M","247,45 M","207,33 M","140,32 M","673,45 M","661,56 M","365,33 M","355,55 M","73,34 M","131,02 M","11,04 M"
Passivo não circulante,"3,09 B","3,10 B","3,42 B","3,42 B","3,33 B","3,24 B","948,88 M","999,09 M","1,31 B","2,90 B","636,53 M"
Emprést. de longo prazo,"2,79 B","2,69 B","2,87 B","2,89 B","2,78 B","2,69 B","502,11 M","499,38 M","805,11 M","2,16 B","355,57 M"
Patrimônio líquido,"1,96 B","2,02 B","2,07 B","2,24 B","2,26 B","2,30 B","1,53 B","1,54 B","1,58 B","2,64 B","771,73 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0
