Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023
Receita líquida,"3,13 B","3,35 B","3,47 B","3,00 B","3,00 B","3,40 B","3,11 B","3,00 B","2,73 B","7,52 B","614,63 M","624,28 M","767,48 M"
Custos,"-2,68 B","-2,88 B","-2,97 B","-2,53 B","-2,58 B","-2,98 B","-2,67 B","-2,59 B","-2,32 B","-6,40 B","-536,62 M","-529,28 M","-618,40 M"
Lucro bruto,"452,24 M","470,08 M","500,38 M","461,66 M","421,07 M","417,22 M","439,93 M","408,26 M","403,55 M","1,11 B","78,01 M","95,00 M","149,08 M"
Despesas operacionais,"-370,77 M","-397,46 M","-515,85 M","-387,77 M","-340,46 M","-423,70 M","-354,83 M","-366,35 M","-334,24 M","-919,81 M","-82,07 M","-66,33 M","-68,84 M"
Despesas com vendas,"-207,34 M","-205,60 M","-214,92 M","-190,52 M","-175,65 M","-209,93 M","-181,39 M","-180,91 M","-174,78 M","-439,98 M","-45,51 M","-34,85 M","-40,38 M"
Despesas administrativas,"-198,28 M","-208,66 M","-203,22 M","-210,29 M","-170,65 M","-189,72 M","-187,45 M","-171,92 M","-152,24 M","-464,00 M","-45,14 M","-37,48 M","-34,65 M"
EBIT,"81,47 M","72,62 M","-15,47 M","73,89 M","80,61 M","-6,48 M","85,10 M","41,92 M","69,30 M","194,34 M","-4,06 M","28,67 M","80,24 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-136,47 M","-138,34 M","-155,45 M","-139,49 M","-121,68 M","-120,87 M","-73,75 M","-76,89 M","-84,14 M","-216,86 M","-36,34 M","-16,81 M","-14,43 M"
Antes dos impostos,"-55,00 M","-65,71 M","-170,91 M","-65,60 M","-41,07 M","-127,35 M","11,34 M","-34,97 M","-14,84 M","-22,51 M","-40,41 M","11,86 M","65,81 M"
Imposto,"-1,75 M","10,28 M","4,31 M","37,37 M","5,75 M","41,02 M","1,25 M","7,97 M","10,10 M","105,50 M","16,47 M","1,93 M","-3,86 M"
Op. continuadas,"-56,75 M","-55,43 M","-166,61 M","-28,22 M","-35,31 M","-86,33 M","12,59 M","-27,00 M","-4,74 M","82,98 M","-23,93 M","13,79 M","61,94 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-56,75 M","-55,43 M","-166,61 M","-28,22 M","-35,31 M","-86,33 M","12,59 M","-27,00 M","-4,74 M","82,98 M","-23,93 M","13,79 M","61,94 M"
Dos controladores,0,0,0,0,0,0,0,0,0,0,0,0,0
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0
