Conta,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"152,39 M","157,53 M","153,64 M","194,62 M","216,57 M","243,41 M","114,42 M","125,07 M","126,23 M","191,28 M","302,16 M","405,67 M","453,07 M","496,45 M","449,14 M","450,87 M","374,17 M","368,89 M","326,44 M","344,07 M","277,54 M","211,22 M","165,29 M","165,46 M","124,11 M","118,90 M","118,80 M"
Custos,"-141,68 M","-143,60 M","-147,66 M","-232,18 M","-213,20 M","-231,57 M","-117,23 M","-180,71 M","-149,75 M","-225,90 M","-275,18 M","-349,37 M","-367,50 M","-406,23 M","-367,62 M","-365,11 M","-306,69 M","-310,80 M","-271,34 M","-266,37 M","-214,62 M","-167,21 M","-134,47 M","-127,94 M","-97,34 M","-98,10 M","-99,29 M"
Lucro bruto,"10,71 M","13,93 M","5,98 M","-37,56 M","3,37 M","11,83 M","-2,82 M","-55,64 M","-23,52 M","-34,62 M","26,98 M","56,30 M","85,56 M","90,22 M","81,53 M","85,76 M","67,47 M","58,09 M","55,10 M","77,70 M","62,92 M","44,00 M","30,81 M","37,51 M","26,77 M","20,81 M","19,51 M"
Despesas operacionais,"-69,84 M","-75,63 M","109,86 M","-683,17 M","-249,08 M","-68,43 M","-51,96 M","-312,92 M","-166,37 M","-69,09 M","-68,05 M","-55,98 M","-62,20 M","-53,53 M","-81,50 M","-63,70 M","-46,77 M","-45,91 M","-62,06 M","-56,73 M","-41,64 M","-38,97 M","-34,39 M","-19,30 M","-20,13 M","-20,38 M","-20,35 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-74,26 M","-82,78 M","2,76 M","-257,51 M","-215,90 M","-98,97 M","-54,61 M","-241,62 M","-160,62 M","-78,60 M","-71,89 M","-75,50 M","-74,42 M","-77,10 M","-93,18 M","-68,83 M","-50,31 M","-75,06 M","-58,08 M","-57,26 M","-42,49 M","-43,09 M","-35,55 M","-20,61 M","-20,84 M","-20,46 M","-21,28 M"
EBIT,"-59,13 M","-61,70 M","115,84 M","-720,73 M","-245,71 M","-56,60 M","-54,78 M","-368,56 M","-189,90 M","-103,71 M","-41,07 M","319,00 Mil","23,37 M","36,69 M","21,00 Mil","22,06 M","20,70 M","12,18 M","-6,96 M","20,96 M","21,28 M","5,03 M","-3,58 M","18,21 M","6,64 M","423,00 Mil","-840,00 Mil"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-45,69 M","-59,05 M","21,05 M","-43,94 M","-41,45 M","-57,17 M","-55,05 M","-71,25 M","-57,69 M","-50,86 M","-67,08 M","-65,34 M","-35,59 M","-60,46 M","-30,96 M","-26,09 M","-18,20 M","-13,93 M","-17,27 M","-13,64 M","-10,48 M","-11,90 M","-10,97 M","-9,11 M","-10,38 M","-9,07 M","-8,45 M"
Antes dos impostos,"-104,82 M","-120,75 M","136,89 M","-764,66 M","-287,16 M","-113,77 M","-109,83 M","-439,81 M","-247,59 M","-154,57 M","-108,15 M","-65,02 M","-12,22 M","-23,77 M","-30,94 M","-4,03 M","2,51 M","-1,75 M","-24,24 M","7,32 M","10,79 M","-6,87 M","-14,54 M","9,10 M","-3,74 M","-8,65 M","-9,29 M"
Imposto,"-231,00 Mil",0,"-35,74 M","6,53 M","-2,36 M","-6,80 M","-346,00 Mil","90,90 M","11,32 M","5,21 M","20,45 M","25,33 M","602,00 Mil","-2,00 M","1,14 M","2,05 M","-2,83 M","4,78 M","5,65 M","10,39 M","-3,64 M","-1,13 M","4,70 M","-3,12 M","2,71 M","1,88 M","3,97 M"
Op. continuadas,"-105,05 M","-120,75 M","101,15 M","-758,13 M","-289,52 M","-120,57 M","-110,17 M","-348,90 M","-236,26 M","-149,35 M","-87,70 M","-39,69 M","-11,62 M","-25,77 M","-29,80 M","-1,97 M","-322,00 Mil","3,03 M","-18,59 M","17,71 M","7,16 M","-7,99 M","-9,85 M","5,98 M","-1,03 M","-6,77 M","-5,32 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-105,05 M","-120,75 M","101,15 M","-758,13 M","-289,52 M","-120,57 M","-110,17 M","-348,90 M","-236,26 M","-149,35 M","-87,70 M","-39,69 M","-11,62 M","-25,77 M","-29,80 M","-1,97 M","-322,00 Mil","3,03 M","-18,59 M","17,71 M","7,16 M","-7,99 M","-9,85 M","5,98 M","-1,03 M","-6,77 M","-5,32 M"
Dos controladores,0,"-106,44 M","68,16 M","-1,09 B",0,"-118,80 M",0,"-822,22 M",0,0,"-87,70 M",0,0,0,"-29,80 M","-1,97 M","-322,00 Mil","3,03 M","-18,59 M","17,71 M","7,16 M","-7,99 M","-9,85 M","5,98 M","-1,03 M","-6,77 M","-5,32 M"
Dos não controladores,0,"-14,31 M","32,99 M","-184,13 M",0,"-1,77 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
