Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"329,07 M","323,51 M","306,22 M","286,14 M","269,71 M","265,73 M","255,28 M","255,11 M","249,26 M","231,42 M","231,09 M","215,71 M","204,93 M","189,36 M","177,19 M","157,98 M","153,92 M","142,18 M","120,56 M","105,48 M","89,76 M","78,37 M","75,78 M","67,55 M","64,34 M"
Custos,"-164,54 M","-155,53 M","-144,64 M","-141,22 M","-131,53 M","-129,32 M","-126,94 M","-126,67 M","-121,93 M","-125,00 M","-127,66 M","-118,47 M","-114,61 M","-104,38 M","-95,57 M","-83,47 M","-79,26 M","-75,67 M","-61,94 M","-52,36 M","-43,11 M","-45,57 M","-41,11 M","-33,47 M","-30,21 M"
Lucro bruto,"164,53 M","167,98 M","161,58 M","144,92 M","138,19 M","136,41 M","128,34 M","128,43 M","127,33 M","106,42 M","103,43 M","97,25 M","90,33 M","84,98 M","81,62 M","74,51 M","74,66 M","66,50 M","58,62 M","53,12 M","46,65 M","32,80 M","34,68 M","34,08 M","34,13 M"
Despesas operacionais,"-71,90 M","-75,06 M","-74,24 M","-67,44 M","-66,76 M","-72,92 M","-58,08 M","-65,65 M","-64,03 M","-45,16 M","-42,61 M","-47,48 M","-40,27 M","-36,66 M","-33,68 M","-31,04 M","-32,62 M","-39,96 M","-21,80 M","-19,69 M","-13,77 M","-10,79 M","-13,41 M","-14,16 M","-9,01 M"
Despesas com vendas,"-31,00 M","-35,28 M","-31,14 M","-29,88 M","-23,84 M","-28,82 M","-27,07 M","-25,11 M","-24,54 M","-18,89 M","-18,83 M","-17,42 M","-16,19 M","-17,77 M","-15,28 M","-13,68 M","-12,21 M","-11,04 M","-8,46 M","-7,61 M","-5,75 M","-4,62 M","-5,95 M","-4,99 M","-2,84 M"
Despesas administrativas,"-45,27 M","-42,43 M","-46,55 M","-41,60 M","-47,54 M","-43,67 M","-40,08 M","-44,62 M","-36,45 M","-32,89 M","-32,91 M","-31,28 M","-28,72 M","-26,20 M","-22,02 M","-20,09 M","-22,24 M","-20,43 M","-13,85 M","-12,85 M","-8,40 M","-9,59 M","-8,30 M","-7,64 M","-9,96 M"
EBIT,"92,63 M","92,92 M","87,34 M","77,47 M","71,43 M","63,49 M","70,26 M","62,78 M","63,30 M","61,26 M","60,82 M","49,77 M","50,06 M","48,32 M","47,94 M","43,47 M","42,03 M","26,54 M","36,82 M","33,42 M","32,88 M","22,01 M","21,26 M","19,91 M","25,13 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-15,67 M","-9,11 M","-6,22 M","-9,78 M","-14,46 M","-13,82 M","-6,58 M","-13,92 M","-9,97 M","-6,78 M","-8,73 M","-6,13 M","-8,69 M","-11,88 M","-3,52 M","3,42 M","1,95 M","320,00 Mil","-2,97 M","-7,87 M","-4,74 M","-3,48 M","-3,12 M","-2,62 M","-2,74 M"
Antes dos impostos,"76,97 M","83,81 M","81,12 M","67,69 M","56,96 M","49,67 M","63,69 M","48,87 M","53,32 M","54,47 M","52,09 M","43,63 M","41,37 M","36,45 M","44,42 M","46,90 M","43,98 M","26,86 M","33,85 M","25,56 M","28,15 M","18,53 M","18,15 M","17,30 M","22,39 M"
Imposto,"-24,90 M","-21,83 M","-16,29 M","-22,52 M","-19,98 M","-90,00 Mil","-17,25 M","-7,77 M","-15,88 M","-6,46 M","-11,13 M","-13,74 M","-15,12 M","-4,14 M","-13,29 M","-12,99 M","-11,11 M","-4,03 M","-11,68 M","-8,68 M","-9,49 M","-4,67 M","-6,03 M","-6,69 M","-8,51 M"
Op. continuadas,"52,06 M","61,98 M","64,83 M","45,17 M","36,98 M","49,58 M","46,44 M","41,10 M","37,45 M","48,01 M","40,95 M","29,90 M","26,25 M","32,30 M","31,13 M","33,90 M","32,87 M","22,83 M","22,17 M","16,88 M","18,66 M","13,85 M","12,12 M","10,61 M","13,88 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"52,06 M","61,98 M","64,83 M","45,17 M","36,98 M","49,58 M","46,44 M","41,10 M","37,45 M","48,01 M","40,95 M","29,90 M","26,25 M","32,30 M","31,13 M","33,90 M","32,87 M","22,83 M","22,17 M","16,88 M","18,66 M","13,85 M","12,12 M","10,61 M","13,88 M"
Dos controladores,"50,89 M","62,20 M","64,68 M","45,17 M",0,"174,57 M",0,"41,10 M","37,48 M","145,11 M",0,"28,90 M","26,25 M","130,21 M",0,"33,90 M","32,87 M","80,54 M",0,"16,88 M","18,66 M","50,45 M",0,"10,61 M","13,88 M"
Dos não controladores,"1,18 M","-217,00 Mil","152,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
