Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019
Ativo total,"8,96 B","8,98 B","9,06 B","9,20 B","9,37 B","9,55 B","10,34 B","10,53 B","11,10 B","10,19 B","9,96 B","9,00 B","8,95 B","9,56 B","8,26 B","7,08 B","6,82 B","6,90 B","5,69 B","5,35 B","4,51 B","4,60 B","2,09 B"
Ativo circulante,"4,64 B","4,65 B","4,70 B","4,81 B","5,16 B","5,26 B","5,96 B","6,22 B","6,85 B","5,97 B","5,96 B","5,00 B","5,06 B","5,63 B","4,76 B","4,09 B","4,48 B","4,59 B","3,89 B","3,49 B","2,84 B","2,87 B","1,27 B"
Caixa e eq. de caixa,"471,12 M","573,64 M","753,11 M","788,88 M","861,45 M","543,67 M","1,13 B","720,73 M","1,14 B","472,70 M","1,03 B","616,56 M","699,09 M","1,04 B","532,71 M","731,78 M","1,28 B","1,36 B","1,71 B","1,32 B","694,28 M","937,33 M","273,69 M"
Aplicações financeiras,"61,71 M","84,92 M","52,85 M","23,52 M","22,77 M","586,50 M","659,91 M","735,89 M","605,03 M","528,79 M","660,42 M","350,91 M","304,06 M","973,49 M","920,83 M",0,"480,96 M","838,88 M",0,0,"99,14 M","97,50 M","5,04 M"
Contas a receber,"1,91 B","2,01 B","1,90 B","1,98 B","2,08 B","2,08 B","1,81 B","2,35 B","2,66 B","2,45 B","2,11 B","1,90 B","2,15 B","2,03 B","1,70 B","1,62 B","1,43 B","1,18 B","967,19 M","1,06 B","1,11 B","978,55 M","515,38 M"
Estoques,"1,81 B","1,66 B","1,68 B","1,68 B","1,87 B","1,72 B","1,90 B","1,91 B","1,90 B","1,98 B","1,73 B","1,65 B","1,53 B","1,29 B","1,31 B","1,37 B","1,04 B","946,30 M","877,12 M","803,17 M","710,60 M","715,92 M","378,90 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"4,32 B","4,33 B","4,37 B","4,39 B","4,21 B","4,28 B","4,37 B","4,30 B","4,24 B","4,21 B","4,00 B","4,00 B","3,90 B","3,93 B","3,49 B","2,99 B","2,34 B","2,31 B","1,80 B","1,87 B","1,68 B","1,72 B","817,61 M"
Investimentos,0,"180,00 Mil",0,"1,00 M","727,00 Mil","1,18 M","11,32 M","11,98 M","12,48 M","13,04 M","13,62 M","14,03 M","14,42 M","13,12 M","-688,00 Mil","227,00 Mil","1,04 M","1,75 M","2,47 M","3,16 M","3,61 M","4,40 M",0
Imobilizado,"471,08 M","485,23 M","493,73 M","510,57 M","522,37 M","536,29 M","536,99 M","547,46 M","549,80 M","554,43 M","490,92 M","480,77 M","447,40 M","438,48 M","369,11 M","329,92 M","307,58 M","293,91 M","238,18 M","235,38 M","226,14 M","223,03 M","251,40 M"
Intangível,"2,52 B","2,55 B","2,56 B","2,57 B","2,55 B","2,56 B","2,59 B","2,59 B","2,61 B","2,63 B","2,63 B","2,64 B","2,59 B","2,62 B","2,17 B","1,92 B","1,40 B","1,40 B","1,06 B","1,06 B","876,67 M","880,39 M","498,20 M"
Passivo total,"8,96 B","8,98 B","9,06 B","9,20 B","9,37 B","9,55 B","10,34 B","10,53 B","11,10 B","10,19 B","9,96 B","9,00 B","8,95 B","9,56 B","8,26 B","7,08 B","6,82 B","6,90 B","5,69 B","5,35 B","4,51 B","4,60 B","2,09 B"
Passivo circulante,"3,50 B","3,50 B","3,15 B","2,77 B","2,79 B","2,85 B","2,70 B","2,62 B","2,95 B","3,06 B","2,93 B","2,73 B","2,63 B","3,22 B","2,33 B","2,24 B","2,04 B","2,12 B","1,56 B","1,89 B","1,90 B","2,06 B","886,49 M"
Fornecedores,"1,91 B","1,92 B","1,68 B","1,65 B","1,87 B","1,84 B","1,66 B","1,58 B","1,64 B","1,72 B","1,48 B","1,37 B","1,52 B","1,93 B","1,23 B","1,43 B","1,07 B","1,15 B","865,63 M","935,03 M","926,56 M","955,88 M","477,95 M"
Empréstimos e financ.,"972,51 M","997,92 M","796,78 M","384,35 M","376,74 M","402,75 M","229,80 M","237,73 M","410,95 M","391,75 M","431,12 M","393,87 M","192,28 M","275,48 M","224,50 M","176,89 M","279,41 M","249,90 M","266,88 M","370,46 M","643,84 M","734,46 M","224,59 M"
Passivo não circulante,"3,58 B","3,55 B","3,89 B","4,65 B","4,71 B","4,77 B","4,62 B","4,64 B","4,86 B","3,84 B","3,91 B","3,90 B","4,00 B","4,06 B","3,64 B","2,60 B","2,58 B","2,62 B","1,96 B","1,98 B","1,39 B","1,33 B","822,60 M"
Emprést. de longo prazo,"2,44 B","2,44 B","2,81 B","3,28 B","3,39 B","3,47 B","3,66 B","3,67 B","3,85 B","2,84 B","2,89 B","2,88 B","3,02 B","3,06 B","2,76 B","1,79 B","1,81 B","1,88 B","1,30 B","1,41 B","557,25 M","411,37 M","469,91 M"
Patrimônio líquido,"1,88 B","1,94 B","2,01 B","1,79 B","1,87 B","1,93 B","3,01 B","3,26 B","3,29 B","3,29 B","3,13 B","2,38 B","2,32 B","2,28 B","2,29 B","2,23 B","2,19 B","2,15 B","2,17 B","1,48 B","1,22 B","1,20 B","381,85 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
