Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"2,83 B","3,13 B","2,83 B","2,82 B","2,78 B","2,94 B","2,95 B","2,75 B","2,95 B","2,91 B","2,84 B","2,53 B","2,80 B","2,63 B","2,27 B","1,95 B","1,90 B","1,62 B","1,50 B","1,62 B","1,49 B","1,43 B","1,21 B","925,55 M","843,43 M"
Custos,"-2,39 B","-2,69 B","-2,42 B","-2,39 B","-2,40 B","-2,81 B","-2,56 B","-2,35 B","-2,55 B","-2,48 B","-2,42 B","-2,08 B","-2,37 B","-2,22 B","-1,90 B","-1,62 B","-1,60 B","-1,36 B","-1,23 B","-1,25 B","-1,28 B","-1,22 B","-1,05 B","-781,66 M","-721,16 M"
Lucro bruto,"446,48 M","447,06 M","415,63 M","422,45 M","384,22 M","122,49 M","390,28 M","395,47 M","397,71 M","420,76 M","426,83 M","454,66 M","432,46 M","403,93 M","370,41 M","324,06 M","298,28 M","256,70 M","266,29 M","370,71 M","203,61 M","211,19 M","161,12 M","143,89 M","122,27 M"
Despesas operacionais,"-335,06 M","-350,39 M","-137,74 M","-337,40 M","-312,17 M","-908,57 M","-570,76 M","-361,56 M","-328,06 M","-302,29 M","-259,21 M","-259,64 M","-277,13 M","-272,05 M","-238,17 M","-198,29 M","-174,79 M","-159,75 M","-240,92 M","-65,89 M","-138,44 M","-173,06 M","-93,44 M","-96,00 M","-78,95 M"
Despesas com vendas,"-86,20 M","-93,51 M","-91,30 M","-94,69 M","-84,99 M","-186,78 M","-99,89 M","-100,82 M","-96,56 M","-85,38 M","-65,37 M","-68,26 M","-62,39 M","-68,25 M","-58,37 M","-61,62 M","-51,98 M","-50,35 M","-60,19 M","-44,44 M","-41,39 M","-53,55 M","-37,36 M","-38,71 M","-32,71 M"
Despesas administrativas,"-251,17 M","-252,85 M","-248,79 M","-241,99 M","-219,12 M","-293,67 M","-233,35 M","-232,21 M","-230,10 M","-226,99 M","-199,65 M","-206,06 M","-231,96 M","-204,15 M","-170,30 M","-125,85 M","-123,02 M","-113,52 M","-177,78 M","-90,48 M","-93,72 M","-91,64 M","-62,95 M","-56,43 M","-46,98 M"
EBIT,"111,42 M","96,67 M","277,89 M","85,05 M","72,05 M","-786,08 M","-180,48 M","33,91 M","69,66 M","118,47 M","167,63 M","195,02 M","155,33 M","131,87 M","132,24 M","125,77 M","123,49 M","96,94 M","25,36 M","304,82 M","65,17 M","38,13 M","67,68 M","47,90 M","43,32 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-172,94 M","-188,97 M","-37,89 M","-157,67 M","-101,45 M","-314,51 M","-135,55 M","-165,83 M","-112,67 M","-88,13 M","-146,33 M","-137,80 M","-125,69 M","-93,41 M","-99,64 M","-75,88 M","-36,35 M","-29,72 M","-30,27 M","-6,73 M","-16,74 M","42,85 M","-18,10 M","-17,88 M","-14,30 M"
Antes dos impostos,"-61,52 M","-92,30 M","240,00 M","-72,62 M","-29,40 M","-1,10 B","-316,03 M","-131,92 M","-43,01 M","30,34 M","21,29 M","57,23 M","29,64 M","38,46 M","32,60 M","49,89 M","87,13 M","67,23 M","-4,90 M","298,09 M","48,43 M","80,98 M","49,58 M","30,01 M","29,01 M"
Imposto,"4,51 M","13,96 M","-13,12 M","1,26 M","-29,53 M","7,50 M","78,29 M","44,20 M","46,06 M","230,91 M","-14,98 M","-1,76 M","7,25 M","24,72 M","21,27 M","-4,21 M","9,87 M","14,39 M","66,16 M","-79,88 M","-14,37 M","-22,13 M","-24,12 M","-12,66 M","-8,90 M"
Op. continuadas,"-57,01 M","-78,35 M","226,88 M","-71,36 M","-58,93 M","-1,09 B","-237,74 M","-87,72 M","3,04 M","261,24 M","6,32 M","55,47 M","36,89 M","63,18 M","53,87 M","45,68 M","97,00 M","81,62 M","61,26 M","218,22 M","34,06 M","58,84 M","25,46 M","17,35 M","20,12 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-57,01 M","-78,35 M","226,88 M","-71,36 M","-58,93 M","-1,09 B","-237,74 M","-87,72 M","3,04 M","261,24 M","6,32 M","55,47 M","36,89 M","63,18 M","53,87 M","45,68 M","97,00 M","81,62 M","61,26 M","218,22 M","34,06 M","58,84 M","25,46 M","17,35 M","20,12 M"
Dos controladores,"-57,01 M","18,24 M",0,0,"-58,93 M","-1,42 B",0,0,"3,04 M","359,92 M",0,0,"36,89 M","259,73 M",0,"45,68 M","97,00 M","395,15 M",0,"218,22 M","34,06 M","121,77 M",0,"17,35 M","20,12 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
