Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"451,04 M","455,10 M","437,00 M","420,93 M","421,33 M","422,17 M","433,67 M","441,36 M","444,41 M","412,86 M","433,94 M","422,66 M","422,75 M","430,70 M","436,44 M","445,08 M","454,38 M","472,30 M","495,67 M","501,98 M","520,38 M","529,07 M","109,30 M","51,53 M","35,19 M","36,95 M","52,09 M"
Ativo circulante,"334,87 M","333,02 M","261,91 M","242,26 M","236,59 M","237,81 M","248,09 M","256,78 M","268,02 M","296,49 M","321,10 M","342,45 M","345,35 M","357,01 M","367,68 M","381,32 M","396,03 M","418,70 M","448,45 M","467,95 M","495,34 M","506,65 M","88,14 M","30,80 M","14,37 M","16,33 M","38,75 M"
Caixa e eq. de caixa,"190,05 M","210,35 M","209,58 M","198,63 M","196,76 M","198,80 M","210,63 M","209,65 M","229,48 M","261,69 M","273,00 M","294,39 M","301,24 M","309,10 M","321,68 M","335,07 M","357,67 M","382,54 M","406,87 M","433,90 M","474,26 M","486,71 M","57,62 M","9,56 M","1,43 M","3,10 M","15,18 M"
Aplicações financeiras,"18,35 M","17,75 M",0,0,0,0,0,0,0,0,0,0,0,0,"7,30 M","7,30 M","7,59 M","9,19 M","12,96 M","14,56 M","16,32 M","16,32 M","26,75 M","17,35 M","11,63 M","12,59 M","22,99 M"
Contas a receber,"114,90 M","83,94 M","32,00 M","24,14 M","22,42 M","23,79 M","23,00 M","23,43 M","21,16 M","20,32 M","25,04 M","24,00 M","21,21 M","20,77 M","22,40 M","22,22 M","19,56 M","16,00 M","11,13 M","4,09 M",0,0,0,0,0,0,0
Estoques,"185,00 Mil","147,00 Mil","178,00 Mil","278,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"116,18 M","122,08 M","175,09 M","178,67 M","184,74 M","184,37 M","185,58 M","184,57 M","176,39 M","116,38 M","112,84 M","80,21 M","77,40 M","73,68 M","68,76 M","63,76 M","58,35 M","53,59 M","47,22 M","34,02 M","25,04 M","22,41 M","21,16 M","20,73 M","20,81 M","20,62 M","13,34 M"
Investimentos,0,0,"47,61 M","46,73 M","48,79 M","46,87 M","46,65 M","45,63 M","47,51 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"16,04 M","17,24 M","18,47 M","19,82 M","21,20 M","22,02 M","23,43 M","22,93 M","15,88 M","7,07 M","7,92 M","6,78 M","7,34 M","7,93 M","8,33 M","9,02 M","9,37 M","10,58 M","11,20 M","5,25 M","4,56 M","4,34 M","4,16 M","4,08 M","4,42 M","4,75 M","1,07 M"
Intangível,"99,98 M","104,67 M","108,83 M","112,12 M","114,75 M","115,48 M","115,16 M","115,66 M","112,65 M","108,96 M","104,58 M","73,09 M","69,72 M","65,42 M","60,10 M","54,41 M","48,53 M","42,57 M","35,69 M","28,44 M","20,14 M","17,74 M","16,67 M","16,25 M","16,01 M","15,49 M","11,73 M"
Passivo total,"451,04 M","455,10 M","437,00 M","420,93 M","421,33 M","422,17 M","433,67 M","441,36 M","444,41 M","412,86 M","433,94 M","422,66 M","422,75 M","430,70 M","436,44 M","445,08 M","454,38 M","472,30 M","495,67 M","501,98 M","520,38 M","529,07 M","109,30 M","51,53 M","35,19 M","36,95 M","52,09 M"
Passivo circulante,"138,55 M","134,82 M","100,71 M","81,99 M","73,91 M","68,07 M","75,56 M","81,05 M","78,83 M","60,95 M","63,44 M","41,30 M","40,30 M","42,93 M","45,71 M","47,81 M","45,47 M","39,42 M","36,06 M","32,12 M","33,95 M","28,37 M","30,97 M","33,33 M","17,63 M","17,84 M","14,24 M"
Fornecedores,"31,07 M","31,25 M","34,92 M","33,61 M","30,36 M","24,83 M","24,89 M","27,88 M","25,46 M","23,95 M","25,85 M","15,45 M","13,61 M","15,71 M","15,91 M","18,55 M","18,54 M","20,07 M","15,15 M","15,73 M","13,90 M","12,46 M","6,98 M","8,46 M","4,36 M","4,74 M","3,60 M"
Empréstimos e financ.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,71 M","3,83 M","468,00 Mil","675,00 Mil","864,00 Mil"
Passivo não circulante,"15,55 M","15,91 M","32,50 M","32,86 M","33,47 M","33,65 M","34,65 M","35,73 M","33,73 M","12,08 M","16,52 M","6,27 M","6,57 M","6,92 M","7,04 M","7,35 M","7,66 M","8,32 M","8,68 M","3,60 M","3,52 M","3,55 M","5,47 M","7,38 M","3,98 M","4,17 M","2,15 M"
Emprést. de longo prazo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,83 M","5,16 M","1,75 M",0,"623,00 Mil"
Patrimônio líquido,"296,94 M","304,37 M","303,79 M","306,08 M","313,95 M","320,45 M","323,45 M","324,58 M","331,85 M","339,84 M","353,99 M","375,09 M","375,88 M","380,85 M","383,69 M","389,91 M","401,24 M","424,56 M","450,93 M","466,25 M","482,92 M","497,14 M","72,85 M","10,82 M","13,58 M","14,95 M","35,70 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
