Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"62,59 M","64,55 M","70,08 M","68,66 M","60,68 M","68,14 M","68,07 M","67,49 M","61,52 M","63,72 M","54,89 M","40,08 M","35,87 M","34,20 M","36,69 M","37,52 M","30,50 M","29,54 M","25,91 M","26,45 M","24,23 M","28,62 M","22,38 M","12,88 M","15,73 M","16,39 M","14,76 M","12,30 M","10,23 M"
Custos,"-29,01 M","-28,90 M","-30,57 M","-31,35 M","-26,09 M","-29,98 M","-29,14 M","-29,44 M","-28,11 M","-30,31 M","-27,69 M","-19,79 M","-19,90 M","-21,51 M","-23,50 M","-24,23 M","-20,98 M","-21,80 M","-18,81 M","-20,36 M","-17,39 M","-18,28 M","-13,88 M","-7,27 M","-9,42 M","-11,51 M","-9,54 M","-8,62 M","-7,17 M"
Lucro bruto,"33,58 M","35,65 M","39,51 M","37,31 M","34,59 M","38,15 M","38,94 M","38,05 M","33,41 M","33,41 M","27,20 M","20,30 M","15,97 M","12,69 M","13,18 M","13,29 M","9,52 M","7,74 M","7,11 M","6,09 M","6,84 M","10,35 M","8,50 M","5,61 M","6,31 M","4,88 M","5,21 M","3,69 M","3,06 M"
Despesas operacionais,"-46,95 M","-41,27 M","-44,60 M","-47,04 M","-43,25 M","-43,33 M","-44,03 M","-48,45 M","-47,31 M","-53,59 M","-55,94 M","-31,19 M","-31,14 M","-27,07 M","-31,34 M","-38,61 M","-47,41 M","-47,83 M","-34,96 M","-39,33 M","-39,82 M","-30,02 M","-14,90 M","-7,44 M","-6,95 M","-17,44 M","-6,81 M","-6,84 M","-6,35 M"
Despesas com vendas,"-12,32 M","-12,30 M","-12,17 M","-12,22 M","-11,60 M","-12,67 M","-14,63 M","-16,25 M","-13,34 M","-17,15 M","-14,20 M","-9,42 M","-7,96 M","-9,48 M","-8,09 M","-10,45 M","-14,77 M","-20,46 M","-12,30 M","-15,10 M","-9,33 M","-10,15 M","-7,65 M","-2,14 M","-2,03 M","-11,52 M","-1,86 M","-602,00 Mil","-795,00 Mil"
Despesas administrativas,"-32,15 M","-31,14 M","-31,70 M","-33,67 M","-31,70 M","-32,47 M","-31,40 M","-30,92 M","-35,03 M","-35,80 M","-41,07 M","-20,57 M","-22,36 M","-20,92 M","-21,92 M","-26,24 M","-30,09 M","-24,97 M","-22,28 M","-23,66 M","-30,08 M","-20,07 M","-7,15 M","-5,31 M","-4,86 M","-5,75 M","-4,92 M","-6,56 M","-5,81 M"
EBIT,"-13,38 M","-5,62 M","-5,10 M","-9,73 M","-8,67 M","-5,17 M","-5,09 M","-10,39 M","-13,90 M","-20,18 M","-28,74 M","-10,89 M","-15,18 M","-14,38 M","-18,16 M","-25,33 M","-37,89 M","-40,10 M","-27,86 M","-33,25 M","-32,98 M","-19,67 M","-6,40 M","-1,83 M","-639,00 Mil","-12,56 M","-1,60 M","-3,15 M","-3,28 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"5,99 M","6,42 M","2,67 M","1,64 M","1,60 M","1,58 M","2,06 M","1,86 M","3,75 M","3,92 M","5,68 M","6,03 M","6,15 M","7,26 M","7,98 M","7,24 M","6,76 M","6,38 M","4,60 M","3,21 M","1,20 M","812,00 Mil","-1,75 M","-934,00 Mil","-728,00 Mil","-278,00 Mil","-111,00 Mil","20,00 Mil","178,00 Mil"
Antes dos impostos,"-7,39 M","803,00 Mil","-2,42 M","-8,09 M","-7,06 M","-3,59 M","-3,03 M","-8,53 M","-10,16 M","-16,27 M","-23,05 M","-4,87 M","-9,03 M","-7,12 M","-10,18 M","-18,09 M","-31,12 M","-33,71 M","-23,26 M","-30,04 M","-31,77 M","-18,86 M","-8,15 M","-2,77 M","-1,37 M","-12,84 M","-1,71 M","-3,13 M","-3,11 M"
Imposto,"-132,00 Mil","-343,00 Mil","-37,00 Mil","24,00 Mil","342,00 Mil","345,00 Mil","339,00 Mil","357,00 Mil","334,00 Mil","240,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,"1,00 Mil","4,00 Mil","6,00 Mil","7,00 Mil","12,00 Mil","9,00 Mil","4,00 Mil"
Op. continuadas,"-7,52 M","460,00 Mil","-2,46 M","-8,07 M","-6,72 M","-3,25 M","-2,69 M","-8,18 M","-9,82 M","-16,03 M","-23,05 M","-4,87 M","-9,03 M","-7,12 M","-10,18 M","-18,09 M","-31,12 M","-33,71 M","-23,26 M","-30,04 M","-31,77 M","-18,86 M","-8,15 M","-2,76 M","-1,36 M","-12,83 M","-1,70 M","-3,12 M","-3,10 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-7,52 M","460,00 Mil","-2,46 M","-8,07 M","-6,72 M","-3,25 M","-2,69 M","-8,18 M","-9,82 M","-16,03 M","-23,05 M","-4,87 M","-9,03 M","-7,12 M","-10,18 M","-18,09 M","-31,12 M","-33,71 M","-23,26 M","-30,04 M","-31,77 M","-18,86 M","-8,15 M","-2,76 M","-1,36 M","-12,83 M","-1,70 M","-3,12 M","-3,10 M"
Dos controladores,0,"-16,79 M",0,0,0,"-23,93 M",0,"-8,18 M","-9,82 M","-16,03 M","-23,05 M","-4,87 M","-9,03 M","-66,52 M","-10,18 M","-18,09 M","-31,12 M","-33,71 M","-23,26 M","-30,04 M","-31,77 M","-18,86 M","-8,15 M","-2,76 M","-1,36 M","-12,83 M","-1,70 M","-3,12 M","-3,10 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
