Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023
Receita líquida,"4,92 M","4,84 M","6,31 M","6,42 M","8,90 M","6,74 M","7,93 M","7,64 M","12,06 M","3,25 M","2,99 M","4,67 M","10,33 M"
Custos,"-565,00 Mil","-487,00 Mil","-530,00 Mil","-600,00 Mil","-529,00 Mil","-440,00 Mil","-595,00 Mil","-536,00 Mil","-626,00 Mil","-263,00 Mil","-539,00 Mil","-465,00 Mil","-451,00 Mil"
Lucro bruto,"4,36 M","4,35 M","5,78 M","5,82 M","8,37 M","6,30 M","7,33 M","7,10 M","11,44 M","2,99 M","2,45 M","4,20 M","9,88 M"
Despesas operacionais,"-6,25 M","-6,25 M","-5,98 M","-6,08 M","-8,97 M","-8,36 M","-7,23 M","-7,44 M","-7,88 M","-4,57 M","-4,00 M","-4,98 M","-7,25 M"
Despesas com vendas,"-778,00 Mil","-1,35 M","-1,37 M","-1,47 M","-3,27 M","-2,85 M","-2,72 M","-2,91 M","-2,80 M","-2,79 M","-1,70 M","-3,54 M","-4,65 M"
Despesas administrativas,"-4,20 M","-3,83 M","-3,69 M","-3,26 M","-4,47 M","-3,61 M","-4,35 M","-3,06 M","-4,53 M","-1,55 M","-2,17 M","-1,26 M","-1,51 M"
EBIT,"-1,89 M","-1,90 M","-206,00 Mil","-263,00 Mil","-599,00 Mil","-2,06 M","97,00 Mil","-337,00 Mil","3,56 M","-1,58 M","-1,55 M","-779,00 Mil","2,63 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"45,00 Mil","-3,00 Mil","-66,00 Mil","-2,00 Mil","29,00 Mil","506,00 Mil","131,00 Mil","156,00 Mil","79,00 Mil","479,00 Mil","556,00 Mil","435,00 Mil","499,00 Mil"
Antes dos impostos,"-1,85 M","-1,90 M","-272,00 Mil","-265,00 Mil","-570,00 Mil","-1,55 M","228,00 Mil","-181,00 Mil","3,63 M","-1,10 M","-995,00 Mil","-344,00 Mil","3,13 M"
Imposto,"-167,00 Mil","-165,00 Mil","-186,00 Mil","-247,00 Mil","-330,00 Mil","-325,00 Mil","-371,00 Mil","-366,00 Mil","-610,00 Mil","-172,00 Mil","-53,00 Mil","-86,00 Mil","-229,00 Mil"
Op. continuadas,"-2,01 M","-2,07 M","-458,00 Mil","-512,00 Mil","-900,00 Mil","-1,88 M","-143,00 Mil","-547,00 Mil","3,02 M","-1,28 M","-1,05 M","-430,00 Mil","2,90 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-2,01 M","-2,07 M","-458,00 Mil","-512,00 Mil","-900,00 Mil","-1,88 M","-143,00 Mil","-547,00 Mil","3,02 M","-1,28 M","-1,05 M","-430,00 Mil","2,90 M"
Dos controladores,"-1,90 M","-2,10 M","-533,00 Mil",0,"-1,25 M","-2,08 M","-620,00 Mil",0,"2,48 M","-1,42 M","-1,05 M",0,0
Dos não controladores,"-113,00 Mil","32,00 Mil","75,00 Mil",0,"347,00 Mil","200,00 Mil","477,00 Mil",0,"546,00 Mil",0,0,0,0
