Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"14,59 M","154,26 M","159,56 M","148,45 M","59,27 M","159,46 M","150,74 M","152,96 M","153,42 M","173,60 M","138,75 M","137,55 M","153,23 M","134,03 M","113,65 M","131,77 M","155,16 M","133,54 M","120,81 M","119,51 M","123,40 M","114,75 M","103,06 M","105,92 M","115,38 M","110,11 M","106,77 M","106,75 M","142,33 M","70,45 M","47,84 M","55,80 M","57,98 M","54,49 M","46,35 M","50,68 M","46,70 M","63,73 M","46,92 M","49,26 M","49,65 M","61,63 M","43,44 M","43,72 M","38,44 M","39,34 M","35,02 M","38,30 M","56,52 M","50,23 M","48,26 M","47,69 M","38,12 M","46,54 M","47,55 M","42,30 M","42,75 M","41,88 M","40,05 M","39,41 M","142,78 M",0,0,0
Custos,"-41,32 M","-22,05 M","-98,89 M","-88,23 M","-64,11 M","-108,72 M","-100,63 M","-112,55 M","-115,38 M","-106,63 M","-109,12 M","-107,59 M","-142,69 M","-114,26 M","-91,67 M","-110,98 M","-119,79 M","-90,17 M","-84,59 M","-89,56 M","91,72 M","-101,52 M","-98,27 M","-112,94 M","-44,53 M","-99,15 M","-110,01 M","-101,84 M","-92,26 M","-55,90 M","-53,19 M","-53,90 M","-28,35 M","-50,83 M","-52,24 M","-54,84 M","-3,91 M","-54,99 M","-56,77 M","-58,03 M","-11,56 M","-43,01 M","-75,48 M","-32,90 M","-3,82 M","-50,10 M","-35,52 M","-69,68 M","-15,62 M","-66,23 M","-65,96 M","-33,11 M","-11,74 M","-53,18 M","-79,95 M","-44,61 M","-2,08 M","-71,13 M","-51,55 M","-58,57 M","-192,16 M",0,0,0
Lucro bruto,"-26,73 M","132,21 M","60,67 M","60,22 M","-4,84 M","50,74 M","50,10 M","40,40 M","38,05 M","66,97 M","29,63 M","29,96 M","10,54 M","19,77 M","21,98 M","20,80 M","35,37 M","43,37 M","36,23 M","29,95 M","215,12 M","13,23 M","4,79 M","-7,03 M","70,85 M","10,97 M","-3,25 M","4,91 M","50,07 M","14,55 M","-5,35 M","1,90 M","29,63 M","3,66 M","-5,89 M","-4,16 M","42,80 M","8,74 M","-9,84 M","-8,77 M","38,09 M","18,62 M","-32,04 M","10,82 M","34,62 M","-10,76 M","-495,00 Mil","-31,39 M","40,91 M","-16,00 M","-17,70 M","14,58 M","26,38 M","-6,63 M","-32,40 M","-2,31 M","40,67 M","-29,25 M","-11,50 M","-19,16 M","-49,38 M",0,0,0
Despesas operacionais,"-665,83 M","159,23 M","-30,67 M","-33,99 M","-118,75 M","-26,89 M","-28,42 M","-25,84 M","-11,61 M","-28,07 M","-18,94 M","-28,69 M","-47,51 M","-10,33 M","-19,71 M","-25,01 M","-31,11 M","-19,41 M","-26,91 M","-11,34 M","-83,14 M","64,00 Mil","20,00 Mil","48,00 Mil","-48,13 M","50,00 Mil","-1,06 M","529,00 Mil","-39,74 M","-20,38 M","-103,00 Mil","353,00 Mil","84,66 M","-265,00 Mil","2,88 M","3,00 Mil","-38,08 M","3,76 M","1,01 M","3,00 Mil","-56,44 M",0,0,0,"-80,91 M",0,0,"1,25 M","-61,51 M","3,56 M","1,00 Mil","28,00 Mil","-138,06 M","2,00 Mil","17,00 Mil","24,49 M","-99,22 M","2,00 Mil","9,38 M","17,83 M","-35,46 M",0,0,0
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-167,71 M","-71,07 M","-32,77 M","-33,92 M","-60,29 M","-27,02 M","-28,20 M","-28,11 M","-43,18 M","-25,56 M","-18,39 M","-29,45 M","-60,45 M","-20,20 M","-19,47 M","-24,41 M","-30,03 M","-18,66 M","-22,39 M","-22,21 M","-80,90 M",0,0,0,"-47,69 M",0,0,0,"-39,52 M",0,0,0,"-40,89 M",0,0,0,"-36,21 M",0,0,0,"-44,98 M",0,0,0,"-42,40 M",0,0,0,"-44,77 M",0,0,0,"-41,06 M",0,0,0,"-38,16 M",0,0,0,"-35,95 M",0,0,0
EBIT,"-692,56 M","291,44 M","30,00 M","26,23 M","-123,59 M","23,85 M","21,68 M","14,56 M","26,44 M","38,90 M","10,69 M","1,27 M","-36,97 M","9,44 M","2,27 M","-4,21 M","4,25 M","23,95 M","9,31 M","18,61 M","131,99 M","13,29 M","4,81 M","-6,98 M","22,71 M","11,02 M","-4,31 M","5,44 M","10,33 M","-5,83 M","-5,45 M","2,25 M","114,28 M","3,40 M","-3,01 M","-4,16 M","4,71 M","12,49 M","-8,83 M","-8,77 M","-18,34 M","18,62 M","-32,04 M","10,82 M","-46,29 M","-10,76 M","-495,00 Mil","-30,14 M","-20,60 M","-12,45 M","-17,70 M","14,61 M","-111,69 M","-6,63 M","-32,38 M","22,18 M","-58,55 M","-29,25 M","-2,13 M","-1,33 M","-84,84 M",0,0,0
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"66,09 M","19,93 M","13,97 M","21,91 M","27,44 M","14,05 M","22,09 M","16,16 M","25,23 M","20,17 M","12,50 M","24,14 M","22,94 M","15,22 M","28,62 M","40,88 M","26,80 M","20,37 M","40,17 M","46,66 M","37,63 M","48,25 M","21,89 M","20,17 M","27,35 M","12,87 M","24,67 M","24,04 M","9,98 M","25,48 M","27,49 M","19,27 M","22,42 M","9,93 M","-1,46 M","14,78 M","13,86 M","14,55 M","24,79 M","24,68 M","28,34 M","19,32 M","20,46 M","18,91 M","22,40 M","9,49 M","12,51 M","26,39 M","29,32 M","17,51 M","29,49 M","2,79 M","32,84 M","10,03 M","28,53 M","1,19 M","26,55 M","5,65 M","25,33 M","13,41 M","116,70 M",0,0,0
Antes dos impostos,"-626,46 M","311,37 M","43,96 M","48,14 M","-96,15 M","37,89 M","43,78 M","30,72 M","51,67 M","59,07 M","23,19 M","25,41 M","-14,03 M","24,66 M","30,88 M","36,66 M","31,05 M","44,32 M","49,49 M","65,27 M","169,61 M","61,54 M","26,70 M","13,19 M","50,06 M","23,89 M","20,36 M","29,48 M","20,31 M","19,65 M","22,04 M","21,52 M","136,71 M","13,32 M","-4,47 M","10,63 M","18,57 M","27,04 M","15,96 M","15,92 M","9,99 M","37,95 M","-11,58 M","29,73 M","-23,89 M","-1,28 M","12,01 M","-3,75 M","8,72 M","5,07 M","11,80 M","17,40 M","-78,85 M","3,40 M","-3,85 M","23,36 M","-32,00 M","-23,59 M","23,20 M","12,08 M","31,86 M",0,0,0
