Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"321,65 M","315,97 M","310,58 M","297,41 M","294,59 M","292,44 M","288,11 M","280,08 M","268,22 M","263,17 M","254,55 M","246,64 M","222,03 M","197,89 M","187,45 M","168,63 M","156,79 M","123,48 M","94,31 M","73,49 M","57,64 M","50,24 M","43,32 M","38,48 M","35,05 M"
Custos,"-127,83 M","-117,86 M","-124,25 M","-116,14 M","-108,24 M","-116,20 M","-108,79 M","-103,20 M","-98,67 M","-97,19 M","-91,38 M","-90,56 M","-82,76 M","-75,78 M","-78,07 M","-71,58 M","-65,08 M","-57,27 M","-42,47 M","-29,68 M","-20,93 M","-18,13 M","-12,87 M","-12,30 M","-11,04 M"
Lucro bruto,"193,82 M","198,12 M","186,33 M","181,26 M","186,34 M","176,24 M","179,32 M","176,88 M","169,54 M","165,97 M","163,16 M","156,08 M","139,28 M","122,11 M","109,38 M","97,05 M","91,71 M","66,21 M","51,85 M","43,81 M","36,71 M","32,11 M","30,45 M","26,18 M","24,00 M"
Despesas operacionais,"-93,81 M","-87,20 M","-90,12 M","-94,97 M","-97,59 M","-86,89 M","-87,36 M","-86,11 M","-83,41 M","-79,02 M","-76,72 M","-74,75 M","-65,79 M","-52,81 M","-44,37 M","-51,84 M","-51,83 M","-41,59 M","-31,15 M","-33,79 M","-23,31 M","-19,53 M","-11,11 M","-14,76 M","-19,82 M"
Despesas com vendas,"-44,11 M","-44,05 M","-47,67 M","-49,41 M","-46,55 M","-51,09 M","-46,23 M","-40,23 M","-37,09 M","-38,67 M","-41,70 M","-37,85 M","-34,64 M","-27,54 M","-28,54 M","-25,05 M","-21,88 M","-29,73 M","-8,38 M","-5,73 M","-6,33 M","-5,20 M","-2,50 M","-2,05 M","-1,31 M"
Despesas administrativas,"-54,07 M","-48,44 M","-47,48 M","-50,91 M","-55,11 M","-47,96 M","-45,71 M","-46,66 M","-47,30 M","-39,63 M","-42,63 M","-37,27 M","-32,15 M","-24,93 M","-18,57 M","-28,55 M","-30,73 M","-22,62 M","-22,47 M","-23,56 M","-12,51 M","-11,36 M","-6,03 M","-9,52 M","-8,30 M"
EBIT,"100,01 M","110,92 M","96,20 M","86,29 M","88,75 M","89,35 M","91,96 M","90,77 M","86,14 M","86,95 M","86,44 M","81,33 M","73,48 M","69,30 M","65,01 M","45,21 M","39,88 M","24,62 M","20,70 M","10,02 M","13,40 M","12,58 M","19,33 M","11,43 M","4,18 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-69,90 M","-69,15 M","-70,91 M","-60,73 M","-57,46 M","-65,64 M","-45,87 M","-39,96 M","-45,94 M","-52,13 M","-49,30 M","-54,89 M","-46,63 M","-42,74 M","-43,83 M","-32,08 M","-27,06 M","-16,59 M","-5,25 M","-7,90 M","-4,91 M","-4,20 M","-1,62 M","-1,50 M","-877,00 Mil"
Antes dos impostos,"30,11 M","41,76 M","25,30 M","25,57 M","31,29 M","23,71 M","46,09 M","50,81 M","40,20 M","34,82 M","37,15 M","26,44 M","26,86 M","26,57 M","21,18 M","13,12 M","12,82 M","8,02 M","15,46 M","2,12 M","8,49 M","8,38 M","17,71 M","9,93 M","3,30 M"
Imposto,"-17,74 M","-17,83 M","-8,05 M","-8,11 M","-9,17 M","757,00 Mil","-21,62 M","-21,04 M","-18,83 M","-2,80 M","-1,89 M","2,10 M","-5,70 M","-11,23 M","3,95 M","-7,66 M","-3,76 M","6,61 M","-3,44 M","-3,38 M","-3,21 M","-2,43 M","-5,55 M","-3,02 M","-1,74 M"
Op. continuadas,"12,37 M","23,94 M","17,25 M","17,46 M","22,12 M","24,47 M","24,47 M","29,77 M","21,37 M","32,02 M","35,25 M","28,55 M","21,15 M","15,34 M","25,13 M","5,47 M","9,05 M","14,63 M","12,02 M","-1,26 M","5,27 M","5,96 M","12,16 M","6,91 M","1,56 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"12,37 M","23,94 M","17,25 M","17,46 M","22,12 M","24,47 M","24,47 M","29,77 M","21,37 M","32,02 M","35,25 M","28,55 M","21,15 M","15,34 M","25,13 M","5,47 M","9,05 M","14,63 M","12,02 M","-1,26 M","5,27 M","5,96 M","12,16 M","6,91 M","1,56 M"
Dos controladores,"9,63 M","21,50 M","15,05 M","15,41 M","19,52 M","23,19 M","22,14 M","25,48 M","18,86 M","26,93 M","32,28 M","25,11 M","18,02 M","13,81 M","23,34 M","3,48 M","7,35 M","12,19 M","9,56 M","-1,07 M","5,11 M","6,19 M","12,16 M","6,91 M","1,56 M"
Dos não controladores,"2,73 M","2,44 M","2,20 M","2,05 M","2,60 M","1,28 M","2,33 M","4,29 M","2,51 M","5,10 M","2,97 M","3,44 M","3,13 M","1,53 M","1,80 M","1,98 M","1,70 M","2,44 M","2,46 M","-189,00 Mil","166,00 Mil","-232,00 Mil",0,0,0
