Conta,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010
Ativo total,"74,51 B","70,73 B","62,50 B","56,79 B","53,72 B","50,34 B","49,95 B","48,05 B","46,42 B","42,77 B","41,36 B","40,08 B","38,16 B","38,35 B","31,77 B","27,98 B","27,04 B","27,72 B","25,50 B","21,42 B","19,24 B","17,55 B","17,07 B","16,01 B","15,89 B","15,21 B","15,31 B","14,89 B","14,60 B","14,33 B","14,19 B","13,78 B","13,42 B","13,58 B","13,67 B","13,64 B","13,39 B","13,29 B","13,81 B","13,41 B","12,96 B","12,85 B","12,69 B","12,31 B","11,82 B","11,36 B","11,58 B","11,14 B","10,65 B","9,37 B","9,77 B","9,69 B","9,22 B","8,59 B","8,71 B","8,57 B","8,40 B","7,75 B","7,84 B"
Ativo circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,74 B","5,16 B","5,24 B","5,52 B","5,94 B","5,60 B","5,59 B","6,43 B","6,07 B","5,94 B","6,35 B","6,40 B","5,93 B","6,08 B","5,87 B","5,97 B","5,98 B","5,98 B","6,25 B","6,73 B","6,33 B","6,20 B","5,69 B","6,26 B","5,97 B","5,56 B","5,14 B","5,60 B","5,18 B","4,45 B","4,44 B","4,98 B","4,46 B","4,02 B","3,87 B","4,19 B","4,15 B","3,74 B","3,39 B"
Caixa e eq. de caixa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Aplicações financeiras,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Contas a receber,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Estoques,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativos biológicos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativo não circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investimentos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Imobilizado,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
