Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"3,14 B","2,55 B","3,06 B","3,14 B","2,87 B","1,95 B","2,19 B","2,58 B","2,01 B","1,85 B","2,36 B","836,58 M","573,70 M","445,13 M","502,37 M","399,62 M","375,29 M","250,02 M","192,18 M","152,80 M","132,80 M","85,24 M","81,68 M","29,13 M","8,20 M","8,84 M","8,05 M","7,73 M","7,78 M"
Custos,"-2,00 B","-2,34 B","-2,16 B","-2,08 B","-1,94 B","-1,51 B","-1,68 B","-1,84 B","-1,36 B","-1,27 B","-1,62 B","-597,88 M","-369,51 M","-287,04 M","-271,74 M","-127,77 M","-149,00 M","-123,60 M","-82,68 M","-59,99 M","-53,26 M","-43,34 M","-46,91 M","-12,17 M","-3,44 M","-2,82 M","-3,78 M","-6,54 M","-2,89 M"
Lucro bruto,"1,13 B","208,92 M","896,82 M","1,07 B","930,46 M","435,73 M","509,75 M","731,98 M","651,12 M","578,86 M","736,21 M","238,70 M","204,19 M","158,09 M","230,64 M","271,85 M","226,30 M","126,42 M","109,50 M","92,81 M","79,54 M","41,90 M","34,77 M","16,96 M","4,76 M","6,02 M","4,27 M","1,19 M","4,89 M"
Despesas operacionais,"-181,11 M","-429,27 M","-30,07 M","-162,51 M","-264,50 M","-266,43 M","731,86 M","-152,08 M","-144,66 M","-67,77 M","-129,02 M","-163,79 M","-131,51 M","-299,92 M","-122,48 M","-105,21 M","-88,21 M","-34,89 M","-33,60 M","94,25 M","-18,99 M","-183,91 M","-22,61 M","-52,27 M","-12,02 M","37,56 M","-13,07 M","-41,37 M","-14,77 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-58,70 M","-160,75 M","-136,87 M","-139,84 M","-163,89 M","-134,40 M","-240,98 M","-133,83 M","-136,47 M","-90,17 M","-123,08 M","-120,83 M","-109,88 M","-86,11 M","-91,99 M","-85,36 M","-75,55 M","-87,68 M","-32,46 M","-20,74 M","-18,71 M","-19,42 M","-14,81 M","-14,14 M","-11,53 M","-19,77 M","-10,28 M","-5,53 M","-8,32 M"
EBIT,"951,78 M","-220,34 M","866,74 M","903,82 M","665,96 M","169,30 M","1,24 B","579,89 M","506,47 M","511,09 M","607,19 M","74,91 M","72,68 M","-141,83 M","108,16 M","166,64 M","138,09 M","91,53 M","75,91 M","187,06 M","60,55 M","-142,01 M","12,16 M","-35,31 M","-7,26 M","43,59 M","-8,81 M","-40,18 M","-9,89 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-1,58 B","-651,29 M","-1,33 B","626,74 M","588,84 M","-1,79 B","-151,19 M","-1,13 B","-765,40 M","36,76 M","-718,98 M","25,32 M","-18,18 M","-105,57 M","185,97 M","-132,06 M","-433,53 M","-106,00 M","-118,88 M","-92,99 M","-141,76 M","-27,93 M","-55,23 M","-22,09 M","-24,02 M","-1,05 M","-15,14 M","3,26 M","74,00 Mil"
Antes dos impostos,"-625,83 M","-871,63 M","-460,28 M","1,53 B","1,25 B","-1,62 B","1,09 B","-545,46 M","-258,94 M","547,86 M","-111,78 M","100,22 M","54,50 M","-247,40 M","294,13 M","34,58 M","-295,44 M","-14,47 M","-42,97 M","94,07 M","-81,21 M","-169,94 M","-43,07 M","-57,41 M","-31,28 M","42,54 M","-23,95 M","-36,91 M","-9,81 M"
Imposto,"276,14 M","283,93 M","580,98 M","-481,50 M","-425,62 M","587,68 M","-379,03 M","182,40 M","29,05 M","-140,68 M","34,33 M","-20,84 M","-38,40 M","208,43 M","175,65 M","-2,49 M","-39,74 M","34,25 M","28,87 M","-39,78 M","37,24 M","22,40 M","-160,00 Mil","3,50 M","-642,00 Mil","-3,18 M","-539,00 Mil","-906,00 Mil","792,00 Mil"
Op. continuadas,"-349,69 M","-587,70 M","120,70 M","1,05 B","829,17 M","-1,03 B","711,40 M","-363,06 M","-229,89 M","407,18 M","-77,45 M","79,39 M","16,10 M","-38,97 M","469,77 M","32,09 M","-335,18 M","19,78 M","-14,10 M","54,29 M","-43,97 M","-147,54 M","-43,23 M","-53,90 M","-31,92 M","39,36 M","-24,49 M","-37,82 M","-9,02 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-349,69 M","-587,70 M","120,70 M","1,05 B","829,17 M","-1,03 B","711,40 M","-363,06 M","-229,89 M","407,18 M","-77,45 M","79,39 M","16,10 M","-38,97 M","469,77 M","32,09 M","-335,18 M","19,78 M","-14,10 M","54,29 M","-43,97 M","-147,54 M","-43,23 M","-53,90 M","-31,92 M","39,36 M","-24,49 M","-37,82 M","-9,02 M"
Dos controladores,"-349,69 M","-587,70 M","120,70 M","1,05 B","829,17 M","-1,03 B","718,73 M","-365,64 M","-235,62 M","399,01 M","-83,49 M","77,02 M","12,69 M","-43,00 M","431,86 M","52,83 M","-292,12 M","24,73 M","-5,77 M","24,11 M","-43,97 M","-145,28 M","-33,26 M","-49,68 M","-31,92 M","39,36 M","-24,49 M","-37,82 M","-9,02 M"
Dos não controladores,0,0,0,0,0,0,"-7,33 M","1,59 M","5,74 M","8,16 M","6,04 M","2,37 M","3,41 M","4,03 M","37,92 M","-20,74 M","-43,06 M","-4,96 M","-8,33 M","30,18 M",0,"-2,26 M","-9,97 M","-4,22 M",0,0,0,0,0
