Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"696,43 M","754,08 M","695,35 M","667,46 M","671,52 M","727,44 M","712,27 M","638,29 M","588,33 M","654,06 M","622,13 M","560,26 M","561,68 M","615,08 M","601,18 M","556,16 M","540,25 M","563,37 M","538,67 M","496,19 M","435,38 M","502,17 M","455,16 M","349,14 M","314,70 M","390,70 M","348,85 M","289,31 M","315,18 M"
Custos,"-484,94 M","-512,90 M","-469,83 M","-451,87 M","-449,50 M","-470,55 M","-468,94 M","-416,81 M","-381,89 M","-424,80 M","-403,29 M","-371,84 M","-372,18 M","-407,17 M","-412,21 M","-369,23 M","-354,94 M","-347,90 M","-331,33 M","-299,89 M","-260,54 M","-288,50 M","-263,80 M","-210,75 M","-188,31 M","-224,59 M","-208,47 M","-171,29 M","-197,64 M"
Lucro bruto,"211,49 M","241,17 M","225,52 M","215,59 M","222,03 M","256,89 M","243,33 M","221,48 M","206,44 M","229,26 M","218,84 M","188,42 M","189,49 M","207,91 M","188,97 M","186,93 M","185,31 M","215,47 M","207,33 M","196,31 M","174,84 M","213,66 M","191,36 M","138,39 M","126,39 M","166,11 M","140,38 M","118,01 M","117,54 M"
Despesas operacionais,"-220,13 M","-231,43 M","-225,01 M","-221,24 M","-213,46 M","-223,25 M","-218,02 M","-242,23 M","-138,98 M","-159,35 M","-200,66 M","-172,44 M","-190,56 M","-175,62 M","-173,22 M","-165,40 M","-167,32 M","-173,52 M","-162,24 M","-155,48 M","-138,75 M","-153,28 M","-136,40 M","-114,08 M","-112,48 M","-129,10 M","-104,87 M","-99,88 M","-94,21 M"
Despesas com vendas,"-149,14 M","-159,52 M","-154,38 M","-153,29 M","-149,43 M","-153,27 M","-147,55 M","-145,52 M","-134,90 M","-141,02 M","-133,72 M","-132,96 M","-127,61 M","-126,58 M","-120,28 M","-114,35 M","-113,53 M","-118,79 M","-111,11 M","-104,40 M","-94,88 M","-103,58 M","-89,93 M","-75,16 M","-77,77 M","-83,03 M","-72,06 M","-68,41 M","-64,17 M"
Despesas administrativas,"-68,15 M","-69,16 M","-70,75 M","-67,31 M","-69,12 M","-70,68 M","-67,81 M","-67,26 M","-62,01 M","-65,21 M","-59,66 M","-57,05 M","-60,09 M","-56,26 M","-53,78 M","-52,37 M","-51,08 M","-50,59 M","-49,87 M","-47,01 M","-40,93 M","-44,88 M","-40,85 M","-33,55 M","-32,51 M","-35,67 M","-31,38 M","-30,31 M","-28,27 M"
EBIT,"-8,64 M","9,74 M","515,00 Mil","-5,66 M","8,57 M","33,64 M","25,31 M","-20,75 M","67,46 M","69,91 M","18,18 M","15,98 M","-1,06 M","32,29 M","15,74 M","21,53 M","17,99 M","41,95 M","45,09 M","40,82 M","36,09 M","60,38 M","54,96 M","24,31 M","13,91 M","37,00 M","35,51 M","18,13 M","23,34 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-44,90 M","-47,18 M","-44,32 M","-40,99 M","-34,49 M","-35,95 M","-31,37 M","-53,67 M","106,00 Mil","-9,92 M","-34,88 M","-29,19 M","-31,93 M","-27,80 M","-26,93 M","-27,21 M","-30,35 M","-21,18 M","-19,12 M","-15,69 M","-15,71 M","-14,48 M","-7,57 M","-17,20 M","-15,88 M","-14,88 M","-14,37 M","-15,95 M","-21,26 M"
Antes dos impostos,"-53,54 M","-37,44 M","-43,81 M","-46,65 M","-25,92 M","-2,31 M","-6,06 M","-74,43 M","67,56 M","59,99 M","-16,69 M","-13,21 M","-33,00 M","4,49 M","-11,19 M","-5,68 M","-12,36 M","20,76 M","25,97 M","25,14 M","20,38 M","45,91 M","47,39 M","7,12 M","-1,97 M","22,13 M","21,14 M","2,18 M","2,08 M"
Imposto,"-8,13 M","-5,25 M","1,66 M","634,00 Mil","-5,18 M","8,56 M","2,38 M","18,07 M","-13,64 M","165,00 Mil","4,44 M","7,34 M","10,64 M","-924,00 Mil","3,55 M","1,31 M","2,09 M","4,32 M","-10,42 M","-9,15 M","-8,77 M","-11,05 M","-17,29 M","-2,67 M","436,00 Mil","-6,20 M","-7,79 M","-828,00 Mil","-2,58 M"
Op. continuadas,"-61,67 M","-42,69 M","-42,14 M","-46,01 M","-31,10 M","6,25 M","-3,68 M","-56,35 M","53,92 M","60,16 M","-12,25 M","-5,87 M","-22,36 M","3,57 M","-7,64 M","-4,37 M","-10,26 M","25,08 M","15,55 M","15,99 M","11,61 M","34,85 M","30,11 M","4,45 M","-1,54 M","15,93 M","13,34 M","1,35 M","-500,00 Mil"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-61,67 M","-42,69 M","-42,14 M","-46,01 M","-31,10 M","6,25 M","-3,68 M","-56,35 M","53,92 M","60,16 M","-12,25 M","-5,87 M","-22,36 M","3,57 M","-7,64 M","-4,37 M","-10,26 M","25,08 M","15,55 M","15,99 M","11,61 M","34,85 M","30,11 M","4,45 M","-1,54 M","15,93 M","13,34 M","1,35 M","-500,00 Mil"
Dos controladores,"-61,67 M","-42,69 M","-42,14 M","-46,01 M","-31,10 M","6,25 M","-3,68 M","-56,35 M","53,92 M","60,16 M","-12,25 M","-5,87 M","-22,36 M","3,57 M","-7,64 M","-4,37 M","-10,26 M","25,08 M","15,55 M","15,99 M","11,61 M","34,85 M","30,11 M","4,45 M","-1,54 M","15,93 M","13,34 M","1,35 M","-500,00 Mil"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
