Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"3,90 B","3,77 B","3,67 B","3,74 B","3,43 B","3,70 B","3,66 B","3,75 B","3,27 B","3,31 B","3,05 B","2,82 B","2,87 B","3,03 B","2,83 B","2,55 B","2,56 B","2,69 B","2,61 B","2,44 B","2,07 B","2,22 B","2,18 B","1,69 B","1,62 B","1,64 B","1,17 B"
Ativo circulante,"2,93 B","2,77 B","2,66 B","2,71 B","2,38 B","2,64 B","2,60 B","2,61 B","2,08 B","2,22 B","2,03 B","1,80 B","1,86 B","2,03 B","1,87 B","1,63 B","1,67 B","1,82 B","1,79 B","1,73 B","1,42 B","1,60 B","1,60 B","1,14 B","1,09 B","1,15 B","902,82 M"
Caixa e eq. de caixa,"608,06 M","438,29 M","374,06 M","478,82 M","169,00 M","489,90 M","482,32 M","631,18 M","246,11 M","421,36 M","278,72 M","143,20 M","222,91 M","416,78 M","340,87 M","142,40 M","156,28 M","256,35 M","365,73 M","474,06 M","254,44 M","475,44 M","598,03 M","263,85 M","173,27 M","240,25 M","149,93 M"
Aplicações financeiras,"165,04 M","161,59 M","156,82 M","145,98 M","161,53 M","163,11 M","170,29 M","169,22 M","108,15 M","110,21 M","107,21 M","63,23 M","83,25 M","75,52 M","77,91 M","70,16 M","67,34 M","84,89 M","82,85 M","72,24 M","31,93 M","31,54 M","31,67 M","31,54 M","17,43 M","30,04 M","31,40 M"
Contas a receber,"1,48 B","1,48 B","1,39 B","1,31 B","1,33 B","1,25 B","1,21 B","1,14 B","1,12 B","1,06 B","1,02 B","970,19 M","939,89 M","911,71 M","843,82 M","806,83 M","833,45 M","833,14 M","766,61 M","707,49 M","672,69 M","646,34 M","585,39 M","514,64 M","552,42 M","570,89 M","461,69 M"
Estoques,"519,48 M","535,67 M","544,33 M","544,39 M","508,36 M","518,11 M","516,85 M","503,72 M","480,44 M","474,51 M","495,25 M","495,62 M","473,48 M","470,82 M","460,97 M","490,17 M","499,18 M","457,98 M","419,91 M","352,80 M","320,45 M","318,90 M","263,80 M","219,74 M","233,89 M","224,32 M","214,22 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"971,64 M","997,87 M","1,01 B","1,03 B","1,05 B","1,06 B","1,06 B","1,14 B","1,19 B","1,09 B","1,02 B","1,03 B","1,02 B","998,37 M","964,68 M","920,79 M","887,64 M","869,01 M","825,68 M","706,99 M","643,14 M","616,31 M","583,21 M","548,17 M","536,10 M","490,93 M","263,89 M"
Investimentos,"4,00 Mil","4,00 Mil","3,00 Mil","3,00 Mil","3,00 Mil","3,00 Mil","3,00 Mil","3,00 Mil","3,00 Mil","3,00 Mil","2,00 Mil","3,00 Mil","3,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"600,54 M","614,63 M","628,90 M","649,80 M","646,91 M","647,13 M","643,32 M","646,95 M","646,96 M","657,13 M","661,00 M","663,79 M","681,55 M","679,38 M","656,98 M","631,72 M","608,16 M","587,63 M","553,26 M","489,90 M","430,06 M","399,61 M","364,80 M","321,57 M","311,97 M","268,60 M","53,84 M"
Intangível,"59,60 M","59,80 M","58,95 M","58,46 M","58,85 M","58,57 M","59,39 M","58,33 M","58,52 M","57,83 M","57,19 M","57,53 M","58,11 M","57,46 M","54,37 M","54,38 M","52,63 M","49,44 M","48,11 M","46,73 M","44,66 M","43,51 M","43,25 M","40,41 M","39,28 M","38,41 M","29,94 M"
Passivo total,"3,90 B","3,77 B","3,67 B","3,74 B","3,43 B","3,70 B","3,66 B","3,75 B","3,27 B","3,31 B","3,05 B","2,82 B","2,87 B","3,03 B","2,83 B","2,55 B","2,56 B","2,69 B","2,61 B","2,44 B","2,07 B","2,22 B","2,18 B","1,69 B","1,62 B","1,64 B","1,17 B"
Passivo circulante,"1,58 B","1,73 B","1,62 B","1,64 B","1,55 B","1,69 B","1,51 B","1,46 B","1,25 B","1,31 B","1,10 B","1,05 B","1,01 B","1,07 B","979,59 M","936,88 M","903,20 M","1,13 B","1,01 B","879,70 M","842,52 M","977,08 M","930,66 M","742,12 M","662,93 M","707,48 M","569,04 M"
Fornecedores,"332,33 M","468,63 M","307,00 M","339,95 M","329,99 M","470,88 M","366,35 M","362,61 M","317,42 M","394,87 M","302,11 M","306,56 M","296,64 M","395,74 M","300,22 M","286,26 M","248,07 M","475,80 M","385,61 M","306,35 M","256,85 M","369,37 M","353,48 M","232,00 M","222,51 M","314,05 M","245,80 M"
Empréstimos e financ.,"120,63 M","95,30 M","178,13 M","231,24 M","197,02 M","196,13 M","179,48 M","155,66 M","106,53 M","111,28 M","101,16 M","91,99 M","75,26 M","64,12 M","99,89 M","102,08 M","111,84 M","109,49 M","118,66 M","124,88 M","139,33 M","167,91 M","167,84 M","156,37 M","121,06 M","69,23 M","106,66 M"
Passivo não circulante,"1,98 B","1,64 B","1,60 B","1,61 B","1,34 B","1,46 B","1,59 B","1,73 B","1,41 B","1,46 B","1,45 B","1,26 B","1,35 B","1,42 B","1,33 B","1,09 B","1,12 B","1,02 B","1,07 B","1,04 B","731,55 M","762,28 M","791,70 M","795,60 M","814,77 M","791,65 M","459,01 M"
Emprést. de longo prazo,"447,83 M","486,86 M","381,38 M","265,56 M","302,94 M","338,39 M","390,75 M","438,38 M","419,21 M","390,01 M","267,63 M","292,25 M","323,09 M","348,94 M","238,75 M","261,94 M","281,96 M","158,31 M","180,94 M","208,26 M","180,57 M","207,84 M","235,02 M","259,85 M","272,24 M","266,76 M","138,83 M"
Patrimônio líquido,"343,32 M","404,94 M","448,15 M","489,79 M","536,00 M","546,00 M","563,97 M","566,24 M","620,72 M","533,80 M","503,83 M","512,76 M","516,53 M","536,82 M","520,37 M","525,83 M","533,74 M","541,51 M","530,97 M","512,45 M","493,38 M","479,33 M","461,85 M","148,57 M","144,13 M","145,67 M","138,66 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
