Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"320,49 M","310,56 M","243,57 M","337,97 M","225,18 M","397,47 M","245,56 M","140,81 M","245,14 M","384,42 M","258,65 M","241,67 M","298,97 M","211,24 M","306,41 M","304,93 M","207,00 M","236,64 M","186,62 M","183,53 M","165,03 M","147,90 M","111,75 M","187,59 M","134,21 M","146,62 M","145,72 M","146,06 M","124,49 M"
Custos,"-242,64 M","-239,90 M","-182,17 M","-248,57 M","-174,26 M","-300,92 M","-178,40 M","-135,17 M","-191,02 M","-280,84 M","-220,46 M","-190,76 M","-247,90 M","-171,73 M","-235,05 M","-241,08 M","-146,77 M","-182,86 M","-137,68 M","-140,93 M","-125,33 M","-124,80 M","-78,84 M","-145,78 M","-101,95 M","-108,34 M","-115,91 M","-111,64 M","-88,13 M"
Lucro bruto,"77,84 M","70,66 M","61,40 M","89,40 M","50,92 M","96,55 M","67,16 M","5,64 M","54,12 M","103,58 M","38,19 M","50,91 M","51,07 M","39,50 M","71,36 M","63,84 M","60,23 M","53,78 M","48,94 M","42,60 M","39,70 M","23,09 M","32,91 M","41,81 M","32,26 M","38,28 M","29,81 M","34,42 M","36,36 M"
Despesas operacionais,"-47,12 M","-31,65 M","-41,69 M","-55,11 M","-43,23 M","-42,01 M","-30,18 M","-43,28 M","-30,48 M","-39,72 M","-34,17 M","-39,08 M","-34,07 M","-35,12 M","-49,52 M","-43,05 M","-34,49 M","-33,65 M","-36,43 M","-32,14 M","-21,88 M","-17,45 M","-21,20 M","-14,07 M","-22,67 M","-22,75 M","-16,25 M","-28,08 M","-15,98 M"
Despesas com vendas,"-18,92 M","-16,34 M","-16,69 M","-19,03 M","-19,12 M","-19,29 M","-16,53 M","-15,18 M","-14,63 M","-18,27 M","-23,37 M","-22,18 M","-15,39 M","-19,51 M","-26,86 M","-19,88 M","-16,08 M","-19,14 M","-16,88 M","-11,55 M","-10,42 M","-11,99 M","-13,23 M","-6,44 M","-10,56 M","-16,26 M","-9,94 M","-13,98 M","-7,60 M"
Despesas administrativas,"-19,45 M","-13,68 M","-22,49 M","-19,56 M","-24,66 M","-24,77 M","-17,80 M","-19,29 M","-15,54 M","-18,75 M","-18,53 M","-14,49 M","-16,10 M","-13,59 M","-13,10 M","-16,26 M","-11,20 M","-13,98 M","-12,34 M","-11,72 M","-9,78 M","-6,22 M","-7,22 M","-5,09 M","-8,86 M","-8,62 M","-7,28 M","-12,57 M","-6,78 M"
EBIT,"30,72 M","39,01 M","19,71 M","34,29 M","7,70 M","54,54 M","36,98 M","-37,64 M","23,65 M","63,86 M","4,02 M","11,83 M","17,00 M","4,38 M","21,84 M","20,79 M","25,74 M","20,12 M","12,51 M","10,46 M","17,83 M","5,65 M","11,71 M","27,74 M","9,59 M","15,53 M","13,56 M","6,34 M","20,38 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"13,03 M","13,71 M","22,52 M","26,65 M","20,59 M","21,40 M","20,96 M","20,35 M","24,21 M","23,18 M","22,05 M","23,90 M","16,50 M","18,04 M","15,68 M","24,33 M","17,94 M","15,58 M","12,41 M","5,24 M","5,79 M","6,12 M","1,79 M","4,82 M","2,58 M","4,31 M","3,08 M","2,93 M","1,80 M"
Antes dos impostos,"43,75 M","52,71 M","42,23 M","60,94 M","28,29 M","75,94 M","57,94 M","-17,29 M","47,86 M","87,04 M","26,07 M","35,73 M","33,50 M","22,42 M","37,52 M","45,12 M","43,69 M","35,71 M","24,92 M","15,70 M","23,61 M","11,76 M","13,49 M","32,56 M","12,17 M","19,83 M","16,64 M","9,27 M","22,18 M"
Imposto,"-7,73 M","-9,88 M","-6,35 M","-10,78 M","-7,10 M","-9,80 M","-5,76 M","-6,57 M","-5,48 M","-10,07 M","-6,13 M","-7,74 M","-6,44 M","-7,20 M","-6,45 M","-6,26 M","-3,25 M","-3,98 M","-3,54 M","-3,33 M","-2,72 M","-3,32 M","-2,75 M","-4,30 M","-2,44 M","-3,31 M","-2,64 M","-3,95 M","-2,71 M"
Op. continuadas,"36,02 M","42,83 M","35,88 M","50,16 M","21,19 M","66,13 M","52,19 M","-23,86 M","42,38 M","76,96 M","19,94 M","27,99 M","27,06 M","15,22 M","31,07 M","38,86 M","40,44 M","31,72 M","21,38 M","12,37 M","20,89 M","8,44 M","10,74 M","28,25 M","9,73 M","16,52 M","14,00 M","5,32 M","19,47 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"36,02 M","42,83 M","35,88 M","50,16 M","21,19 M","66,13 M","52,19 M","-23,86 M","42,38 M","76,96 M","19,94 M","27,99 M","27,06 M","15,22 M","31,07 M","38,86 M","40,44 M","31,72 M","21,38 M","12,37 M","20,89 M","8,44 M","10,74 M","28,25 M","9,73 M","16,52 M","14,00 M","5,32 M","19,47 M"
