Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"1,00 B","974,21 M","901,33 M","822,78 M","829,40 M","825,17 M","728,86 M","706,39 M","696,28 M","682,10 M","621,26 M","594,83 M","587,34 M","579,86 M","517,06 M","500,84 M","484,30 M","474,91 M","420,61 M","380,35 M","369,26 M","356,85 M","309,55 M","284,11 M","263,70 M","266,69 M","145,54 M"
Ativo circulante,"696,97 M","681,17 M","612,63 M","562,66 M","572,26 M","568,52 M","512,01 M","500,15 M","507,97 M","502,70 M","441,57 M","426,29 M","429,87 M","427,79 M","374,54 M","373,50 M","369,25 M","367,03 M","325,90 M","283,43 M","277,58 M","281,11 M","221,45 M","194,40 M","174,94 M","184,20 M","129,79 M"
Caixa e eq. de caixa,"63,64 M","35,26 M","20,66 M","23,67 M","50,44 M","23,41 M","47,36 M","66,99 M","82,18 M","54,48 M","46,27 M","39,93 M","63,29 M","60,49 M","53,35 M","60,67 M","74,36 M","66,77 M","63,20 M","63,42 M","86,00 M","89,08 M","77,26 M","86,77 M","74,39 M","47,41 M","16,47 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"221,46 M","286,62 M","206,11 M","176,62 M","173,74 M","241,66 M","147,73 M","152,95 M","148,74 M","196,54 M","126,39 M","117,83 M","115,38 M","152,77 M","98,75 M","92,55 M","84,68 M","125,32 M","93,00 M","70,37 M","56,06 M","98,98 M","51,71 M","30,47 M","18,66 M","65,16 M","55,96 M"
Estoques,"384,20 M","336,94 M","354,76 M","337,29 M","328,49 M","289,40 M","296,40 M","260,54 M","253,51 M","232,86 M","254,43 M","253,86 M","240,17 M","204,47 M","212,13 M","207,75 M","197,63 M","158,64 M","148,20 M","133,54 M","115,82 M","79,90 M","77,72 M","61,26 M","64,08 M","55,16 M","53,57 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"306,17 M","293,04 M","288,70 M","260,12 M","257,14 M","256,64 M","216,85 M","206,25 M","188,32 M","179,40 M","179,69 M","168,54 M","157,47 M","152,07 M","142,52 M","127,34 M","115,05 M","107,88 M","94,70 M","96,92 M","91,68 M","75,74 M","88,10 M","89,71 M","88,75 M","82,49 M","15,75 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"266,64 M","256,09 M","246,47 M","220,06 M","217,69 M","219,21 M","178,28 M","169,27 M","151,93 M","146,61 M","140,72 M","136,42 M","126,13 M","124,45 M","116,31 M","106,80 M","97,13 M","90,12 M","85,26 M","82,96 M","77,77 M","56,20 M","51,28 M","52,04 M","54,66 M","57,08 M","8,69 M"
Intangível,"26,91 M","24,46 M","30,39 M","28,55 M","26,26 M","25,02 M","25,95 M","24,50 M","24,39 M","20,69 M","19,83 M","14,65 M","13,05 M","10,95 M","9,37 M","6,88 M","5,96 M","4,97 M","3,74 M","2,51 M","1,80 M","1,45 M","1,47 M","1,61 M","1,76 M","1,87 M","816,00 Mil"
Passivo total,"1,00 B","974,21 M","901,33 M","822,78 M","829,40 M","825,17 M","728,86 M","706,39 M","696,28 M","682,10 M","621,26 M","594,83 M","587,34 M","579,86 M","517,06 M","500,84 M","484,30 M","474,91 M","420,61 M","380,35 M","369,26 M","356,85 M","309,55 M","284,11 M","263,70 M","266,69 M","145,54 M"
Passivo circulante,"246,55 M","250,72 M","214,32 M","176,69 M","210,34 M","212,42 M","168,94 M","154,61 M","169,15 M","177,72 M","140,13 M","135,32 M","155,61 M","166,44 M","114,43 M","112,99 M","115,25 M","128,04 M","97,39 M","81,74 M","86,05 M","99,94 M","204,87 M","181,84 M","187,23 M","197,39 M","38,32 M"
Fornecedores,"80,47 M","88,10 M","90,14 M","73,77 M","75,78 M","81,35 M","73,10 M","70,00 M","64,03 M","59,20 M","47,99 M","55,84 M","59,48 M","60,34 M","38,47 M","51,31 M","46,10 M","42,86 M","37,24 M","32,98 M","38,61 M","36,25 M","29,92 M","12,38 M","22,20 M","13,46 M","10,90 M"
Empréstimos e financ.,"17,92 M","17,00 M","17,90 M","16,62 M","16,53 M","15,89 M","17,32 M","16,80 M","16,46 M","17,68 M","18,99 M","17,21 M","16,35 M","15,77 M","14,63 M","12,80 M","12,00 M","10,43 M","10,75 M","10,10 M","8,65 M","6,91 M","15,91 M","10,12 M","5,97 M","7,96 M","5,00 Mil"
Passivo não circulante,"165,12 M","158,09 M","155,40 M","133,86 M","135,04 M","139,93 M","106,35 M","103,74 M","92,34 M","90,75 M","90,23 M","89,93 M","83,50 M","85,09 M","84,69 M","82,79 M","81,27 M","79,05 M","77,64 M","76,36 M","74,34 M","55,27 M","77,42 M","82,17 M","64,30 M","56,61 M","6,60 M"
Emprést. de longo prazo,"160,91 M","153,92 M","151,52 M","129,70 M","130,70 M","135,39 M","101,61 M","98,78 M","86,71 M","84,25 M","82,75 M","81,62 M","74,68 M","75,60 M","74,20 M","71,91 M","72,15 M","68,56 M","66,70 M","65,29 M","63,60 M","44,02 M","14,54 M","20,11 M","41,76 M","42,88 M",0
Patrimônio líquido,"591,47 M","565,40 M","531,62 M","512,23 M","484,02 M","472,81 M","453,57 M","448,05 M","434,79 M","413,63 M","390,90 M","369,58 M","348,24 M","328,33 M","317,94 M","305,06 M","287,78 M","267,81 M","245,57 M","222,25 M","208,87 M","201,64 M","27,26 M","20,09 M","12,16 M","12,69 M","100,62 M"
Aos não controladores,"3,04 M","2,91 M","1,34 M","1,30 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
