Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,4T2015
Ativo total,"31,17 B","23,64 B","27,63 B","26,90 B","25,55 B","26,27 B","23,40 B","22,83 B","20,90 B","20,53 B","19,61 B","17,12 B","17,40 B","18,72 B","18,32 B","18,53 B","17,79 B","18,53 B","17,78 B","17,39 B","15,19 B","15,79 B","13,93 B","15,16 B","18,82 B","19,20 B","18,61 B","17,74 B","16,74 B","16,09 B","11,45 B","10,96 B","10,40 B","10,32 B","9,01 B","9,18 B","8,07 B","8,40 B","7,84 B"
Ativo circulante,"7,23 B","6,30 B","7,30 B","7,18 B","5,96 B","5,66 B","5,01 B","4,95 B","4,86 B","5,04 B","5,93 B","4,63 B","3,95 B","4,87 B","5,13 B","5,72 B","5,03 B","5,85 B","6,77 B","6,76 B","4,56 B","5,42 B","3,61 B","3,49 B","3,57 B","4,14 B","4,06 B","3,89 B","3,59 B","3,69 B","3,62 B","3,42 B","3,10 B","3,30 B","2,66 B","2,64 B","1,70 B","1,91 B","1,86 B"
Caixa e eq. de caixa,"2,09 B","991,64 M","652,58 M","1,46 B","460,70 M","1,21 B","1,08 B","1,44 B","1,34 B","1,90 B","1,40 B","616,21 M","466,35 M","668,35 M","1,10 B","2,03 B","1,86 B","3,07 B","3,63 B","4,34 B","2,28 B","3,06 B","1,44 B","1,57 B","529,24 M","1,65 B","1,52 B","1,21 B","908,39 M","1,17 B","893,68 M","848,96 M","738,94 M","762,32 M","485,86 M","500,91 M","434,97 M","549,16 M","636,50 M"
Aplicações financeiras,0,"26,29 M","1,11 B","1,13 B","1,14 B","71,90 M","56,98 M","35,93 M",0,0,0,0,0,0,"243,00 Mil","915,00 Mil","1,51 M","1,43 M","1,18 M","1,05 M","10,62 M","91,82 M","133,55 M","64,73 M","738,14 M","62,01 M","41,05 M","261,78 M","396,82 M","517,42 M","667,62 M","725,84 M","631,62 M","1,04 B","971,65 M","973,24 M","284,69 M","384,62 M","110,57 M"
Contas a receber,"2,57 B","2,72 B","2,65 B","1,69 B","1,69 B","1,78 B","1,36 B","1,03 B","1,36 B","1,11 B","1,72 B","1,35 B","1,27 B","1,80 B","2,17 B","1,56 B","1,33 B","997,89 M","1,65 B","1,19 B","1,02 B","875,38 M","868,54 M","771,25 M","1,02 B","1,24 B","1,51 B","1,45 B","1,42 B","1,14 B","1,34 B","1,18 B","1,17 B","914,43 M","810,03 M","778,63 M","622,47 M","673,27 M","650,41 M"
Estoques,"974,97 M","972,53 M","1,02 B","988,15 M","972,55 M","943,58 M","1,03 B","1,00 B","943,34 M","799,21 M","751,58 M","722,74 M","718,87 M","721,74 M","678,46 M","658,20 M","601,82 M","571,92 M","519,56 M","479,24 M","454,16 M","402,59 M","376,44 M","399,27 M","380,20 M","260,87 M","263,85 M","229,73 M","224,87 M","200,15 M","198,37 M","171,47 M","175,14 M","150,39 M","134,43 M","129,62 M","114,83 M","107,10 M","92,45 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"23,94 B","17,33 B","20,33 B","19,72 B","19,59 B","20,62 B","18,39 B","17,88 B","16,03 B","15,49 B","13,67 B","12,49 B","13,45 B","13,85 B","13,19 B","12,81 B","12,76 B","12,69 B","11,01 B","10,63 B","10,63 B","10,38 B","10,32 B","11,67 B","15,24 B","15,06 B","14,55 B","13,85 B","13,16 B","12,40 B","7,82 B","7,54 B","7,30 B","7,01 B","6,35 B","6,54 B","6,37 B","6,49 B","5,98 B"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"12,04 B","12,90 B","14,16 B","14,43 B","14,55 B","14,51 B","13,17 B","12,68 B","11,47 B","11,31 B","9,77 B","8,68 B","9,32 B","9,51 B","8,53 B","8,23 B","8,23 B","7,96 B","6,42 B","6,40 B","6,28 B","6,41 B","5,31 B","6,62 B","9,60 B","9,55 B","8,96 B","8,64 B","8,02 B","6,77 B","3,14 B","3,14 B","3,43 B","3,33 B","3,25 B","3,48 B","3,39 B","3,44 B","3,55 B"
Intangível,"1,53 B","1,54 B","1,55 B","1,57 B","1,57 B","1,56 B","1,52 B","1,50 B","1,48 B","1,46 B","1,46 B","1,47 B","1,46 B","1,43 B","1,40 B","1,37 B","1,37 B","1,36 B","1,35 B","1,32 B","1,19 B","1,17 B","1,15 B","1,14 B","1,09 B","1,09 B","1,05 B","1,05 B","1,03 B","1,02 B","998,03 M","972,10 M","960,67 M","961,00 M","950,35 M","952,09 M","942,67 M","942,62 M","923,30 M"
Passivo total,"31,17 B","23,64 B","27,63 B","26,90 B","25,55 B","26,27 B","23,40 B","22,83 B","20,90 B","20,53 B","19,61 B","17,12 B","17,40 B","18,72 B","18,32 B","18,53 B","17,79 B","18,53 B","17,78 B","17,39 B","15,19 B","15,79 B","13,93 B","15,16 B","18,82 B","19,20 B","18,61 B","17,74 B","16,74 B","16,09 B","11,45 B","10,96 B","10,40 B","10,32 B","9,01 B","9,18 B","8,07 B","8,40 B","7,84 B"
Passivo circulante,"14,48 B","29,47 B","26,83 B","21,36 B","17,02 B","21,34 B","18,52 B","17,40 B","14,41 B","14,75 B","14,06 B","16,82 B","15,88 B","15,06 B","14,86 B","13,57 B","11,80 B","11,71 B","11,44 B","10,36 B","10,25 B","10,21 B","10,84 B","9,77 B","9,75 B","6,86 B","6,06 B","5,74 B","5,19 B","5,28 B","3,87 B","3,62 B","3,32 B","3,33 B","3,81 B","3,63 B","3,58 B","3,62 B","4,06 B"
Fornecedores,"2,94 B","3,93 B","3,49 B","3,58 B","3,67 B","4,15 B","3,70 B","3,19 B","2,34 B","2,28 B","1,90 B","2,91 B","2,72 B","2,52 B","1,92 B","1,72 B","1,89 B","1,53 B","1,78 B","1,91 B","2,03 B","2,24 B","2,91 B","2,60 B","2,11 B","1,38 B","1,26 B","1,24 B","1,20 B","1,29 B","1,20 B","1,10 B","947,70 M","953,53 M","874,28 M","897,10 M","1,03 B","1,03 B","1,05 B"
Empréstimos e financ.,"3,57 B","17,23 B","15,37 B","9,15 B","4,87 B","8,65 B","6,42 B","6,02 B","4,97 B","4,81 B","4,95 B","6,35 B","6,02 B","5,15 B","5,08 B","4,74 B","4,52 B","4,52 B","749,91 M","250,53 M","524,51 M","3,13 B","3,66 B","3,37 B","4,28 B","481,23 M","273,61 M","227,30 M","155,74 M","158,81 M","435,75 M","542,30 M","581,57 M","568,23 M","1,01 B","1,10 B","1,02 B","985,24 M","1,25 B"
Passivo não circulante,"20,46 B","23,20 B","28,20 B","31,57 B","36,98 B","35,37 B","30,92 B","31,59 B","28,85 B","27,11 B","26,83 B","19,98 B","21,24 B","22,67 B","23,59 B","23,08 B","21,63 B","25,16 B","24,29 B","22,77 B","21,85 B","19,73 B","16,95 B","18,04 B","18,71 B","15,85 B","13,19 B","12,09 B","12,02 B","11,97 B","4,63 B","4,48 B","4,07 B","4,15 B","2,69 B","3,27 B","3,43 B","3,78 B","4,17 B"
Emprést. de longo prazo,"17,08 B","18,63 B","22,00 B","25,29 B","29,83 B","27,84 B","23,94 B","24,49 B","22,61 B","20,06 B","21,62 B","15,87 B","17,12 B","16,68 B","18,79 B","18,44 B","17,20 B","20,39 B","9,65 B","9,65 B","7,25 B","16,75 B","14,64 B","15,86 B","16,37 B","3,04 B","3,12 B","2,82 B","2,88 B","2,60 B","3,32 B","3,29 B","2,81 B","2,92 B","1,89 B","2,54 B","2,70 B","3,05 B","3,56 B"
Patrimônio líquido,"-3,77 B","-29,04 B","-27,41 B","-26,04 B","-28,45 B","-30,44 B","-26,04 B","-26,17 B","-22,37 B","-21,33 B","-21,29 B","-19,68 B","-19,73 B","-19,01 B","-20,13 B","-18,12 B","-15,64 B","-18,33 B","-17,95 B","-15,74 B","-16,91 B","-14,15 B","-13,87 B","-12,65 B","-9,65 B","-3,52 B","-644,79 M","-88,43 M","-471,89 M","-1,15 B","2,95 B","2,87 B","3,02 B","2,83 B","2,52 B","2,29 B","1,06 B","1,00 B","-392,17 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
