Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020
Ativo total,"969,71 M","913,96 M","853,16 M","922,24 M","955,76 M","879,44 M","926,71 M","935,27 M","960,83 M","942,36 M","923,99 M","916,69 M","986,14 M","974,76 M","966,87 M","968,79 M","1,02 B","1,01 B","1,03 B","925,24 M","941,91 M","752,61 M"
Ativo circulante,"129,37 M","58,01 M","49,36 M","32,06 M","60,64 M","45,53 M","26,96 M","30,79 M","54,52 M","34,93 M","18,95 M","10,42 M","72,64 M","51,94 M","45,52 M","51,34 M","96,92 M","94,09 M","105,06 M","31,17 M","48,81 M","48,77 M"
Caixa e eq. de caixa,"40,49 M","11,64 M","21,70 M","16,61 M","5,24 M","8,83 M","10,19 M","21,68 M","4,19 M","2,08 M","4,60 M","3,60 M","3,53 M","2,05 M","12,35 M","25,73 M","7,85 M","23,21 M","53,96 M","22,98 M","1,82 M","34,20 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"73,53 M","34,90 M","16,86 M","8,85 M","52,66 M","32,15 M","11,57 M","2,77 M","45,47 M","28,02 M","8,45 M","4,64 M","67,37 M","48,53 M","30,98 M","23,15 M","85,38 M","61,67 M","46,58 M","594,00 Mil","4,88 M","403,00 Mil"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,00 Mil","2,00 Mil","555,00 Mil","35,27 M","1,81 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"840,33 M","855,95 M","803,79 M","890,18 M","895,12 M","833,90 M","899,76 M","904,48 M","906,31 M","907,43 M","905,04 M","906,28 M","913,50 M","922,82 M","921,34 M","917,46 M","919,11 M","916,55 M","925,19 M","894,08 M","893,10 M","703,83 M"
Investimentos,"717,59 M","718,44 M","719,22 M","791,93 M","792,65 M","731,75 M","795,00 M","801,59 M","802,50 M","803,20 M","804,11 M","805,07 M","806,03 M","806,99 M","811,65 M","813,11 M","814,57 M","811,61 M","779,25 M","9,69 M","9,76 M",0
Imobilizado,"56,15 M","56,25 M","56,44 M","46,80 M","46,84 M","45,16 M","46,93 M","46,95 M","46,96 M","46,99 M","47,01 M","46,55 M","46,58 M","46,56 M","46,43 M","46,42 M","46,35 M","50,61 M","84,25 M","857,14 M","857,41 M","629,10 M"
Intangível,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"865,00 Mil","865,00 Mil","730,00 Mil",0
Passivo total,"969,71 M","913,96 M","853,16 M","922,24 M","955,76 M","879,44 M","926,71 M","935,27 M","960,83 M","942,36 M","923,99 M","916,69 M","986,14 M","974,76 M","966,87 M","968,79 M","1,02 B","1,01 B","1,03 B","925,24 M","941,91 M","752,61 M"
Passivo circulante,"73,39 M","70,73 M","60,17 M","56,06 M","75,49 M","81,67 M","61,49 M","77,23 M","79,47 M","65,34 M","54,76 M","55,87 M","66,69 M","101,24 M","34,95 M","57,29 M","88,94 M","84,86 M","115,23 M","102,14 M","156,16 M","9,50 M"
Fornecedores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,00 Mil",0,0
Empréstimos e financ.,"48,64 M","47,53 M","43,99 M","22,29 M","58,52 M","56,89 M","49,81 M","46,97 M","57,76 M","45,66 M","41,55 M","23,10 M","42,71 M","29,74 M","18,23 M","21,18 M","59,41 M","59,09 M","79,58 M","74,83 M","128,38 M",0
Passivo não circulante,"229,88 M","184,49 M","140,63 M","134,11 M","150,66 M","147,35 M","137,71 M","137,89 M","160,51 M","162,60 M","160,06 M","159,64 M","177,74 M","87,58 M","228,61 M","226,90 M","230,72 M","229,71 M","234,13 M","148,51 M","106,03 M","94,44 M"
Emprést. de longo prazo,"61,77 M","21,27 M","21,87 M","21,27 M","44,28 M","42,41 M","42,41 M","42,41 M","63,84 M","64,77 M","63,77 M","65,60 M","85,00 M",0,0,0,"4,42 M","13,28 M","27,03 M","35,47 M",0,0
Patrimônio líquido,"666,44 M","658,75 M","652,36 M","732,07 M","729,61 M","650,42 M","727,52 M","720,15 M","720,84 M","714,42 M","709,17 M","701,19 M","741,70 M","785,93 M","703,31 M","684,60 M","696,38 M","696,06 M","680,89 M","674,59 M","679,72 M","648,67 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
