Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"22,54 M","22,66 M","22,06 M","29,90 M","21,96 M","16,27 M","17,95 M","17,79 M","16,32 M","19,27 M","22,60 M","24,87 M","24,99 M","24,50 M","23,92 M","22,88 M","23,72 M","47,62 M","15,54 M","2,92 M","38,19 M","218,00 Mil","6,39 M","1,95 M","43,52 M"
Custos,"-1,07 M","-1,05 M","-996,00 Mil","-1,12 M","-1,12 M","-1,17 M","-1,18 M","-1,20 M","-1,21 M","-1,25 M","-1,43 M","-1,22 M","-1,22 M","-1,60 M","-1,76 M","-1,96 M","-1,47 M","-1,38 M","-2,90 M","-2,79 M","-65,00 Mil",0,"-873,00 Mil","-3,13 M","-39,00 Mil"
Lucro bruto,"21,47 M","21,61 M","21,06 M","28,78 M","20,85 M","15,11 M","16,77 M","16,59 M","15,11 M","18,02 M","21,16 M","23,65 M","23,76 M","22,90 M","22,16 M","20,92 M","22,25 M","46,23 M","12,63 M","134,00 Mil","38,13 M","218,00 Mil","5,51 M","-1,18 M","43,48 M"
Despesas operacionais,"-6,60 M","-22,42 M","-45,91 M","-19,65 M","-5,31 M","-23,96 M","-5,40 M","-10,98 M","-2,81 M","-4,48 M","-4,66 M","-8,54 M","-9,48 M","-9,92 M","2,17 M","-12,23 M","-12,13 M","-7,10 M","-6,61 M","-9,79 M","1,65 M","-40,00 Mil","-427,00 Mil","-427,00 Mil","1,19 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-5,90 M","-8,22 M","-7,58 M","-5,72 M","-6,40 M","-8,86 M","-8,50 M","-7,82 M","-6,68 M","-7,37 M","-6,57 M","-5,92 M","-4,70 M","-7,68 M","-3,62 M","-11,09 M","-6,21 M","-5,19 M","-4,69 M","-3,78 M","-651,00 Mil","83,00 Mil","-414,00 Mil","-411,00 Mil","-572,00 Mil"
EBIT,"14,87 M","-811,00 Mil","-24,85 M","9,13 M","15,54 M","-8,86 M","11,37 M","5,61 M","12,30 M","13,54 M","16,50 M","15,11 M","14,28 M","12,98 M","24,32 M","8,69 M","10,12 M","39,13 M","6,02 M","-9,65 M","39,78 M","178,00 Mil","5,09 M","-1,61 M","44,67 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-5,56 M","-4,19 M","-3,86 M","-3,41 M","-3,82 M","-472,00 Mil","-1,05 M","-6,48 M","-2,62 M","2,17 M","-5,31 M","-5,07 M","-3,14 M","2,92 M","-3,17 M","-3,23 M","-7,22 M","-7,38 M","-8,24 M","3,70 M","-2,76 M","2,33 M","1,79 M","-2,23 M","5,59 M"
Antes dos impostos,"9,31 M","-5,00 M","-28,70 M","5,72 M","11,72 M","-9,33 M","10,32 M","-871,00 Mil","9,68 M","15,71 M","11,20 M","10,04 M","11,14 M","15,90 M","21,15 M","5,46 M","2,90 M","31,75 M","-2,22 M","-5,95 M","37,01 M","2,50 M","6,87 M","-3,84 M","50,26 M"
Imposto,"-1,05 M","13,37 M","10,37 M","-712,00 Mil","-2,02 M","3,56 M","-2,96 M","177,00 Mil","-3,26 M","-2,10 M","-3,21 M","-4,59 M","-2,97 M","103,15 M","-6,35 M","-2,45 M","-2,58 M","-11,64 M","1,87 M","826,00 Mil","-13,62 M","-852,00 Mil","-2,43 M","1,29 M","-17,09 M"
Op. continuadas,"8,25 M","8,37 M","-18,33 M","5,01 M","9,71 M","-5,76 M","7,37 M","-694,00 Mil","6,42 M","13,61 M","7,98 M","5,45 M","8,17 M","119,05 M","14,80 M","3,01 M","315,00 Mil","20,11 M","-354,00 Mil","-5,13 M","23,40 M","1,65 M","4,44 M","-2,55 M","33,17 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"8,25 M","8,37 M","-18,33 M","5,01 M","9,71 M","-5,76 M","7,37 M","-694,00 Mil","6,42 M","13,61 M","7,98 M","5,45 M","8,17 M","119,05 M","14,80 M","3,01 M","315,00 Mil","20,11 M","-354,00 Mil","-5,13 M","23,40 M","1,65 M","4,44 M","-2,55 M","33,17 M"
Dos controladores,"8,25 M","8,37 M","-18,33 M",0,"9,71 M","-5,76 M","7,37 M",0,"6,42 M","13,61 M","7,98 M",0,"8,17 M","119,05 M","14,80 M",0,"315,00 Mil","20,11 M","-354,00 Mil","-5,13 M","23,40 M",0,0,"-2,55 M","33,17 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
