Conta,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"1,77 B","1,74 B","1,61 B","2,12 B","1,41 B","1,27 B","1,35 B","1,18 B","1,20 B","1,14 B","1,19 B","980,03 M","853,40 M","765,97 M","681,77 M","615,98 M","356,23 M","262,35 M","225,99 M","175,87 M","157,07 M","142,68 M","123,14 M","125,09 M","127,46 M","108,69 M"
Custos,"-1,47 B","-1,38 B","-1,35 B","-1,73 B","-1,10 B","-982,55 M","-1,02 B","-897,92 M","-901,86 M","-895,03 M","-913,61 M","-742,05 M","-688,58 M","-604,98 M","-525,62 M","-491,89 M","-274,94 M","-207,32 M","-172,25 M","-137,62 M","-121,63 M","-108,89 M","-92,94 M","-100,75 M","-97,39 M","-87,29 M"
Lucro bruto,"305,24 M","360,37 M","260,13 M","395,22 M","316,20 M","284,32 M","325,84 M","284,34 M","301,72 M","246,02 M","276,77 M","237,98 M","164,83 M","161,00 M","156,15 M","124,09 M","81,29 M","55,03 M","53,75 M","38,25 M","35,44 M","33,79 M","30,20 M","24,34 M","30,07 M","21,41 M"
Despesas operacionais,"32,16 M","-57,24 M","-10,75 M","-27,96 M","-13,72 M","-31,12 M","-42,66 M","-14,59 M","-28,84 M","-169,37 M","-25,28 M","-38,84 M","-33,91 M","-30,64 M","-42,37 M","-22,73 M","-15,58 M","-7,13 M","-9,39 M","-10,15 M","-5,99 M","-6,57 M","-8,73 M","-778,00 Mil","-8,20 M","-3,67 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-44,26 M","-57,83 M","-44,61 M","-47,00 M","-43,27 M","-40,35 M","-36,65 M","-36,58 M","-42,06 M","-36,84 M","-38,25 M","-38,06 M","-36,04 M","-37,90 M","-43,58 M","-36,40 M","-12,49 M","-11,42 M","-9,94 M","-9,93 M","-7,02 M","-6,70 M","-8,87 M","-2,43 M","-7,01 M","-4,29 M"
EBIT,"337,40 M","303,13 M","249,38 M","367,25 M","302,48 M","253,20 M","283,18 M","269,75 M","272,88 M","76,65 M","251,49 M","199,14 M","130,92 M","130,36 M","113,77 M","101,36 M","65,71 M","47,90 M","44,35 M","28,10 M","29,45 M","27,22 M","21,48 M","23,56 M","21,87 M","17,73 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-469,59 M","-446,34 M","-166,56 M","-280,31 M","-481,35 M","-419,93 M","-101,17 M","-189,86 M","-195,63 M","-182,92 M","-179,42 M","-158,29 M","-111,20 M","-60,43 M","-54,18 M","-42,71 M","-8,82 M","-363,00 Mil","-5,33 M","-25,44 M","-12,33 M","-11,52 M","-13,25 M","-9,48 M","-8,28 M","-9,01 M"
Antes dos impostos,"-132,19 M","-143,21 M","82,82 M","86,94 M","-178,86 M","-166,73 M","182,00 M","79,89 M","77,25 M","-106,27 M","72,07 M","40,85 M","19,71 M","69,93 M","59,59 M","58,65 M","56,89 M","47,53 M","39,03 M","2,66 M","17,12 M","15,70 M","8,23 M","14,08 M","13,59 M","8,72 M"
Imposto,"-1,88 M","-22,57 M","-12,83 M","-42,42 M","3,23 M","-35,34 M","-73,09 M","-45,06 M","-53,35 M","-4,72 M","-49,39 M","-7,64 M","-15,76 M","-20,99 M","-7,25 M","-15,01 M","-16,30 M","-15,23 M","-12,74 M","-2,46 M","-5,01 M","-4,77 M","-5,01 M","-314,00 Mil","-2,94 M","-892,00 Mil"
Op. continuadas,"-134,07 M","-165,78 M","69,99 M","44,53 M","-175,63 M","-202,07 M","108,91 M","34,83 M","23,89 M","-110,99 M","22,68 M","33,20 M","3,96 M","48,94 M","52,34 M","43,65 M","40,58 M","32,30 M","26,29 M","196,00 Mil","12,11 M","10,93 M","3,22 M","13,77 M","10,65 M","7,83 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-134,07 M","-165,78 M","69,99 M","44,53 M","-175,63 M","-202,07 M","108,91 M","34,83 M","23,89 M","-110,99 M","22,68 M","33,20 M","3,96 M","48,94 M","52,34 M","43,65 M","40,58 M","32,30 M","26,29 M","196,00 Mil","12,11 M","10,93 M","3,22 M","13,77 M","10,65 M","7,83 M"
Dos controladores,"-171,76 M","-190,53 M","75,54 M","30,13 M","-230,95 M","-253,39 M","78,66 M","-2,40 M","-33,08 M","-99,99 M","8,58 M","9,86 M","-230,00 Mil","45,61 M","36,92 M","38,05 M","38,55 M","30,64 M","28,14 M","-1,90 M","9,93 M","8,65 M","3,07 M","12,60 M","9,09 M","6,74 M"
Dos não controladores,"37,69 M","24,75 M","-5,55 M","14,40 M","55,32 M","51,32 M","30,25 M","37,23 M","56,97 M","-11,00 M","14,10 M","23,34 M","4,19 M","3,33 M","15,42 M","5,59 M","2,04 M","1,66 M","-1,85 M","2,09 M","2,18 M","2,28 M","150,00 Mil","1,17 M","1,56 M","1,09 M"
