Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"47,20 B","47,83 B","45,12 B","44,30 B","44,69 B","45,59 B","43,92 B","44,07 B","41,71 B","43,18 B","41,34 B","40,10 B","39,09 B","40,62 B","36,42 B","33,44 B","32,49 B","22,85 B","20,77 B","20,48 B","17,62 B","18,82 B","39,97 B","39,80 B","36,66 B","35,91 B",0
Ativo circulante,"17,41 B","17,80 B","15,96 B","15,05 B","15,71 B","16,45 B","15,39 B","15,64 B","13,30 B","14,62 B","13,21 B","13,06 B","12,38 B","14,18 B","12,26 B","10,48 B","12,27 B","8,77 B","8,88 B","9,37 B","7,08 B","8,35 B","12,42 B","12,61 B","12,02 B","12,28 B",0
Caixa e eq. de caixa,"4,37 B","5,85 B","4,46 B","4,46 B","4,40 B","5,63 B","4,03 B","5,10 B","4,54 B","5,46 B","4,42 B","4,60 B","4,13 B","5,84 B","4,21 B","3,11 B","4,39 B","2,55 B","2,88 B","4,51 B","2,76 B","3,53 B","3,90 B","4,62 B","3,78 B","5,03 B",0
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"3,48 B","3,06 B","1,83 B","1,57 B","1,82 B","2,21 B","2,07 B","1,93 B","788,00 M","1,20 B","1,06 B","887,00 M","609,00 M","570,00 M","505,00 M","380,00 M","457,00 M","324,00 M","362,00 M","264,00 M","233,00 M","216,00 M","724,00 M","650,00 M","588,00 M","697,00 M",0
Estoques,"7,82 B","7,50 B","8,25 B","7,79 B","8,07 B","7,13 B","7,79 B","7,24 B","6,58 B","6,66 B","6,60 B","6,37 B","6,32 B","6,47 B","6,05 B","5,61 B","4,84 B","4,38 B","4,46 B","3,69 B","3,44 B","3,74 B","6,38 B","5,65 B","5,81 B","5,19 B",0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"29,79 B","30,02 B","29,16 B","29,25 B","28,98 B","29,14 B","28,53 B","28,43 B","28,41 B","28,56 B","28,13 B","27,04 B","26,71 B","26,44 B","24,16 B","22,96 B","20,22 B","14,08 B","11,89 B","11,11 B","10,53 B","10,47 B","27,55 B","27,20 B","24,64 B","23,62 B",0
Investimentos,"294,00 M","326,00 M","840,00 M","823,00 M","804,00 M","804,00 M","789,00 M","802,00 M","786,00 M","864,00 M","849,00 M","837,00 M","838,00 M","833,00 M","823,00 M","807,00 M","797,00 M","789,00 M","810,00 M","798,00 M","784,00 M","769,00 M","4,08 B","3,97 B","3,56 B","3,37 B",0
Imobilizado,"21,91 B","21,99 B","21,55 B","21,67 B","21,43 B","21,96 B","21,44 B","21,31 B","21,33 B","21,37 B","20,79 B","19,80 B","19,39 B","19,20 B","16,93 B","15,48 B","12,86 B","10,32 B","8,90 B","8,16 B","7,60 B","7,48 B","17,30 B","16,98 B","15,05 B","14,65 B",0
