Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014
Receita líquida,"302,61 M","333,62 M","351,70 M","358,07 M","339,58 M","316,45 M","341,69 M","308,00 M","291,13 M","321,94 M","287,62 M","251,71 M","260,20 M","235,98 M","238,59 M","245,46 M","214,28 M","178,14 M","193,98 M","220,31 M","224,33 M","236,04 M","247,78 M","149,53 M","169,67 M","183,18 M","179,47 M","164,92 M","154,37 M","154,17 M","151,60 M","146,15 M","133,08 M","134,29 M","141,32 M","131,63 M","122,49 M","109,81 M","102,75 M","98,38 M","92,81 M","88,94 M","94,58 M","95,29 M","84,99 M","84,00 M","71,70 M","63,01 M","55,68 M"
Custos,"-126,43 M","-128,24 M","-132,11 M","-134,95 M","-139,66 M","-113,56 M","-129,09 M","-110,14 M","-115,15 M","-110,10 M","-111,81 M","-100,85 M","-107,33 M","-112,25 M","-97,99 M","-100,39 M","-88,30 M","-79,64 M","-81,60 M","-75,80 M","-77,55 M","-61,63 M","-42,36 M","-39,25 M","-46,43 M","-48,15 M","-50,18 M","-49,46 M","-44,09 M","-40,13 M","-39,82 M","-37,09 M","-35,31 M","-41,27 M","-37,70 M","-31,34 M","-32,91 M","-33,62 M","-32,03 M","-31,23 M","-31,48 M","-31,68 M","-29,86 M","-28,65 M","-28,26 M","-28,00 M","-24,39 M","-23,51 M","-22,48 M"
Lucro bruto,"176,18 M","205,38 M","219,60 M","223,12 M","199,92 M","202,88 M","212,60 M","197,85 M","175,98 M","211,84 M","175,81 M","150,86 M","152,88 M","123,72 M","140,60 M","145,07 M","125,98 M","98,49 M","112,38 M","144,52 M","146,78 M","174,42 M","205,42 M","110,29 M","123,23 M","135,03 M","129,29 M","115,46 M","110,28 M","114,04 M","111,79 M","109,07 M","97,77 M","93,01 M","103,62 M","100,28 M","89,59 M","76,19 M","70,72 M","67,15 M","61,33 M","57,27 M","64,72 M","66,64 M","56,73 M","56,00 M","47,31 M","39,50 M","33,20 M"
Despesas operacionais,"-50,32 M","-65,62 M","-52,72 M","-61,52 M","-47,91 M","-66,28 M","-63,14 M","-59,78 M","-47,91 M","-85,18 M","-44,11 M","-52,80 M","-67,03 M","-88,54 M","-27,94 M","-54,94 M","-45,18 M","-22,19 M","-54,30 M","-34,27 M","-42,61 M","-114,01 M","-81,30 M","-49,47 M","-43,68 M","-27,96 M","-34,52 M","-33,56 M","-24,15 M","-21,18 M","-30,51 M","-35,26 M","-45,12 M","-45,36 M","-27,24 M","-43,66 M","-23,37 M","-26,46 M","-16,44 M","-13,79 M","-13,68 M","-14,23 M","-16,92 M","-46,82 M","-13,76 M","-21,80 M","-12,21 M","-12,16 M","-11,58 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-40,29 M","-37,91 M","-35,37 M","-37,33 M","-40,95 M","-39,27 M","-36,81 M","-44,20 M","-36,90 M","-38,60 M","-30,44 M","-35,79 M","-46,63 M","-46,65 M","-5,38 M","-40,11 M","-39,49 M","-38,11 M","-29,70 M","-33,00 M","-36,87 M","-93,23 M","-61,26 M","-24,52 M","-32,11 M","-29,90 M","-25,70 M","-24,78 M","-24,60 M","-25,78 M","-24,79 M","-25,95 M","-26,84 M","-29,74 M","-23,91 M","-19,22 M","-20,59 M","-20,93 M","-15,83 M","-13,59 M","-13,17 M","-15,49 M","-14,09 M","-13,73 M","-12,27 M","-14,85 M","-10,75 M","-11,43 M","-11,00 M"
EBIT,"125,86 M","139,77 M","166,87 M","161,59 M","152,01 M","136,60 M","149,46 M","138,07 M","128,07 M","126,66 M","131,70 M","98,06 M","85,85 M","35,19 M","112,66 M","90,13 M","80,80 M","76,30 M","58,08 M","110,24 M","104,17 M","60,41 M","124,12 M","60,82 M","79,55 M","107,07 M","94,77 M","81,90 M","86,13 M","92,86 M","81,27 M","73,81 M","52,65 M","47,65 M","76,38 M","56,62 M","66,22 M","49,73 M","54,28 M","53,36 M","47,65 M","43,03 M","47,79 M","19,82 M","42,97 M","34,20 M","35,10 M","27,34 M","21,62 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-11,12 M","-7,07 M","-14,62 M","-19,59 M","-21,13 M","-24,99 M","-14,05 M","-24,81 M","-21,47 M","-8,61 M","-23,18 M","-30,74 M","-30,07 M","-19,56 M","-21,35 M","-14,23 M","-14,86 M","-12,03 M","-6,69 M","-6,68 M","-8,52 M","-3,55 M","-4,63 M","-4,07 M","-4,30 M","-5,55 M","-2,34 M","-644,00 Mil","-83,00 Mil","-16,26 M","-2,60 M","-2,71 M","-2,35 M","-1,40 M","-1,47 M","2,20 M","4,90 M","2,83 M","3,58 M","7,80 M","3,24 M","3,47 M","2,59 M","2,69 M","2,61 M","3,40 M","3,00 M","2,17 M","3,17 M"
Antes dos impostos,"114,74 M","132,70 M","152,26 M","142,01 M","130,88 M","111,61 M","135,41 M","113,26 M","106,60 M","118,05 M","108,52 M","67,32 M","55,78 M","15,63 M","91,31 M","75,90 M","65,94 M","64,27 M","51,39 M","103,57 M","95,64 M","56,86 M","119,49 M","56,75 M","75,25 M","101,52 M","92,43 M","81,26 M","86,05 M","76,60 M","78,68 M","71,10 M","50,30 M","46,26 M","74,91 M","58,82 M","71,12 M","52,56 M","57,87 M","61,16 M","50,89 M","46,50 M","50,38 M","22,51 M","45,59 M","37,60 M","38,11 M","29,51 M","24,79 M"
Imposto,"-42,07 M","-43,88 M","-50,60 M","-48,85 M","-46,81 M","-40,06 M","-46,95 M","-43,76 M","-39,35 M","-33,21 M","-35,26 M","-24,13 M","-21,16 M","1,17 M","-23,14 M","-18,57 M","-14,26 M","-22,92 M","-25,55 M","-28,54 M","-32,08 M","-23,31 M","-38,51 M","-22,74 M","-24,23 M","-50,79 M","-30,14 M","-27,23 M","-29,42 M","-27,05 M","-24,44 M","-22,52 M","-18,27 M","-14,18 M","-23,87 M","-26,06 M","-23,63 M","-17,01 M","-19,35 M","-20,97 M","-16,94 M","-15,71 M","-17,37 M","-16,79 M","-15,31 M","-13,71 M","-12,64 M","-10,22 M","-8,42 M"
Op. continuadas,"72,66 M","88,83 M","101,66 M","93,16 M","84,06 M","71,55 M","88,46 M","69,50 M","67,25 M","84,84 M","73,25 M","43,19 M","34,62 M","16,80 M","68,18 M","57,32 M","51,68 M","41,35 M","25,84 M","75,03 M","63,57 M","33,55 M","80,98 M","34,01 M","51,02 M","50,73 M","62,28 M","54,02 M","56,63 M","49,55 M","54,23 M","48,58 M","32,03 M","32,07 M","51,04 M","32,77 M","47,48 M","35,56 M","38,52 M","40,19 M","33,95 M","30,79 M","33,01 M","5,72 M","30,28 M","23,89 M","25,46 M","19,29 M","16,37 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"72,66 M","88,83 M","101,66 M","93,16 M","84,06 M","71,55 M","88,46 M","69,50 M","67,25 M","84,84 M","73,25 M","43,19 M","34,62 M","16,80 M","68,18 M","57,32 M","51,68 M","41,35 M","25,84 M","75,03 M","63,57 M","33,55 M","80,98 M","34,01 M","51,02 M","50,73 M","62,28 M","54,02 M","56,63 M","49,55 M","54,23 M","48,58 M","32,03 M","32,07 M","51,04 M","32,77 M","47,48 M","35,56 M","38,52 M","40,19 M","33,95 M","30,79 M","33,01 M","5,72 M","30,28 M","23,89 M","25,46 M","19,29 M","16,37 M"
Dos controladores,"39,84 M","49,60 M","55,42 M","49,40 M","46,66 M","38,58 M","50,15 M","33,89 M","37,49 M","58,17 M","44,51 M","24,95 M","13,96 M","9,82 M","52,25 M","33,02 M","35,58 M","35,27 M","22,01 M","69,04 M","61,72 M","29,66 M","80,71 M","34,80 M","49,55 M","48,31 M","60,06 M","52,46 M","53,06 M","48,57 M","51,16 M","47,42 M","30,57 M","31,75 M","50,08 M","31,46 M","46,12 M","35,70 M","36,81 M","38,95 M","33,61 M","30,64 M","31,71 M","5,25 M","29,43 M","22,94 M","24,66 M","18,59 M","15,49 M"
Dos não controladores,"32,82 M","39,23 M","46,24 M","43,77 M","37,40 M","33,00 M","38,31 M","35,62 M","29,75 M","26,68 M","28,75 M","18,24 M","20,66 M","6,98 M","15,93 M","24,30 M","16,10 M","6,08 M","3,83 M","5,99 M","1,85 M","3,89 M","263,00 Mil","-794,00 Mil","1,47 M","2,42 M","2,22 M","1,57 M","3,57 M","981,00 Mil","3,07 M","1,16 M","1,46 M","326,00 Mil","957,00 Mil","1,30 M","1,36 M","-146,00 Mil","1,70 M","1,24 M","337,00 Mil","148,00 Mil","1,30 M","469,00 Mil","845,00 Mil","956,00 Mil","801,00 Mil","692,00 Mil","880,00 Mil"
