Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"4,48 B","4,42 B","4,46 B","4,30 B","4,10 B","4,10 B","4,11 B","3,49 B","3,07 B","2,86 B","2,63 B","2,61 B","2,53 B","2,49 B","2,43 B","2,22 B","2,08 B","1,93 B","1,66 B","1,54 B","1,49 B","1,48 B","1,14 B","1,12 B","1,20 B"
Custos,"-3,81 B","-3,77 B","-3,80 B","-3,69 B","-3,49 B","-3,53 B","-3,50 B","-2,95 B","-2,56 B","-2,36 B","-2,18 B","-2,16 B","-2,10 B","-2,03 B","-2,01 B","-1,87 B","-1,78 B","-1,60 B","-1,38 B","-1,27 B","-1,25 B","-1,13 B","-927,83 M","-915,85 M","-1,02 B"
Lucro bruto,"670,50 M","650,78 M","658,12 M","609,11 M","610,25 M","570,85 M","612,72 M","544,37 M","508,41 M","507,18 M","452,46 M","452,68 M","425,05 M","451,17 M","412,68 M","355,03 M","306,35 M","322,18 M","282,29 M","265,45 M","245,28 M","345,94 M","210,08 M","207,08 M","178,08 M"
Despesas operacionais,"-332,28 M","-212,09 M","-299,12 M","-292,19 M","-291,09 M","-157,35 M","-281,26 M","-274,72 M","-244,29 M","-137,13 M","-193,35 M","-201,77 M","-166,89 M","-117,64 M","-169,89 M","-170,05 M","-136,59 M","-116,68 M","-123,75 M","-132,27 M","-133,14 M","-187,45 M","-101,77 M","-87,64 M","-99,49 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-286,25 M","-436,40 M","-256,77 M","-261,08 M","-253,49 M","-351,14 M","-237,12 M","-292,43 M","-210,36 M","-337,78 M","-174,62 M","-169,64 M","-151,73 M","-224,99 M","-140,18 M","-141,73 M","-123,35 M","-210,09 M","-116,87 M","-111,95 M","-115,00 M","-243,83 M","-83,44 M","-57,88 M","-89,98 M"
EBIT,"338,21 M","438,69 M","359,00 M","316,92 M","319,17 M","413,49 M","331,46 M","269,66 M","264,12 M","370,05 M","259,11 M","250,91 M","258,16 M","333,53 M","242,78 M","184,98 M","169,77 M","205,50 M","158,54 M","133,19 M","112,14 M","158,49 M","108,31 M","119,44 M","78,59 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-153,11 M","-69,27 M","-147,50 M","-134,91 M","-113,52 M","-72,63 M","-116,36 M","-79,84 M","-55,38 M","-23,07 M","-59,33 M","-66,56 M","-73,55 M","-26,61 M","-57,16 M","-43,47 M","-30,15 M","10,16 M","-13,64 M","-16,10 M","-20,32 M","-6,29 M","-9,04 M","-16,55 M","-16,74 M"
Antes dos impostos,"185,10 M","369,41 M","211,50 M","182,00 M","205,64 M","340,86 M","215,10 M","189,82 M","208,74 M","346,98 M","199,78 M","184,35 M","184,61 M","306,93 M","185,62 M","141,51 M","139,62 M","215,66 M","144,90 M","117,09 M","91,82 M","152,20 M","99,27 M","102,89 M","61,85 M"
Imposto,"-60,01 M","-104,78 M","-54,38 M","-57,76 M","-57,51 M","-102,10 M","-67,15 M","-49,54 M","-69,30 M","-95,22 M","-56,25 M","-54,49 M","-63,43 M","-104,05 M","-66,75 M","-39,61 M","-46,23 M","-72,44 M","-45,59 M","-36,25 M","-15,45 M","-46,21 M","-32,70 M","-32,89 M","-21,76 M"
Op. continuadas,"125,10 M","264,63 M","157,12 M","124,25 M","148,14 M","238,76 M","147,95 M","140,28 M","139,44 M","251,76 M","143,54 M","129,86 M","121,18 M","202,87 M","118,86 M","101,91 M","93,39 M","143,23 M","99,32 M","80,84 M","76,37 M","105,99 M","66,57 M","70,00 M","40,09 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"125,10 M","264,63 M","157,12 M","124,25 M","148,14 M","238,76 M","147,95 M","140,28 M","139,44 M","251,76 M","143,54 M","129,86 M","121,18 M","202,87 M","118,86 M","101,91 M","93,39 M","143,23 M","99,32 M","80,84 M","76,37 M","105,99 M","66,57 M","70,00 M","40,09 M"
Dos controladores,"122,59 M","262,07 M","154,26 M","121,70 M","146,00 M","236,19 M","145,75 M","138,21 M","137,67 M","251,09 M","141,83 M","128,73 M","120,86 M","202,79 M","118,71 M","101,83 M","93,36 M","143,17 M","99,30 M","80,84 M","76,37 M","105,99 M","66,57 M",0,"40,09 M"
Dos não controladores,"2,51 M","2,57 M","2,86 M","2,55 M","2,14 M","2,57 M","2,20 M","2,07 M","1,77 M","669,00 Mil","1,71 M","1,14 M","323,00 Mil","88,00 Mil","155,00 Mil","82,00 Mil","24,00 Mil","55,00 Mil","18,00 Mil",0,0,0,0,"70,00 M",0
