Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"118,25 M","138,33 M","123,66 M","97,82 M","100,40 M","104,68 M","90,29 M","87,64 M","82,41 M","100,37 M","70,42 M","72,15 M","98,68 M","81,40 M","76,96 M","71,72 M","90,05 M","98,43 M","58,73 M","54,52 M","51,81 M","43,31 M","25,64 M",0,0,0,0,"17,61 M","17,43 M"
Custos,"-169,07 M","-158,64 M","-102,44 M","-90,45 M","-89,18 M","-67,59 M","-86,02 M","-157,10 M","-79,48 M","-136,68 M","-74,04 M","-88,56 M","-131,64 M","-85,29 M","-103,39 M","-119,42 M","-108,88 M","-151,96 M","-69,53 M","-62,50 M","-47,34 M","-38,08 M","-20,84 M",0,0,0,0,"-14,59 M","-17,39 M"
Lucro bruto,"-50,82 M","-20,31 M","21,22 M","7,37 M","11,22 M","37,08 M","4,27 M","-69,46 M","2,93 M","-36,31 M","-3,62 M","-16,41 M","-32,96 M","-3,90 M","-26,43 M","-47,70 M","-18,83 M","-53,53 M","-10,80 M","-7,98 M","4,46 M","5,23 M","4,81 M",0,0,0,0,"3,02 M","40,00 Mil"
Despesas operacionais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBIT,"-50,82 M","-20,31 M","21,22 M","7,37 M","11,22 M","37,08 M","4,27 M","-69,46 M","2,93 M","-36,31 M","-3,62 M","-16,41 M","-32,96 M","-3,90 M","-26,43 M","-47,70 M","-18,83 M","-53,53 M","-10,80 M","-7,98 M","4,46 M","5,23 M","4,81 M",0,0,0,0,"3,02 M","40,00 Mil"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"65,00 Mil","948,00 Mil","1,62 M","2,48 M","6,11 M","5,61 M","9,34 M","10,32 M","17,02 M","13,87 M","12,73 M","10,87 M","21,65 M","13,13 M","13,17 M","13,49 M","9,75 M","9,43 M","5,77 M","902,00 Mil","427,00 Mil","89,00 Mil","-95,00 Mil",0,0,0,0,"-102,00 Mil","-147,00 Mil"
Antes dos impostos,"-50,76 M","-19,36 M","22,84 M","9,85 M","17,33 M","42,69 M","13,61 M","-59,14 M","19,95 M","-22,44 M","9,11 M","-5,54 M","-11,32 M","9,24 M","-13,26 M","-34,20 M","-9,09 M","-44,10 M","-5,04 M","-7,08 M","4,89 M","5,32 M","4,71 M",0,0,0,0,"2,92 M","-107,00 Mil"
Imposto,"-9,35 M","-13,55 M","-8,65 M","-2,28 M","-7,33 M","-21,14 M","-4,82 M","-1,62 M","-872,00 Mil","1,79 M","-1,50 M","-768,00 Mil","-551,00 Mil","-3,88 M","4,20 M","10,89 M","2,54 M","14,36 M","2,09 M","2,42 M","-1,88 M","-3,11 M","20,00 Mil",0,0,0,0,"-641,00 Mil","-526,00 Mil"
Op. continuadas,"-60,11 M","-32,91 M","14,20 M","7,57 M","10,00 M","21,55 M","8,80 M","-60,76 M","19,08 M","-20,65 M","7,61 M","-6,31 M","-11,87 M","5,35 M","-9,06 M","-23,32 M","-6,54 M","-29,74 M","-2,95 M","-4,66 M","3,02 M","2,21 M","4,73 M",0,0,0,0,"2,28 M","-633,00 Mil"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,"17,34 M","-2,45 M","-9,22 M",0,"-10,80 M","-8,94 M","-4,84 M",0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-60,11 M","-32,91 M","14,20 M","7,57 M","10,00 M","21,55 M","8,80 M","-60,76 M","19,08 M","-3,31 M","5,16 M","-15,53 M","-11,87 M","-5,45 M","-18,00 M","-28,15 M","-6,54 M","-29,74 M","-2,95 M","-4,66 M","3,02 M","2,21 M","4,73 M",0,0,0,0,"2,28 M","-633,00 Mil"
Dos controladores,"-59,94 M","-33,67 M","15,35 M","7,37 M","10,33 M","21,55 M","9,52 M","-59,26 M","20,23 M","-1,63 M","7,00 M","-13,31 M","-10,62 M","-55,87 M","-336,00 Mil","-27,68 M","-6,63 M","-30,71 M","-4,54 M","-6,69 M","4,14 M","2,30 M","4,73 M",0,0,0,0,--,--
Dos não controladores,"-173,00 Mil","760,00 Mil","-1,16 M","199,00 Mil","-323,00 Mil","-3,00 Mil","-716,00 Mil","-1,50 M","-1,15 M","-1,68 M","-1,84 M","-2,23 M","-1,25 M","50,42 M","-17,67 M","-473,00 Mil","87,00 Mil","971,00 Mil","1,59 M","2,03 M","-1,12 M","-99,00 Mil",0,0,0,0,0,--,--
