Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"701,96 M","749,09 M","694,23 M","721,09 M","671,77 M","662,72 M","624,93 M","670,19 M","610,51 M","599,27 M","564,82 M","601,98 M","531,72 M","521,86 M","496,29 M","536,90 M","473,27 M","482,99 M","437,63 M","478,69 M","421,30 M","469,52 M","431,92 M","482,03 M","417,49 M","364,82 M","354,84 M","394,03 M","360,56 M"
Custos,"-329,84 M","-396,60 M","-320,64 M","-355,62 M","-318,62 M","-357,66 M","-313,22 M","-340,56 M","-305,79 M","-319,63 M","-287,77 M","-306,91 M","-283,28 M","-302,65 M","-259,85 M","-280,43 M","-237,25 M","-260,23 M","-229,15 M","-258,95 M","-214,42 M","-233,97 M","-195,97 M","-285,12 M","-241,50 M","-208,94 M","-199,44 M","-225,83 M","-196,52 M"
Lucro bruto,"372,12 M","352,49 M","373,58 M","365,48 M","353,15 M","305,06 M","311,71 M","329,63 M","304,72 M","279,63 M","277,05 M","295,07 M","248,44 M","219,21 M","236,44 M","256,47 M","236,03 M","222,76 M","208,48 M","219,74 M","206,88 M","235,56 M","235,96 M","196,91 M","175,99 M","155,88 M","155,40 M","168,20 M","164,04 M"
Despesas operacionais,"-229,68 M","-273,95 M","-162,01 M","-230,03 M","-167,48 M","-234,30 M","-160,99 M","-209,51 M","-176,40 M","-205,93 M","-160,20 M","-173,11 M","-148,80 M","-171,97 M","-145,99 M","-162,66 M","-155,88 M","-141,52 M","-132,18 M","-139,34 M","-131,49 M","-143,54 M","-175,23 M","-195,07 M","-152,83 M","-96,76 M","-87,10 M","-95,11 M","-82,87 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-231,84 M","-283,43 M","-171,26 M","-238,04 M","-173,51 M","-244,93 M","-168,53 M","-216,65 M","-182,85 M","-215,61 M","-167,41 M","-180,65 M","-156,50 M","-179,85 M","-152,39 M","-169,90 M","-161,11 M","-148,34 M","-133,68 M","-142,48 M","-133,89 M","-143,75 M","-176,26 M","-196,00 M","-159,16 M","-100,24 M","-88,58 M","-96,60 M","-84,88 M"
EBIT,"142,44 M","78,54 M","211,57 M","135,45 M","185,67 M","70,76 M","150,72 M","120,11 M","128,32 M","73,70 M","116,85 M","121,95 M","99,63 M","47,24 M","90,45 M","93,81 M","80,15 M","81,24 M","76,30 M","80,41 M","75,40 M","92,01 M","60,72 M","1,84 M","23,16 M","59,12 M","68,29 M","73,09 M","81,17 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-76,79 M","-63,68 M","-95,22 M","-71,48 M","-93,83 M","-80,75 M","-90,54 M","-64,86 M","-87,04 M","-64,69 M","-90,20 M","-69,75 M","-83,14 M","-60,72 M","-88,34 M","-76,57 M","-77,97 M","-52,26 M","-68,76 M","-52,74 M","-60,05 M","-50,28 M","-60,79 M","-55,99 M","-53,83 M","-40,77 M","-46,69 M","-46,65 M","-50,90 M"
Antes dos impostos,"65,64 M","14,86 M","116,35 M","63,97 M","91,84 M","-9,99 M","60,18 M","55,25 M","41,28 M","9,01 M","26,65 M","52,21 M","16,49 M","-13,48 M","2,10 M","17,24 M","2,18 M","28,98 M","7,54 M","27,67 M","15,35 M","41,73 M","-63,00 Mil","-54,15 M","-30,66 M","18,34 M","21,61 M","26,44 M","30,27 M"
Imposto,"-4,16 M","19,68 M","-3,10 M","-1,30 M","-5,43 M","196,00 Mil","1,90 M","-1,85 M","-2,65 M","-2,09 M","6,57 M","-3,96 M","-4,42 M","-2,02 M","1,71 M","-2,44 M","1,31 M","-3,89 M","6,00 M","326,00 Mil","982,00 Mil","1,85 M","3,80 M","5,34 M","-2,64 M","23,10 M","754,00 Mil","822,00 Mil","-458,00 Mil"
Op. continuadas,"61,48 M","34,54 M","113,25 M","62,66 M","86,41 M","-9,79 M","62,08 M","53,39 M","38,62 M","6,92 M","33,22 M","48,24 M","12,07 M","-15,50 M","3,82 M","14,79 M","3,50 M","25,09 M","13,54 M","28,00 M","16,33 M","43,58 M","3,73 M","-48,81 M","-33,30 M","41,44 M","22,36 M","27,26 M","29,81 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"61,48 M","34,54 M","113,25 M","62,66 M","86,41 M","-9,79 M","62,08 M","53,39 M","38,62 M","6,92 M","33,22 M","48,24 M","12,07 M","-15,50 M","3,82 M","14,79 M","3,50 M","25,09 M","13,54 M","28,00 M","16,33 M","43,58 M","3,73 M","-48,81 M","-33,30 M","41,44 M","22,36 M","27,26 M","29,81 M"
Dos controladores,"61,48 M","34,54 M","113,25 M","62,66 M","86,41 M","-9,79 M","62,08 M","53,39 M","38,62 M","6,92 M","33,22 M","48,24 M","12,07 M","-15,50 M","3,82 M","14,79 M","3,50 M","25,09 M","13,54 M","28,00 M","16,33 M","43,58 M","3,73 M","-48,81 M","-33,30 M","41,44 M","22,36 M","27,26 M","29,81 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
