Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"4,86 B","4,73 B","4,78 B","4,66 B","4,81 B","4,57 B","4,83 B","4,83 B","4,48 B","4,52 B","4,73 B","4,69 B","4,72 B","4,71 B","4,76 B","4,83 B","4,89 B","4,78 B","4,78 B","4,82 B","4,75 B","3,67 B","3,69 B","3,78 B","3,64 B","2,20 B","1,71 B"
Ativo circulante,"1,24 B","1,08 B","1,13 B","994,73 M","1,10 B","847,52 M","1,06 B","1,08 B","902,16 M","861,87 M","1,05 B","1,06 B","1,09 B","1,12 B","1,19 B","1,23 B","1,30 B","1,30 B","1,32 B","1,39 B","1,40 B","446,47 M","502,81 M","567,54 M","394,73 M","198,52 M","227,21 M"
Caixa e eq. de caixa,"930,83 M","808,25 M","839,58 M","655,98 M","812,68 M","555,33 M","710,94 M","632,92 M","490,79 M","522,91 M","714,80 M","728,24 M","801,91 M","852,74 M","928,21 M","954,34 M","1,07 B","1,08 B","1,11 B","1,15 B","1,20 B","212,91 M","305,18 M","303,91 M","191,55 M","22,72 M","55,09 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"915,00 Mil","6,46 M"
Contas a receber,"232,06 M","204,07 M","189,88 M","225,14 M","199,83 M","191,01 M","211,77 M","258,97 M","252,23 M","261,13 M","250,44 M","243,88 M","216,35 M","216,00 M","211,42 M","214,93 M","190,78 M","187,82 M","158,78 M","180,23 M","151,92 M","187,30 M","168,86 M","216,00 M","171,02 M","157,32 M","138,23 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"3,62 B","3,65 B","3,65 B","3,66 B","3,71 B","3,72 B","3,76 B","3,75 B","3,58 B","3,65 B","3,68 B","3,63 B","3,63 B","3,59 B","3,57 B","3,60 B","3,59 B","3,47 B","3,46 B","3,43 B","3,35 B","3,22 B","3,19 B","3,21 B","3,24 B","2,00 B","1,49 B"
Investimentos,"44,00 Mil","44,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","143,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil","146,00 Mil"
Imobilizado,"1,45 B","1,49 B","1,53 B","1,55 B","1,57 B","1,59 B","1,63 B","1,65 B","1,68 B","1,71 B","1,72 B","1,69 B","1,70 B","1,67 B","1,67 B","1,69 B","1,69 B","1,58 B","1,57 B","1,54 B","1,47 B","1,35 B","1,31 B","1,32 B","1,34 B","914,48 M","417,44 M"
Intangível,"1,92 B","1,93 B","1,93 B","1,93 B","1,93 B","1,94 B","1,94 B","1,93 B","1,72 B","1,71 B","1,71 B","1,71 B","1,71 B","1,70 B","1,69 B","1,70 B","1,70 B","1,71 B","1,71 B","1,71 B","1,72 B","1,72 B","1,74 B","1,75 B","1,77 B","977,19 M","980,12 M"
Passivo total,"4,86 B","4,73 B","4,78 B","4,66 B","4,81 B","4,57 B","4,83 B","4,83 B","4,48 B","4,52 B","4,73 B","4,69 B","4,72 B","4,71 B","4,76 B","4,83 B","4,89 B","4,78 B","4,78 B","4,82 B","4,75 B","3,67 B","3,69 B","3,78 B","3,64 B","2,20 B","1,71 B"
Passivo circulante,"803,68 M","705,44 M","782,87 M","722,62 M","815,70 M","912,16 M","1,05 B","1,01 B","1,07 B","796,40 M","933,38 M","752,01 M","780,20 M","656,68 M","650,64 M","620,51 M","633,86 M","559,89 M","570,54 M","575,86 M","539,78 M","536,47 M","642,45 M","627,29 M","1,65 B","1,01 B","260,18 M"
Fornecedores,"158,66 M","120,15 M","94,92 M","79,70 M","117,25 M","80,77 M","79,29 M","90,21 M","96,78 M","77,87 M","101,21 M","71,43 M","78,84 M","69,37 M","51,12 M","58,96 M","61,52 M","50,47 M","50,33 M","53,94 M","59,83 M","44,04 M","47,80 M","54,17 M","52,23 M","24,47 M","21,86 M"
Empréstimos e financ.,"154,28 M","129,44 M","185,81 M","174,89 M","201,16 M","172,31 M","157,65 M","131,70 M","211,85 M","198,08 M","240,80 M","250,44 M","243,08 M","235,92 M","208,50 M","184,40 M","141,93 M","130,60 M","115,05 M","140,83 M","140,90 M","208,20 M","223,54 M","182,93 M","1,30 B","775,78 M","67,55 M"
Passivo não circulante,"2,40 B","2,43 B","2,34 B","2,39 B","2,43 B","2,19 B","2,29 B","2,34 B","1,98 B","2,33 B","2,35 B","2,53 B","2,55 B","2,65 B","2,67 B","2,76 B","2,80 B","2,76 B","2,76 B","2,81 B","2,73 B","2,68 B","2,64 B","2,70 B","1,50 B","675,95 M","1,01 B"
Emprést. de longo prazo,"1,24 B","1,24 B","1,08 B","1,11 B","1,12 B","851,10 M","915,64 M","945,18 M","575,37 M","645,87 M","633,75 M","715,22 M","749,78 M","831,24 M","865,80 M","947,27 M","981,83 M","1,05 B","1,06 B","1,11 B","1,11 B","1,16 B","1,18 B","1,25 B","48,57 M","22,29 M","785,53 M"
Patrimônio líquido,"1,65 B","1,59 B","1,66 B","1,54 B","1,56 B","1,47 B","1,48 B","1,48 B","1,43 B","1,39 B","1,44 B","1,41 B","1,39 B","1,41 B","1,44 B","1,44 B","1,46 B","1,45 B","1,45 B","1,43 B","1,48 B","452,00 M","408,43 M","444,77 M","493,58 M","510,79 M","441,41 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
