Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"294,04 M","307,04 M","300,22 M","294,38 M","299,61 M","315,03 M","316,69 M","319,30 M","333,08 M","351,21 M","365,35 M","391,09 M","395,78 M","422,04 M","425,42 M","447,31 M","463,29 M","492,84 M","527,68 M","534,31 M","531,00 M","97,88 M","107,70 M","96,78 M","42,35 M","30,68 M","25,12 Mil"
Ativo circulante,"171,16 M","184,37 M","179,76 M","170,05 M","173,07 M","187,78 M","186,59 M","185,22 M","193,73 M","211,02 M","228,12 M","240,49 M","242,55 M","265,40 M","276,52 M","302,12 M","314,96 M","354,57 M","405,17 M","430,70 M","449,13 M","62,82 M","79,83 M","70,69 M","32,56 M","21,83 M","20,53 Mil"
Caixa e eq. de caixa,"109,63 M","121,35 M","101,94 M","107,11 M","110,50 M","126,94 M","125,54 M","129,26 M","131,92 M","139,35 M","137,73 M","147,21 M","146,38 M","155,21 M","156,85 M","163,72 M","219,32 M","263,77 M","308,62 M","352,49 M","392,30 M","29,93 M","52,46 M","45,55 M","11,60 M","4,34 M","4,31 Mil"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,"2,80 M","2,80 M","2,99 M","2,99 M","2,99 M","2,99 M","2,84 M","2,66 M","2,45 M","2,40 M","1,90 M","2,27 M","1,08 M","2,10 M","2,26 M","100,00 Mil",0
Contas a receber,"23,96 M","26,82 M","33,56 M","31,85 M","32,55 M","32,92 M","35,90 M","37,29 M","39,49 M","44,33 M","45,10 M","45,26 M","45,97 M","60,18 M","62,49 M","70,96 M","35,63 M","31,84 M","39,47 M","35,01 M","29,03 M","8,87 M","10,11 M","6,83 M","5,03 M","7,75 M","6,27 Mil"
Estoques,"18,12 M","21,94 M","25,87 M","22,72 M","17,66 M","16,95 M","18,33 M","17,43 M","20,32 M","22,88 M","29,56 M","32,46 M","35,81 M","38,88 M","39,80 M","47,96 M","50,98 M","49,69 M","41,67 M","33,81 M","23,27 M","20,15 M","13,12 M","11,70 M","11,61 M","8,82 M","8,90 Mil"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"122,87 M","122,67 M","120,46 M","124,33 M","126,54 M","127,25 M","130,10 M","134,09 M","139,36 M","140,19 M","137,23 M","150,61 M","153,23 M","156,64 M","148,89 M","145,18 M","148,33 M","138,27 M","122,52 M","103,61 M","81,87 M","35,06 M","27,87 M","26,09 M","9,79 M","8,85 M","4,59 Mil"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"16,46 M","18,57 M","16,30 M","17,59 M","20,04 M","20,64 M","22,64 M","25,94 M","29,77 M","32,92 M","37,09 M","48,58 M","52,65 M","57,01 M","59,01 M","61,52 M","63,10 M","59,12 M","50,55 M","41,39 M","30,74 M","8,25 M","7,01 M","5,88 M","6,07 M","5,75 M","2,29 Mil"
Intangível,"11,42 M","12,04 M","12,42 M","12,79 M","13,22 M","13,65 M","14,16 M","14,68 M","15,13 M","15,57 M","15,89 M","16,08 M","16,11 M","15,31 M","13,20 M","11,78 M","10,04 M","8,86 M","7,78 M","6,62 M","5,77 M","4,57 M","3,39 M","2,75 M","2,11 M","1,50 M",918
Passivo total,--,"307,04 M","300,22 M","294,38 M","299,61 M","315,03 M","316,69 M","319,30 M","333,08 M","351,21 M","365,35 M","391,09 M","395,78 M","422,04 M","425,42 M","447,31 M","463,29 M","492,84 M","527,68 M","534,31 M","531,00 M","97,88 M","107,70 M","96,78 M","42,35 M","30,68 M","25,12 Mil"
Passivo circulante,--,"67,89 M","60,62 M","56,70 M","59,49 M","68,17 M","63,38 M","63,14 M","67,32 M","73,86 M","72,28 M","76,04 M","69,08 M","79,22 M","40,82 M","49,73 M","53,43 M","93,54 M","90,35 M","91,60 M","97,13 M","81,86 M","88,43 M","86,46 M","47,96 M","34,20 M","28,98 Mil"
Fornecedores,--,"41,52 M","36,42 M","33,25 M","30,62 M","38,31 M","33,14 M","29,92 M","32,31 M","39,35 M","37,62 M","31,66 M","31,38 M","49,61 M","14,96 M","22,80 M","27,05 M","63,29 M","49,37 M","43,51 M","34,35 M","39,58 M","31,77 M","23,45 M","10,94 M","8,38 M","11,76 Mil"
Empréstimos e financ.,--,"4,17 M","3,55 M","4,04 M","6,47 M","8,44 M","7,94 M","10,12 M","9,90 M","9,20 M","9,45 M","10,36 M","9,88 M","8,20 M","7,81 M","7,87 M","7,13 M","9,78 M","5,80 M","6,21 M","9,16 M","8,61 M","9,65 M","15,64 M","16,13 M","7,39 M",0
Passivo não circulante,--,"18,81 M","18,88 M","18,84 M","18,55 M","16,66 M","21,19 M","23,52 M","24,86 M","21,94 M","20,64 M","28,32 M","31,20 M","34,20 M","33,20 M","35,35 M","39,16 M","37,49 M","40,71 M","38,39 M","30,60 M","11,67 M","10,35 M","5,58 M","5,49 M","5,02 M","3,21 Mil"
Emprést. de longo prazo,--,"6,49 M","3,78 M","3,72 M","3,72 M","2,01 M","3,79 M","3,51 M","5,66 M","6,57 M","8,65 M","16,38 M","19,23 M","22,32 M","21,89 M","23,92 M","27,82 M","25,51 M","29,45 M","27,03 M","21,56 M","4,55 M","5,09 M","891,00 Mil","1,02 M","845,00 Mil",0
Patrimônio líquido,--,"220,34 M","220,73 M","218,84 M","221,57 M","230,20 M","232,12 M","232,64 M","240,90 M","255,40 M","272,43 M","286,73 M","295,50 M","308,61 M","351,39 M","362,22 M","370,70 M","361,81 M","396,63 M","404,32 M","403,27 M","4,35 M","8,92 M","4,73 M","-11,10 M","-8,54 M","-7,07 Mil"
Aos não controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
