Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"2,27 B","2,47 B","2,19 B","2,05 B","2,36 B","1,99 B","1,87 B","1,99 B","2,11 B","1,96 B","1,82 B","1,69 B","1,80 B","1,74 B","1,87 B","1,72 B","1,93 B","2,16 B","1,67 B","1,43 B","1,61 B","1,28 B","1,09 B","1,11 B","1,31 B","1,33 B","1,19 B","1,10 B","1,05 B","1,23 B","1,07 B","1,02 B","958,11 M","1,12 B","944,27 M","824,73 M","950,45 M","836,30 M","822,46 M","740,40 M","1,04 B","874,87 M","891,84 M","752,99 M","584,12 M","740,75 M","709,04 M","603,96 M","590,06 M","611,77 M","566,62 M","544,52 M","707,87 M","556,90 M","592,16 M","487,88 M","550,86 M","520,62 M","526,53 M","411,76 M","555,36 M","505,80 M","455,31 M","440,13 M"
Custos,"-1,73 B","-1,86 B","-1,61 B","-1,46 B","-1,81 B","-1,46 B","-1,37 B","-1,29 B","-1,38 B","-1,21 B","-1,23 B","-1,17 B","-1,24 B","-1,23 B","-1,19 B","-1,23 B","-1,57 B","-1,52 B","-1,19 B","-1,01 B","-1,19 B","-904,84 M","-919,06 M","-935,10 M","-1,03 B","-1,03 B","-933,62 M","-855,09 M","-840,49 M","-954,46 M","-877,12 M","-740,79 M","-848,40 M","-995,22 M","-798,96 M","-706,08 M","-780,87 M","-671,55 M","-677,88 M","-657,26 M","-891,90 M","-804,82 M","-811,44 M","-665,10 M","-581,37 M","-588,46 M","-502,64 M","-515,78 M","-469,06 M","-498,57 M","-482,89 M","-434,26 M","-575,79 M","-458,73 M","-451,17 M","-388,18 M","-410,51 M","-371,72 M","-337,21 M","-332,47 M","-460,02 M","-374,73 M","-375,44 M","-387,26 M"
Lucro bruto,"543,79 M","610,65 M","573,14 M","588,72 M","550,60 M","532,86 M","500,86 M","704,53 M","727,08 M","751,45 M","590,06 M","514,22 M","562,72 M","509,64 M","680,74 M","489,31 M","356,02 M","640,74 M","474,59 M","423,30 M","412,43 M","378,92 M","175,80 M","176,42 M","281,65 M","307,17 M","256,50 M","246,61 M","211,36 M","275,54 M","195,58 M","278,09 M","109,70 M","128,96 M","145,31 M","118,65 M","169,58 M","164,75 M","144,58 M","83,13 M","152,83 M","70,05 M","80,40 M","87,89 M","2,75 M","152,28 M","206,40 M","88,18 M","120,99 M","113,20 M","83,73 M","110,26 M","132,08 M","98,17 M","140,99 M","99,70 M","140,35 M","148,90 M","189,32 M","79,29 M","95,33 M","131,06 M","79,87 M","52,87 M"
Despesas operacionais,"-193,55 M","-137,99 M","-148,17 M","-121,63 M","-188,66 M","-137,61 M","-118,26 M","-117,63 M","-122,14 M","-105,60 M","-99,98 M","-94,99 M","-117,05 M","-101,07 M","-81,23 M","-64,58 M","-112,11 M","-144,61 M","-71,53 M","-23,80 M","-58,91 M","-51,73 M","-46,32 M","-55,22 M","-72,09 M","-46,30 M","-57,54 M","-58,36 M","-74,17 M","-67,39 M","-54,27 M","-52,75 M","-60,68 M","-41,18 M","-59,47 M","-20,42 M","-64,58 M","-28,48 M","-37,32 M","-41,47 M","-39,39 M","-36,96 M","2,47 M","-43,40 M","56,07 M","-47,57 M","-130,39 M","-104,92 M","-153,22 M","-204,29 M","-151,36 M","-68,48 M","-142,38 M","-88,34 M","-38,75 M","-53,65 M","-55,75 M","-34,00 M","-29,26 M","-44,72 M","-42,50 M","-29,96 M","-39,62 M","-28,38 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"84,39 M","-16,12 M","-45,20 M","-23,07 M","-29,50 M","-34,60 M","-89,17 M","-24,65 M","-60,86 M","-14,24 M","-11,52 M","-31,89 M","-30,15 M","-19,95 M","-15,06 M","-18,23 M","-10,06 M","-5,35 M","-10,73 M","-8,52 M"
Despesas administrativas,"-110,19 M","-113,35 M","-115,24 M","-102,35 M","-133,15 M","-117,20 M","-100,63 M","-96,88 M","-98,71 M","-91,76 M","-78,91 M","-77,95 M","-106,70 M","-90,79 M","-67,15 M","-54,75 M","-65,16 M","-45,32 M","-56,64 M","-51,62 M","-51,72 M","-41,95 M","-41,67 M","-46,92 M","-67,65 M","-42,51 M","-47,77 M","-51,24 M","-75,06 M","-57,58 M","-40,50 M","-43,57 M","-52,37 M","-43,35 M","-43,69 M","-36,88 M","-32,04 M","-22,16 M","-38,46 M","-38,93 M","-48,03 M","-31,92 M","8,98 M","-34,76 M","-17,79 M","-33,30 M","-69,78 M","-59,24 M","-140,36 M","-46,47 M","-31,71 M","-30,17 M","-42,57 M","-33,66 M","-21,37 M","-21,79 M","-20,04 M","-16,46 M","-12,20 M","-24,55 M","-26,39 M","-21,73 M","-22,61 M","-20,17 M"
EBIT,"350,24 M","472,66 M","424,97 M","467,09 M","361,94 M","395,25 M","382,60 M","586,90 M","604,95 M","645,85 M","490,08 M","419,22 M","445,67 M","408,56 M","599,51 M","424,73 M","243,91 M","496,13 M","403,06 M","399,50 M","353,52 M","327,19 M","129,48 M","121,20 M","209,56 M","260,88 M","198,96 M","188,25 M","137,19 M","208,14 M","141,31 M","225,34 M","49,02 M","87,79 M","85,84 M","98,23 M","105,00 M","136,27 M","107,26 M","41,67 M","113,44 M","33,09 M","82,87 M","44,49 M","58,82 M","104,72 M","76,01 M","-16,73 M","-32,23 M","-91,10 M","-67,63 M","41,78 M","-10,30 M","9,82 M","102,24 M","46,05 M","84,60 M","114,89 M","160,06 M","34,57 M","52,83 M","101,10 M","40,25 M","24,49 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-245,46 M","-198,44 M","-147,75 M","-144,44 M","-134,42 M","-129,00 M","-113,38 M","-132,88 M","-63,92 M","-156,65 M","-119,80 M","-147,91 M","-140,42 M","-170,95 M","-99,86 M","-66,27 M","-70,56 M","-191,59 M","-16,59 M","-24,41 M","-5,04 M","-4,37 M","-34,41 M","-65,07 M","-7,17 M","-58,32 M","-51,49 M","-42,11 M","-8,70 M","-47,55 M","-66,49 M","-56,25 M","-191,01 M","-22,70 M","-29,15 M","-42,48 M","-63,30 M","-87,34 M","-98,15 M","-9,68 M","-88,77 M","-67,05 M","2,84 M","-49,31 M","-98,64 M","-76,63 M","-65,91 M","-17,45 M","-94,80 M","-48,11 M","-67,54 M","-42,01 M","-26,32 M","-49,81 M","-73,67 M","-38,43 M","-31,69 M","-51,55 M","-34,02 M","-63,01 M","-39,39 M","-42,90 M","-58,97 M","-38,01 M"
Antes dos impostos,"104,78 M","274,21 M","277,23 M","322,65 M","227,52 M","266,25 M","269,23 M","454,03 M","541,02 M","489,20 M","370,28 M","271,31 M","305,25 M","237,62 M","499,65 M","358,46 M","173,35 M","304,53 M","386,47 M","375,09 M","348,48 M","322,82 M","95,06 M","56,13 M","202,39 M","202,56 M","147,46 M","146,14 M","128,49 M","160,59 M","74,82 M","169,09 M","-141,99 M","65,08 M","56,69 M","55,75 M","41,70 M","48,93 M","9,12 M","31,99 M","24,67 M","-33,95 M","85,71 M","-4,82 M","-39,82 M","28,09 M","10,10 M","-34,18 M","-127,03 M","-139,21 M","-135,17 M","-236,00 Mil","-36,62 M","-39,99 M","28,57 M","7,62 M","52,90 M","63,34 M","126,04 M","-28,44 M","13,44 M","58,20 M","-18,72 M","-13,52 M"
Imposto,"45,39 M","-61,02 M","-53,38 M","-38,58 M","51,24 M","-30,15 M","-62,92 M","-87,10 M","-87,98 M","-86,60 M","-64,90 M","-53,29 M","-22,07 M","-13,77 M","-96,53 M","-77,90 M","-43,07 M","-42,23 M","-47,51 M","-91,09 M","-79,76 M","-25,39 M","-20,13 M","-19,25 M","-31,39 M","-25,91 M","-19,97 M","-27,12 M","-21,50 M","-20,39 M","-20,07 M","-44,06 M","6,27 M","-14,75 M","-7,19 M","-15,11 M","-6,06 M","-7,46 M","23,44 M","-10,61 M","-8,88 M","11,46 M","-29,56 M","2,55 M","145,52 M","-12,98 M","9,62 M","-1,57 M","1,67 M","3,25 M","7,69 M","6,32 M","-8,24 M","13,29 M","-11,19 M","-6,33 M","169,00 Mil","-23,89 M","-51,68 M","8,45 M","-10,95 M","-17,53 M","3,89 M","3,79 M"
Op. continuadas,"150,18 M","213,19 M","223,84 M","284,07 M","278,76 M","236,10 M","206,30 M","366,92 M","453,05 M","402,59 M","305,38 M","218,02 M","283,18 M","223,84 M","403,12 M","280,56 M","130,28 M","262,30 M","338,96 M","284,00 M","268,72 M","297,43 M","74,94 M","36,88 M","171,00 M","176,64 M","127,49 M","119,02 M","106,99 M","140,20 M","54,75 M","125,03 M","-135,72 M","50,34 M","49,50 M","40,65 M","35,64 M","41,47 M","32,56 M","21,38 M","15,79 M","-22,50 M","56,15 M","-2,27 M","105,70 M","15,11 M","19,72 M","-35,75 M","-125,36 M","-135,96 M","-127,48 M","6,09 M","-44,85 M","-26,70 M","17,38 M","1,30 M","53,07 M","39,46 M","74,35 M","-20,00 M","2,49 M","40,67 M","-14,83 M","-9,73 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"150,18 M","213,19 M","223,84 M","284,07 M","278,76 M","236,10 M","206,30 M","366,92 M","453,05 M","402,59 M","305,38 M","218,02 M","283,18 M","223,84 M","403,12 M","280,56 M","130,28 M","262,30 M","338,96 M","284,00 M","268,72 M","297,43 M","74,94 M","36,88 M","171,00 M","176,64 M","127,49 M","119,02 M","106,99 M","140,20 M","54,75 M","125,03 M","-135,72 M","50,34 M","49,50 M","40,65 M","35,64 M","41,47 M","32,56 M","21,38 M","15,79 M","-22,50 M","56,15 M","-2,27 M","105,70 M","15,11 M","19,72 M","-35,75 M","-125,36 M","-135,96 M","-127,48 M","6,09 M","-44,85 M","-26,70 M","17,38 M","1,30 M","53,07 M","39,46 M","74,35 M","-20,00 M","2,49 M","40,67 M","-14,83 M","-9,73 M"
Dos controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dos não controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
