Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"88,20 M","88,97 M","71,23 M","77,73 M","81,87 M","87,86 M","104,50 M","92,70 M","79,75 M","77,40 M","64,86 M","56,98 M","47,42 M","58,23 M","64,67 M","66,99 M","61,15 M","-33,91 M","102,42 M","533,77 M","344,89 M","52,84 M","45,87 M","51,23 M","429,08 M"
Custos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,71 M","-2,43 M","-457,55 M","-324,46 M","-7,35 M","-3,13 M",0,"-412,57 M"
Lucro bruto,"88,20 M","88,97 M","71,23 M","77,73 M","81,87 M","87,86 M","104,50 M","92,70 M","79,75 M","77,40 M","64,86 M","56,98 M","47,42 M","58,23 M","64,67 M","66,99 M","61,15 M","-37,63 M","99,99 M","76,22 M","20,43 M","45,49 M","42,73 M",0,"16,51 M"
Despesas operacionais,"-91,05 M","-81,14 M","-68,93 M","-75,42 M","-73,24 M","-97,23 M","-92,31 M","-83,76 M","-68,49 M","-82,58 M","-52,96 M","-50,20 M","-49,85 M","-48,06 M","-46,38 M","-46,35 M","-40,50 M","-31,12 M","-31,62 M","-26,02 M","31,97 M","-24,06 M","-22,30 M","-24,28 M","12,44 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-91,05 M","-81,14 M","-68,93 M","-75,42 M","-73,24 M","-97,23 M","-92,31 M","-83,73 M","-68,46 M","-83,05 M","-52,91 M","-50,22 M","-49,86 M","-48,06 M","-46,37 M","-45,90 M","-39,81 M","-29,72 M","-31,43 M","-25,42 M","-25,80 M","-26,16 M","-19,89 M","-19,06 M","-19,80 M"
EBIT,"-2,85 M","7,84 M","2,31 M","2,31 M","8,62 M","-9,37 M","12,19 M","8,95 M","11,27 M","-5,18 M","11,91 M","6,78 M","-2,42 M","10,17 M","18,30 M","20,64 M","20,65 M","-68,75 M","68,37 M","50,20 M","52,40 M","21,43 M","20,44 M","26,96 M","28,95 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,"42,98 M","40,02 M","38,46 M","35,99 M","33,72 M","33,13 M","39,47 M","41,04 M",--,--,--,--,--,--,--,--
Resultado financeiro,"46,61 M","42,34 M","62,05 M","61,56 M","45,62 M","56,02 M","53,23 M","49,34 M","57,82 M","46,91 M","41,98 M","46,17 M","54,08 M","39,47 M","34,70 M","42,73 M","45,56 M","116,77 M",0,0,"4,00 Mil","10,92 M","9,41 M",0,"-46,00 Mil"
Antes dos impostos,"43,76 M","50,18 M","64,36 M","63,86 M","54,24 M","46,65 M","65,41 M","58,29 M","69,08 M","41,73 M","53,89 M","52,95 M","51,66 M","49,65 M","53,00 M","63,37 M","66,20 M","48,02 M","68,37 M","50,20 M","52,40 M","32,35 M","29,85 M","42,43 M","28,91 M"
Imposto,"-6,04 M","-5,65 M","-22,14 M","-18,67 M","-11,12 M","-4,53 M","-15,29 M","-6,32 M","-19,62 M","1,38 M","-13,74 M","-14,25 M","-18,54 M","-15,86 M","-19,86 M","-23,26 M","-26,15 M","-17,14 M","-26,61 M","-15,23 M","-21,43 M","-9,72 M","-9,19 M",0,"-7,26 M"
Op. continuadas,"37,71 M","44,53 M","42,22 M","45,19 M","43,12 M","42,12 M","50,12 M","51,97 M","49,46 M","43,11 M","40,15 M","38,70 M","33,12 M","33,79 M","33,15 M","40,11 M","40,05 M","30,88 M","41,76 M","34,97 M","30,98 M","22,63 M","20,66 M","23,80 M","21,65 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"37,71 M","44,53 M","42,22 M","45,19 M","43,12 M","42,12 M","50,12 M","51,97 M","49,46 M","43,11 M","40,15 M","38,70 M","33,12 M","33,79 M","33,15 M","40,11 M","40,05 M","30,88 M","41,76 M","34,97 M","30,98 M","22,63 M","20,66 M","23,80 M","21,65 M"
Dos controladores,"37,71 M","44,53 M","42,22 M",0,"43,12 M","42,12 M","50,12 M","51,97 M","49,46 M","-111,98 M","40,15 M","38,70 M","33,12 M","-113,31 M","33,15 M","40,11 M","40,05 M","30,95 M","41,76 M","34,97 M","30,98 M","22,63 M","20,66 M",0,"21,65 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
