Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019
Ativo total,"18,17 B","17,48 B","16,95 B","15,48 B","15,46 B","15,06 B","12,96 B","12,89 B","11,18 B","10,75 B","9,43 B","9,70 B","8,61 B","7,87 B","6,63 B","5,42 B","4,15 B","3,05 B","2,64 B","1,42 B","945,01 M","761,41 M","546,90 M"
Ativo circulante,"17,96 B","17,33 B","16,81 B","15,33 B","15,30 B","14,90 B","12,87 B","12,80 B","11,10 B","10,66 B","9,34 B","9,62 B","8,53 B","7,78 B","6,56 B","5,35 B","4,12 B","3,01 B","2,60 B","1,40 B","923,78 M","739,76 M","529,84 M"
Caixa e eq. de caixa,"118,42 M","137,79 M","516,14 M","450,54 M","549,48 M","575,24 M","308,21 M","945,86 M","227,38 M","287,19 M","207,66 M","246,92 M","143,55 M","77,47 M","85,41 M","103,01 M","184,47 M","94,13 M","82,39 M","105,78 M","49,20 M","47,10 M","58,31 M"
Aplicações financeiras,"17,80 B","17,17 B","16,27 B","14,86 B","14,72 B","14,30 B","12,53 B","11,83 B","10,83 B","10,34 B","9,10 B","9,34 B","8,37 B","7,69 B","6,44 B","5,22 B","3,91 B","2,86 B","2,50 B","1,27 B","866,00 M","664,05 M","469,17 M"
Contas a receber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"213,61 M","148,97 M","142,72 M","146,99 M","161,94 M","153,49 M","89,95 M","88,25 M","83,30 M","87,78 M","81,60 M","76,02 M","73,89 M","86,23 M","71,13 M","69,80 M","35,88 M","38,23 M","35,63 M","27,79 M","21,23 M","21,65 M","17,06 M"
Investimentos,0,0,0,"6,00 Mil","6,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"47,84 M","44,27 M","45,69 M","47,10 M","48,31 M","42,33 M","43,63 M","43,71 M","43,06 M","44,06 M","45,16 M","46,26 M","45,87 M","46,60 M","44,08 M","44,94 M","6,49 M","4,72 M","5,13 M","2,79 M","3,33 M","3,61 M","6,93 M"
Intangível,"11,48 M","12,28 M","13,09 M","13,89 M","14,69 M","15,52 M","16,35 M","17,17 M","18,00 M","18,49 M","17,57 M","16,61 M","15,75 M","14,67 M","5,04 M","5,10 M","5,24 M","5,36 M","5,49 M","5,36 M","5,46 M","5,57 M","5,54 M"
Passivo total,"18,17 B","17,48 B","16,95 B","15,48 B","15,46 B","15,06 B","12,96 B","12,89 B","11,18 B","10,75 B","9,43 B","9,70 B","8,61 B","7,87 B","6,63 B","5,42 B","4,15 B","3,05 B","2,64 B",0,"945,01 M","761,41 M","546,90 M"
Passivo circulante,"17,38 B","16,70 B","16,14 B","14,67 B","14,66 B","14,25 B","12,12 B","12,04 B","10,36 B","9,92 B","8,65 B","8,89 B","7,81 B","7,07 B","5,79 B","4,60 B","3,33 B","2,23 B","1,76 B",0,"620,36 M","408,92 M","191,42 M"
Fornecedores,"3,36 M","11,24 M","2,69 M","2,79 M","16,57 M","16,02 M","25,32 M","2,18 M","3,94 M","4,73 M","2,74 M","2,71 M","2,62 M","3,35 M","2,88 M","4,57 M","5,86 M","53,24 M","8,80 M","7,79 M","8,48 M","3,69 M","13,23 M"
Empréstimos e financ.,"16,70 B","16,09 B","15,63 B","14,03 B","14,13 B","13,69 B","11,58 B","11,47 B","9,85 B","9,32 B","8,15 B","8,25 B","7,48 B","6,78 B","5,66 B","4,47 B","3,27 B","2,03 B","1,70 B",0,"1,24 M","304,96 M",0
Passivo não circulante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"66,94 M","57,55 M","66,08 M","54,55 M","105,15 M","104,80 M",0,"58,75 M","48,18 M"
Emprést. de longo prazo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"426,00 Mil","840,00 Mil",0,"1,46 M","4,67 M"
Patrimônio líquido,"793,43 M","783,30 M","809,61 M","807,14 M","796,08 M","804,59 M","846,57 M","845,75 M","826,38 M","820,82 M","775,99 M","806,76 M","792,23 M","804,22 M","771,38 M","757,52 M","758,69 M","767,21 M","771,40 M","731,10 M","324,65 M","293,75 M","307,31 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
