Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"64,81 M","359,84 M","63,16 M","64,00 M","45,61 M","43,98 M","41,54 M","39,77 M","37,69 M","39,04 M","38,37 M","39,00 M","36,98 M","38,05 M","34,38 M","34,30 M","34,13 M","29,92 M","21,35 M","17,50 M","19,13 M","21,86 M","17,66 M","18,31 M","19,51 M","21,99 M","16,72 M","14,65 M","14,60 M"
Custos,"-26,86 M","-251,39 M","-28,35 M","-27,85 M","-15,90 M","-9,50 M","-8,13 M","-8,18 M","-7,20 M","-8,01 M","-8,32 M","-6,86 M","-5,91 M","-5,89 M","-4,46 M","-4,94 M","-7,00 M","-5,52 M","-2,72 M","-2,72 M","-3,09 M","-4,62 M","-2,22 M","-1,58 M","-3,54 M","-2,53 M","-1,56 M","-1,71 M","-1,75 M"
Lucro bruto,"37,94 M","108,45 M","34,81 M","36,15 M","29,71 M","34,48 M","33,41 M","31,60 M","30,49 M","31,02 M","30,05 M","32,13 M","31,07 M","32,16 M","29,92 M","29,36 M","27,13 M","24,40 M","18,64 M","14,77 M","16,04 M","17,25 M","15,44 M","16,73 M","15,96 M","19,46 M","15,16 M","12,94 M","12,85 M"
Despesas operacionais,"-8,05 M","173,91 M","-14,04 M","-15,32 M","-16,00 M","191,70 M","-11,89 M","-15,01 M","-12,86 M","328,69 M","-11,48 M","-12,40 M","4,57 M","138,79 M","-10,48 M","-10,34 M","-11,96 M","260,53 M","-7,00 M","-12,38 M","-5,47 M","21,38 M","6,84 M","-27,86 M","21,71 M","301,65 M","7,29 M","-30,55 M","-14,59 M"
Despesas com vendas,"-357,00 Mil","-633,00 Mil","-817,00 Mil","-980,00 Mil","-692,00 Mil","-834,00 Mil","-884,00 Mil","-759,00 Mil","-618,00 Mil","-1,56 M","-1,05 M","-978,00 Mil","-523,00 Mil","-768,00 Mil","-446,00 Mil","-307,00 Mil","-710,00 Mil","-501,00 Mil","-133,00 Mil","-395,00 Mil","-258,00 Mil","-204,00 Mil","-165,00 Mil","-83,00 Mil","-235,00 Mil","-192,00 Mil","-508,00 Mil","-829,00 Mil","-180,00 Mil"
Despesas administrativas,"-8,85 M","175,95 M","-13,78 M","-13,46 M","-10,09 M","196,00 M","-12,01 M","-15,09 M","-12,71 M","348,00 M","-10,33 M","-11,20 M","5,52 M","153,11 M","-8,51 M","-7,94 M","-9,13 M","264,88 M","-6,50 M","-11,30 M","-4,99 M","26,29 M","-7,04 M","-7,90 M","-3,16 M","211,87 M","-14,84 M","-5,02 M","-3,62 M"
EBIT,"29,89 M","282,36 M","20,77 M","20,83 M","13,71 M","226,18 M","21,52 M","16,59 M","17,64 M","359,71 M","18,57 M","19,73 M","35,64 M","170,95 M","19,44 M","19,02 M","15,17 M","284,94 M","11,64 M","2,39 M","10,57 M","38,63 M","22,28 M","-11,14 M","37,67 M","321,11 M","22,45 M","-17,61 M","-1,74 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-48,27 M","-48,74 M","-46,79 M","-48,59 M","-38,70 M","-36,16 M","-33,33 M","-31,77 M","-28,35 M","-23,36 M","-20,09 M","-25,74 M","-27,62 M","-24,23 M","-12,40 M","-22,84 M","-17,91 M","-29,15 M","-20,09 M","-25,04 M","-24,91 M","-24,80 M","-12,51 M","-12,96 M","-19,96 M","-11,88 M","-15,11 M","-10,65 M","-9,31 M"
Antes dos impostos,"-18,37 M","233,62 M","-26,03 M","-27,76 M","-24,99 M","190,02 M","-11,81 M","-15,18 M","-10,72 M","336,36 M","-1,52 M","-6,01 M","8,02 M","146,72 M","7,04 M","-3,83 M","-2,74 M","255,79 M","-8,45 M","-22,64 M","-14,34 M","13,82 M","9,77 M","-24,09 M","17,71 M","309,23 M","7,34 M","-28,26 M","-11,06 M"
Imposto,"-3,65 M","-50,73 M","-2,59 M","-2,37 M","-2,33 M","-12,23 M","-2,04 M","-182,00 Mil","-2,33 M","-62,18 M","-2,73 M","-2,11 M","-2,61 M","-22,62 M","-1,57 M","-1,26 M","-1,27 M","-42,51 M","4,04 M","3,98 M","4,62 M","-43,53 M","-689,00 Mil","-944,00 Mil","556,00 Mil","-21,76 M","-9,87 M","12,90 M","19,97 M"
Op. continuadas,"-22,02 M","182,89 M","-28,62 M","-30,13 M","-27,32 M","177,79 M","-13,85 M","-15,37 M","-13,05 M","274,18 M","-4,25 M","-8,12 M","5,41 M","124,10 M","5,47 M","-5,08 M","-4,01 M","213,27 M","-4,41 M","-18,66 M","-9,72 M","-29,71 M","9,08 M","-25,04 M","18,27 M","287,46 M","-2,52 M","-15,36 M","8,91 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-22,02 M","182,89 M","-28,62 M","-30,13 M","-27,32 M","177,79 M","-13,85 M","-15,37 M","-13,05 M","274,18 M","-4,25 M","-8,12 M","5,41 M","124,10 M","5,47 M","-5,08 M","-4,01 M","213,27 M","-4,41 M","-18,66 M","-9,72 M","-29,71 M","9,08 M","-25,04 M","18,27 M","287,46 M","-2,52 M","-15,36 M","8,91 M"
Dos controladores,"-25,71 M","118,80 M","-30,05 M","-33,06 M","-28,20 M","100,37 M","-17,26 M","-19,45 M","-16,02 M","151,19 M","-7,10 M","-10,77 M","-1,50 M","72,11 M","3,86 M","-7,42 M","-5,52 M","188,68 M","-5,02 M","-18,19 M","-9,31 M","-22,93 M","5,00 M","-20,80 M","17,93 M","207,15 M","-24,46 M","4,91 M","6,33 M"
Dos não controladores,"3,70 M","64,09 M","1,42 M","2,93 M","880,00 Mil","77,42 M","3,41 M","4,08 M","2,97 M","122,99 M","2,85 M","2,65 M","6,91 M","51,99 M","1,61 M","2,33 M","1,51 M","24,59 M","608,00 Mil","-471,00 Mil","-416,00 Mil","-6,78 M","4,08 M","-4,24 M","344,00 Mil","80,31 M","21,93 M","-20,27 M","2,58 M"
