Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013
Ativo total,"87,12 M","87,44 M","84,91 M","86,28 M","88,74 M","95,95 M","83,52 M","87,02 M","80,90 M","76,08 M","64,47 M","60,45 M","63,01 M","59,02 M","59,85 B","60,83 B","53,07 B","60,42 M","57,20 M","59,89 M","64,86 M","54,30 M","57,15 M","52,52 M","48,09 M","36,66 M","36,74 M","39,42 M","38,72 M","37,37 M","37,43 M","39,22 M","32,84 M","31,71 M","29,55 M","33,96 M","32,36 M","32,72 M","94,51 M","86,17 M","111,99 M","118,41 M","127,15 M","79,87 M","101,06 M",100,100,100,100,100
Ativo circulante,"232,02 Mil","442,66 Mil","605,16 Mil","580,23 Mil","144,06 Mil","108,74 Mil","171,63 Mil","58,12 Mil","159,65 Mil","218,52 Mil","89,51 Mil","153,06 Mil","255,86 Mil","371,97 Mil","447,95 M","64,73 M","29,56 M","118,17 Mil","207,49 Mil","33,83 Mil","74,05 Mil","40,55 Mil","121,96 Mil","161,81 Mil","54,81 Mil","105,19 Mil","181,76 Mil","84,39 Mil","123,74 Mil","289,64 Mil","229,04 Mil","9,14 Mil","30,21 Mil","116,32 Mil","36,87 Mil","91,11 Mil","134,23 Mil","43,91 Mil",780,"2,71 Mil","24,59 Mil","22,37 Mil","95,14 Mil","5,55 Mil","16,10 Mil",100,100,100,100,100
Caixa e eq. de caixa,"199,54 Mil","361,64 Mil","438,79 Mil","499,83 Mil","96,95 Mil","107,51 Mil","165,83 Mil","52,84 Mil","154,32 Mil","213,65 Mil","82,62 Mil","148,57 Mil","255,86 Mil","368,77 Mil","443,26 M","61,05 M","26,11 M","114,92 Mil","199,65 Mil","25,98 Mil","71,26 Mil","37,77 Mil","119,23 Mil","159,16 Mil","52,23 Mil","102,72 Mil","179,42 Mil","82,12 Mil","121,68 Mil","287,83 Mil","227,65 Mil","8,02 Mil","29,12 Mil","115,38 Mil","36,09 Mil","90,89 Mil","133,89 Mil","43,81 Mil",780,"2,71 Mil","24,59 Mil","22,37 Mil","95,14 Mil","5,55 Mil","16,10 Mil",100,100,100,100,100
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"28,79 Mil","78,86 Mil","164,32 Mil","78,57 Mil","45,40 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"86,88 M","87,00 M","84,30 M","85,70 M","88,60 M","95,84 M","83,35 M","86,96 M","80,74 M","75,86 M","64,38 M","60,30 M","62,76 M","58,64 M","59,40 B","60,77 B","53,04 B","60,30 M","56,99 M","59,85 M","64,78 M","54,26 M","57,03 M","52,36 M","48,03 M","36,56 M","36,56 M","39,34 M","38,60 M","37,08 M","37,20 M","39,21 M","32,81 M","31,59 M","29,51 M","33,87 M","32,22 M","32,68 M","94,51 M","86,17 M","111,96 M","118,39 M","127,06 M","79,87 M","101,04 M",0,0,0,0,0
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intangível,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo total,--,"87,44 M","84,91 M","86,28 M","88,74 M","95,95 M","83,52 M","87,02 M","80,90 M","76,08 M","64,47 M","60,45 M","63,01 M","59,02 M","59,85 B","60,83 B","53,07 B","60,42 M","57,20 M","59,89 M","64,86 M","54,30 M","57,15 M","52,52 M","48,09 M","36,66 M","36,74 M","39,42 M","38,72 M","37,37 M","37,43 M","39,22 M","32,84 M","31,71 M","29,55 M","33,96 M","32,36 M","32,72 M","94,51 M","86,17 M","111,99 M","118,41 M","127,15 M","79,87 M","101,06 M",100,100,100,100,100
Passivo circulante,--,"130,12 Mil","178,29 Mil","79,42 Mil","49,58 Mil","13,20 Mil","6,14 Mil","10,81 Mil",605,"23,94 Mil","62,87 Mil","32,55 Mil","43,83 Mil","49,23 Mil","64,59 M","197,04 M","159,20 M","232,16 Mil","25,91 Mil","26,69 Mil","72,48 Mil","58,26 Mil","22,75 Mil","27,55 Mil","114,82 Mil","79,53 Mil","32,78 Mil","40,55 Mil","85,26 Mil","74,47 Mil","39,02 Mil","60,01 Mil","40,28 Mil","8,03 Mil","71,46 Mil","24,86 Mil","8,29 Mil","56,27 Mil",3,12,8,"9,01 Mil",0,0,0,0,0,0,0,0
Fornecedores,--,"50,89 Mil","13,44 Mil",0,"3,55 Mil","12,83 Mil","5,89 Mil","9,53 Mil",0,"23,34 Mil","62,87 Mil","32,03 Mil","43,78 Mil","49,23 Mil","63,83 M","191,91 M","158,66 M","231,20 Mil","23,80 Mil","26,42 Mil","72,47 Mil","57,50 Mil","21,57 Mil","27,54 Mil","114,81 Mil","79,50 Mil","32,50 Mil","40,53 Mil","85,19 Mil","72,32 Mil","37,28 Mil","59,91 Mil","39,70 Mil","3,83 Mil","71,31 Mil","24,85 Mil","8,28 Mil","55,74 Mil",0,0,0,"8,48 Mil",0,0,0,0,0,0,0,0
Empréstimos e financ.,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo não circulante,--,"87,00 M","84,30 M","85,70 M","88,60 M","95,84 M","83,35 M","86,96 M","80,74 M","75,86 M","64,38 M","60,30 M","62,77 M","58,66 M","59,40 B","60,77 B","52,90 B","60,16 M","56,85 M","59,72 M","64,64 M","54,12 M","56,89 M","52,22 M","47,91 M","36,45 M","36,49 M","39,34 M","38,60 M","37,08 M","37,20 M","39,21 M","32,81 M","31,59 M","29,51 M","33,87 M","32,22 M","32,68 M","94,51 M","86,07 M","111,94 M","118,39 M","127,06 M","79,87 M","101,04 M",0,0,0,0,0
Emprést. de longo prazo,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrimônio líquido,--,"312,55 Mil","426,86 Mil","500,81 Mil","94,48 Mil","95,55 Mil","165,49 Mil","47,31 Mil","159,05 Mil","194,59 Mil","26,64 Mil","122,68 Mil","203,46 Mil","308,38 Mil","383,37 M","-132,31 M","9,60 M","25,25 Mil","320,81 Mil","146,38 Mil","140,80 Mil","121,52 Mil","238,45 Mil","273,50 Mil","60,17 Mil","131,81 Mil","213,07 Mil","43,84 Mil","38,48 Mil","215,17 Mil","190,02 Mil","-50,87 Mil","-10,07 Mil","108,29 Mil","-34,58 Mil","66,26 Mil","125,94 Mil","-12,36 Mil",777,"102,80 Mil","52,54 Mil","13,37 Mil","95,14 Mil","5,55 Mil","16,10 Mil",100,100,100,100,100
Aos não controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
