Conta,1T2026,4T2025,3T2025,2T2025
Receita líquida,"3,00 Mil","-1,65 M","864,00 Mil","785,00 Mil"
Custos,0,"1,65 M","-753,00 Mil","-892,00 Mil"
Lucro bruto,"3,00 Mil","-4,00 Mil","111,00 Mil","-107,00 Mil"
Despesas operacionais,"-464,20 M","-465,28 M","-509,00 Mil","-727,00 Mil"
Despesas com vendas,0,0,0,0
Despesas administrativas,"-9,44 M","-5,48 M","-194,00 Mil","-757,00 Mil"
EBIT,"-464,20 M","-465,28 M","-398,00 Mil","-834,00 Mil"
Resultado operacional,--,--,--,--
Resultado financeiro,"1,66 M","-267,00 Mil","-52,00 Mil","-29,00 Mil"
Antes dos impostos,"-462,54 M","-465,55 M","-450,00 Mil","-863,00 Mil"
Imposto,"-105,00 Mil",0,0,0
Op. continuadas,"-462,64 M","-465,55 M","-450,00 Mil","-863,00 Mil"
Op. descontinuadas,"1,94 M","-3,12 M",0,0
Lucro líquido,"-460,71 M","-468,67 M","-450,00 Mil","-863,00 Mil"
Dos controladores,0,--,--,--
Dos não controladores,0,--,--,--
