Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023
Receita líquida,"1,69 B","798,02 M","759,95 M","750,35 M","705,49 M","727,88 M","666,91 M","667,69 M","675,44 M","686,36 M","646,89 M","648,02 M","601,56 M"
Custos,"-899,22 M","-438,18 M","-416,48 M","-405,80 M","-392,12 M","-408,14 M","-388,58 M","-388,00 M","-377,50 M","-395,51 M","-362,94 M","-357,46 M","-338,25 M"
Lucro bruto,"792,87 M","359,84 M","343,46 M","344,55 M","313,37 M","319,75 M","278,34 M","279,69 M","297,94 M","290,85 M","283,96 M","290,56 M","263,31 M"
Despesas operacionais,"-674,99 M","-321,96 M","-273,95 M","-271,91 M","-273,29 M","-208,26 M","-264,79 M","-232,18 M","-260,25 M","-257,08 M","-244,24 M","-251,91 M","-227,53 M"
Despesas com vendas,"-517,12 M","-239,69 M","-217,13 M","-217,37 M","-209,63 M","-219,94 M","-211,08 M","-212,68 M","-212,99 M","-240,95 M",0,"-182,96 M","-126,31 M"
Despesas administrativas,"-154,79 M","-75,31 M","-61,79 M","-57,15 M","-66,87 M","-81,34 M","-55,98 M","-57,95 M","-51,16 M","-20,26 M","-203,15 M","-72,00 M","-105,52 M"
EBIT,"117,88 M","37,88 M","69,52 M","72,64 M","40,08 M","111,48 M","13,55 M","47,51 M","37,70 M","33,77 M","39,72 M","38,65 M","35,78 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-55,42 M","-11,84 M","-13,02 M","-17,62 M","-18,72 M","-1,90 M","-17,81 M","-11,01 M","-20,22 M","-15,04 M","-16,10 M","-18,30 M","-14,23 M"
Antes dos impostos,"62,45 M","26,04 M","56,49 M","55,02 M","21,35 M","109,58 M","-4,26 M","36,50 M","17,47 M","18,74 M","23,61 M","20,35 M","21,55 M"
Imposto,"-23,06 M","-7,55 M","-18,40 M","-17,64 M","-5,97 M","-28,32 M","1,56 M","-10,00 M","-5,74 M","-6,76 M","-7,39 M","-4,33 M","-7,03 M"
Op. continuadas,"39,40 M","18,49 M","38,09 M","37,38 M","15,38 M","81,25 M","-2,70 M","26,50 M","11,74 M","11,98 M","16,22 M","16,02 M","14,52 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"39,40 M","18,49 M","38,09 M","37,38 M","15,38 M","81,25 M","-2,70 M","26,50 M","11,74 M","11,98 M","16,22 M","16,02 M","14,52 M"
Dos controladores,0,0,0,0,0,0,0,"26,50 M",0,0,0,"16,02 M",0
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0
