Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"574,96 M","562,30 M","567,86 M","545,81 M","499,32 M","487,04 M","570,82 M","585,34 M","582,80 M","541,22 M","568,23 M","554,15 M","524,06 M","512,11 M","473,88 M","434,41 M","342,73 M","288,22 M","240,40 M",0,0,0,0,"143,98 M","170,24 M"
Custos,"-401,04 M","-390,62 M","-396,74 M","-380,98 M","-355,53 M","-358,01 M","-397,25 M","-410,45 M","-389,69 M","-378,48 M","-382,74 M","-369,68 M","-344,91 M","-339,80 M","-304,43 M","-272,79 M","-222,93 M","-175,68 M","-156,08 M",0,0,0,0,"-104,39 M","-110,16 M"
Lucro bruto,"173,92 M","171,68 M","171,12 M","164,82 M","143,79 M","129,03 M","173,57 M","174,89 M","193,11 M","162,74 M","185,49 M","184,47 M","179,15 M","172,32 M","169,46 M","161,62 M","119,80 M","112,54 M","84,32 M",0,0,0,0,"39,59 M","60,08 M"
Despesas operacionais,"-78,45 M","-73,37 M","-73,02 M","-76,83 M","-74,47 M","-78,38 M","-19,90 M","-827,21 M","-80,96 M","-76,24 M","-76,73 M","-62,34 M","-72,93 M","-80,51 M","-75,32 M","-74,54 M","-54,91 M","-67,23 M","-24,41 M",0,0,0,0,"-25,81 M","-32,32 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-71,73 M","-70,58 M","-70,86 M","-68,26 M","-67,23 M","-69,17 M","-79,93 M","-77,04 M","-72,57 M","-76,00 M","-76,23 M","-72,64 M","-71,42 M","-77,40 M","-70,42 M","-69,04 M","-52,23 M","-56,81 M","-24,97 M","-26,56 M","-25,78 M","-22,72 M","-21,55 M","-22,46 M","-22,53 M"
EBIT,"95,47 M","98,31 M","98,11 M","88,00 M","69,31 M","50,65 M","153,68 M","-652,32 M","112,15 M","86,50 M","108,76 M","122,13 M","106,22 M","91,81 M","94,13 M","87,08 M","64,89 M","45,31 M","59,91 M",0,0,0,0,"13,78 M","27,76 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-44,38 M","-45,58 M","-55,50 M","-46,42 M","-39,14 M","-34,99 M","-31,86 M","-46,63 M","-49,29 M","-44,90 M","-55,88 M","-56,70 M","-57,34 M","-54,89 M","-39,51 M","-38,34 M","-19,33 M","-10,23 M","5,70 M",0,0,0,0,"-3,97 M","-4,71 M"
Antes dos impostos,"51,09 M","52,73 M","42,60 M","41,58 M","30,17 M","15,66 M","121,82 M","-698,95 M","62,86 M","41,61 M","52,88 M","65,43 M","48,88 M","36,91 M","54,63 M","48,74 M","45,55 M","35,08 M","65,61 M",0,0,0,0,"9,81 M","23,06 M"
Imposto,"-18,53 M","-15,56 M","-15,12 M","-14,49 M","-10,00 M","-7,51 M","-41,29 M","240,41 M","-16,90 M","-13,12 M","-17,65 M","-20,49 M","-16,29 M","-19,22 M","-15,37 M","-13,96 M","-14,59 M","-11,54 M","-21,97 M",0,0,0,0,"-3,33 M","-7,66 M"
Op. continuadas,"32,57 M","37,17 M","27,48 M","27,09 M","20,17 M","8,15 M","80,53 M","-458,54 M","45,96 M","28,49 M","35,23 M","44,94 M","32,58 M","17,69 M","39,26 M","34,77 M","30,96 M","23,53 M","43,63 M",0,0,0,0,"6,48 M","15,40 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"32,57 M","37,17 M","27,48 M","27,09 M","20,17 M","8,15 M","80,53 M","-458,54 M","45,96 M","28,49 M","35,23 M","44,94 M","32,58 M","17,69 M","39,26 M","34,77 M","30,96 M","23,53 M","43,63 M",0,0,0,0,"6,48 M","15,40 M"
Dos controladores,"33,20 M","37,48 M","26,86 M","26,23 M","19,93 M","8,28 M","75,37 M","-464,27 M","42,18 M","25,80 M","25,55 M","38,09 M","27,21 M","13,97 M","33,73 M",0,"26,59 M","21,61 M","43,63 M",0,0,0,0,--,--
Dos não controladores,"-639,00 Mil","-310,00 Mil","617,00 Mil","856,00 Mil","242,00 Mil","-134,00 Mil","5,17 M","5,73 M","3,78 M","2,69 M","6,68 M","6,85 M","5,37 M","3,72 M","5,54 M",0,"4,38 M","1,93 M",0,0,0,0,0,--,--
