Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"137,82 M","196,09 M","147,35 M","181,89 M","184,62 M","292,93 M","250,07 M","265,08 M","219,00 M","268,53 M","290,02 M","299,78 M","214,16 M","261,84 M","214,57 M","220,38 M","194,51 M","165,51 M","105,12 M","79,18 M","72,75 M","64,86 M","61,89 M","66,05 M","43,14 M"
Custos,"-116,64 M","-158,92 M","-117,03 M","-135,36 M","-132,66 M","-171,80 M","-188,43 M","-199,36 M","-164,16 M","-157,84 M","-165,54 M","-170,57 M","-123,32 M","-143,86 M","-126,89 M","-128,83 M","-112,84 M","-82,72 M","-52,93 M","-42,76 M","-39,15 M","-30,78 M","-31,92 M","-33,66 M","-22,18 M"
Lucro bruto,"21,18 M","37,17 M","30,32 M","46,54 M","51,96 M","121,14 M","61,64 M","65,73 M","54,83 M","110,69 M","124,48 M","129,22 M","90,84 M","117,98 M","87,68 M","91,55 M","81,67 M","82,79 M","52,19 M","36,42 M","33,61 M","34,08 M","29,97 M","32,39 M","20,96 M"
Despesas operacionais,"-37,61 M","-124,69 M","-43,00 M","-51,66 M","-57,79 M","-116,47 M","-109,28 M","-1,55 B","-109,77 M","-120,62 M","-112,26 M","-131,22 M","-109,84 M","-144,07 M","-105,11 M","-108,00 M","-106,07 M","-93,37 M","-61,40 M","-51,52 M","-27,05 M","-30,85 M","-29,06 M","-29,30 M","-22,37 M"
Despesas com vendas,"-4,35 M","-6,96 M","-3,09 M","-5,03 M","-4,45 M","-25,45 M","-17,56 M","-18,57 M","-10,61 M","10,68 M","-9,33 M","-13,23 M","-9,27 M","-5,81 M","-3,47 M","-7,92 M","-10,58 M","-22,13 M","-3,32 M","-6,79 M","-1,06 M","-5,28 M","-3,85 M","-5,93 M","-812,00 Mil"
Despesas administrativas,"-38,07 M","-112,16 M","-33,19 M","-51,08 M","-57,37 M","-1,45 B","-93,26 M","-154,62 M","-99,79 M","-138,33 M","-104,97 M","-120,31 M","-103,18 M","-141,70 M","-102,15 M","-109,45 M","-94,33 M","-68,02 M","-58,28 M","-44,77 M","-44,60 M","-29,01 M","-23,71 M","-25,04 M","-23,32 M"
EBIT,"-16,43 M","-87,52 M","-12,68 M","-5,13 M","-5,83 M","4,67 M","-47,64 M","-1,49 B","-54,93 M","-9,94 M","12,22 M","-2,00 M","-19,00 M","-26,09 M","-17,43 M","-16,45 M","-24,40 M","-10,57 M","-9,21 M","-15,10 M","6,56 M","3,23 M","904,00 Mil","3,09 M","-1,42 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-43,16 M","-67,39 M","-64,09 M","-53,10 M","-37,51 M","-28,30 M","-46,20 M","-45,59 M","-34,92 M","-97,82 M","-63,62 M","-50,14 M","-60,52 M","-45,30 M","-54,48 M","-44,40 M","-34,85 M","-12,61 M","5,89 M","271,00 Mil","-2,62 M","1,54 M","-1,17 M","-6,27 M","-6,46 M"
Antes dos impostos,"-59,59 M","-154,91 M","-76,77 M","-58,23 M","-43,34 M","-23,63 M","-93,84 M","-1,53 B","-89,86 M","-107,76 M","-51,41 M","-52,14 M","-79,51 M","-71,39 M","-71,91 M","-60,85 M","-59,25 M","-23,18 M","-3,32 M","-14,83 M","3,94 M","4,78 M","-265,00 Mil","-3,17 M","-7,88 M"
Imposto,"46,00 Mil","-1,43 M","-2,59 M","-3,19 M","-1,44 M","-7,99 M","418,00 Mil","-2,83 M","-488,00 Mil","-2,41 M","-1,00 M","-231,00 Mil","-407,00 Mil","-81,00 Mil","-955,00 Mil","-142,00 Mil","-355,00 Mil","-1,28 M","-484,00 Mil","166,00 Mil","-75,00 Mil",0,0,0,0
Op. continuadas,"-59,55 M","-156,34 M","-79,36 M","-61,42 M","-44,78 M","-31,62 M","-93,42 M","-1,54 B","-90,35 M","-110,17 M","-52,41 M","-52,38 M","-79,92 M","-71,48 M","-72,87 M","-60,99 M","-59,60 M","-24,46 M","-3,81 M","-14,66 M","3,87 M","4,78 M","-265,00 Mil","-3,17 M","-7,88 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-59,55 M","-156,34 M","-79,36 M","-61,42 M","-44,78 M","-31,62 M","-93,42 M","-1,54 B","-90,35 M","-110,17 M","-52,41 M","-52,38 M","-79,92 M","-71,48 M","-72,87 M","-60,99 M","-59,60 M","-24,46 M","-3,81 M","-14,66 M","3,87 M","4,78 M","-265,00 Mil","-3,17 M","-7,88 M"
Dos controladores,0,0,0,0,0,0,0,0,0,"184,70 M","-52,41 M",0,0,"193,46 M","-72,87 M",0,0,"14,61 M","-3,81 M","-14,66 M","3,87 M","4,78 M","-265,00 Mil","-3,17 M","-7,88 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
