Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016
Receita líquida,"2,10 B","1,95 B","1,82 B","1,79 B","1,68 B","1,54 B","1,42 B","1,36 B","1,26 B","1,13 B","1,09 B","1,04 B","981,94 M","853,06 M","766,29 M","689,10 M","621,99 M","546,44 M","445,43 M","343,24 M","371,74 M","385,85 M","200,33 M","67,36 M","602,71 M","578,56 M","488,45 M","473,80 M","443,14 M","379,07 M","302,57 M","257,95 M","220,44 M","201,56 M","186,70 M","183,88 M","173,43 M","167,77 M","162,83 M","156,11 M","154,49 M"
Custos,"-1,17 B","-1,13 B","-1,06 B","-1,02 B","-961,05 M","-894,10 M","-834,58 M","-802,16 M","-736,57 M","-675,97 M","-652,44 M","-625,72 M","-579,73 M","-552,10 M","-517,29 M","-491,76 M","-457,26 M","-460,71 M","-411,15 M","-362,36 M","-358,79 M","-368,42 M","-280,14 M","-256,45 M","-361,61 M","-351,37 M","-311,57 M","-305,51 M","-281,53 M","-261,19 M","-208,77 M","-180,14 M","-157,28 M","-139,81 M","-138,27 M","-132,21 M","-119,57 M","-111,36 M","-109,42 M","-111,70 M","-109,12 M"
Lucro bruto,"931,12 M","822,41 M","763,04 M","774,38 M","717,12 M","646,50 M","587,55 M","555,52 M","523,32 M","455,21 M","436,75 M","416,72 M","402,21 M","300,96 M","249,00 M","197,34 M","164,72 M","85,73 M","34,27 M","-19,12 M","12,95 M","17,43 M","-79,81 M","-189,09 M","241,09 M","227,19 M","176,88 M","168,29 M","161,61 M","117,88 M","93,80 M","77,81 M","63,15 M","61,76 M","48,43 M","51,67 M","53,85 M","56,41 M","53,41 M","44,41 M","45,37 M"
Despesas operacionais,"-431,02 M","-365,64 M","-332,01 M","-344,84 M","-336,62 M","-290,44 M","-266,94 M","-246,38 M","-245,52 M","-236,55 M","-223,52 M","-12,16 M","-193,78 M","-159,60 M","-157,33 M","-154,40 M","-175,27 M","-151,01 M","-122,18 M","-92,51 M","-107,69 M","-120,10 M","-73,39 M","-76,19 M","-113,64 M","-390,99 M","-94,75 M","-82,47 M","-75,54 M","134,47 M","-74,04 M","132,05 M","-39,92 M","-40,88 M","-37,85 M","-47,40 M","-30,58 M","-47,56 M","-32,20 M","-15,58 M","-38,92 M"
Despesas com vendas,"-188,44 M","-154,95 M","-136,54 M","-145,41 M","-149,55 M","-126,19 M","-114,99 M","-107,54 M","-102,24 M","-97,59 M","-86,91 M","-79,11 M","-81,17 M","-73,83 M","-66,33 M","-75,50 M","-76,69 M","-62,01 M","-46,16 M","-32,76 M","-45,20 M","-40,47 M","-22,26 M","-20,54 M","-49,60 M","-45,22 M","-39,19 M","-35,23 M","-33,77 M","-26,77 M","-20,90 M","-16,05 M","-17,75 M","-14,32 M","-17,65 M","-18,70 M","-14,10 M","-9,75 M","-10,84 M","-6,74 M","-12,47 M"
Despesas administrativas,"-235,50 M","-216,34 M","-197,84 M","-187,15 M","-180,25 M","-160,62 M","-146,64 M","-136,02 M","-132,04 M","-134,10 M","-127,19 M","-108,31 M","-98,76 M","-90,03 M","-85,66 M","-84,25 M","-88,06 M","-88,47 M","-77,67 M","-54,94 M","-54,74 M","-51,77 M","-47,03 M","-51,64 M","-63,15 M","-320,88 M","-55,87 M","-46,01 M","-37,62 M","-50,33 M","-44,40 M","-27,68 M","-27,08 M","-30,87 M","-23,27 M","-25,92 M","-20,20 M","-30,43 M","-20,01 M","-14,77 M","-14,34 M"
EBIT,"500,10 M","456,78 M","431,03 M","429,54 M","380,50 M","356,06 M","320,61 M","309,15 M","277,79 M","218,66 M","213,23 M","404,56 M","208,43 M","141,36 M","91,67 M","42,94 M","-10,55 M","-65,27 M","-87,90 M","-111,63 M","-94,74 M","-102,67 M","-153,21 M","-265,27 M","127,45 M","-163,80 M","82,12 M","85,82 M","86,07 M","252,35 M","19,75 M","209,86 M","23,23 M","20,88 M","10,58 M","4,27 M","23,28 M","8,85 M","21,21 M","28,83 M","6,45 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-285,95 M","-265,33 M","-238,51 M","-224,21 M","-225,36 M","-215,06 M","-193,24 M","-197,74 M","-161,24 M","-133,51 M","-126,58 M","-109,80 M","-103,39 M","-94,34 M","-76,94 M","-99,21 M","-77,25 M","-80,39 M","-70,34 M","-74,51 M","-70,01 M","-78,31 M","-49,20 M","-27,12 M","-106,72 M","-105,89 M","-100,80 M","-97,28 M","-84,82 M","-27,67 M","-39,23 M","-33,04 M","-21,09 M","-18,33 M","-10,90 M","-15,50 M","-19,14 M","-14,90 M","-20,74 M","-19,58 M","-18,35 M"
Antes dos impostos,"214,15 M","191,45 M","192,51 M","205,33 M","155,14 M","141,00 M","127,37 M","111,41 M","116,56 M","85,14 M","86,64 M","294,76 M","105,04 M","47,02 M","14,73 M","-56,27 M","-87,80 M","-145,66 M","-158,24 M","-186,14 M","-164,75 M","-180,99 M","-202,41 M","-292,39 M","20,73 M","-269,68 M","-18,68 M","-11,47 M","1,25 M","224,69 M","-19,48 M","176,83 M","2,14 M","2,55 M","-319,00 Mil","-11,23 M","4,14 M","-6,05 M","473,00 Mil","9,25 M","-11,90 M"
Imposto,"-41,98 M","22,98 M","-48,25 M","-44,44 M","-34,19 M","24,07 M","-40,75 M","-17,01 M","-22,07 M","551,46 M","-25,07 M","-32,70 M","-21,10 M","4,36 M","-5,73 M","352,00 Mil","-2,72 M","11,36 M","1,04 M","10,93 M","-1,56 M","51,06 M","6,07 M","20,22 M","-26,73 M","-8,51 M","-8,18 M","-21,75 M","-2,25 M","-8,30 M","-5,42 M","-8,82 M","-4,67 M","-2,70 M","4,88 M","-3,85 M","-5,06 M","-2,04 M","-3,49 M","-4,96 M","-2,85 M"
Op. continuadas,"172,18 M","214,43 M","144,27 M","160,89 M","120,95 M","165,07 M","86,62 M","94,40 M","94,49 M","636,60 M","61,57 M","262,06 M","83,94 M","51,38 M","9,00 M","-55,92 M","-90,52 M","-134,30 M","-157,20 M","-175,21 M","-166,31 M","-129,92 M","-196,34 M","-272,17 M","-6,00 M","-278,19 M","-26,86 M","-33,22 M","-1,00 M","216,38 M","-24,90 M","168,01 M","-2,53 M","-146,00 Mil","4,56 M","-15,08 M","-923,00 Mil","-8,10 M","-3,02 M","4,29 M","-14,75 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"172,18 M","214,43 M","144,27 M","160,89 M","120,95 M","165,07 M","86,62 M","94,40 M","94,49 M","636,60 M","61,57 M","262,06 M","83,94 M","51,38 M","9,00 M","-55,92 M","-90,52 M","-134,30 M","-157,20 M","-175,21 M","-166,31 M","-129,92 M","-196,34 M","-272,17 M","-6,00 M","-278,19 M","-26,86 M","-33,22 M","-1,00 M","216,38 M","-24,90 M","168,01 M","-2,53 M","-146,00 Mil","4,56 M","-15,08 M","-923,00 Mil","-8,10 M","-3,02 M","4,29 M","-14,75 M"
Dos controladores,"172,03 M","214,28 M","144,10 M","159,79 M","120,52 M","164,40 M","85,75 M","93,07 M","93,22 M","633,42 M","60,28 M","260,17 M","82,68 M","49,32 M","7,83 M","-55,69 M","-90,90 M","-137,36 M","-156,83 M","-174,77 M","-165,63 M","-129,57 M","-194,72 M","-264,60 M","-9,69 M","-284,89 M","-28,09 M","-33,58 M","-1,43 M","215,66 M","-26,09 M","165,55 M","-3,60 M","-1,10 M","3,94 M","-15,54 M","-2,13 M","-10,87 M","-3,09 M","4,68 M","-12,94 M"
