Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"313,62 M","298,38 M","298,13 M","349,35 M",0,0,0,0,"357,23 M","332,18 M","318,73 M","383,73 M","360,19 M","360,02 M","314,70 M","334,04 M","344,67 M","404,56 M","289,43 M","308,16 M","293,38 M","396,84 M","311,04 M","449,91 M","316,88 M","340,30 M","346,53 M","378,77 M","338,51 M","355,75 M","315,34 M","309,26 M","345,43 M","338,22 M","393,39 M","376,31 M","329,92 M","344,11 M","337,67 M","321,61 M","323,34 M","305,22 M","295,64 M",0,0,0,0,"354,25 M","340,57 M","313,50 M","286,62 M","275,35 M","269,16 M","270,96 M","277,64 M","285,40 M","256,66 M","241,80 M","222,53 M","237,01 M","225,79 M","220,76 M","209,05 M","206,71 M"
Custos,"-217,00 M","-231,47 M","-177,80 M","-170,41 M",0,0,0,0,"-254,35 M","-243,58 M","-177,04 M","-179,52 M","-199,69 M","-241,78 M","-198,57 M","-168,90 M","-341,33 M","-393,37 M","-208,05 M","-178,14 M","562,95 M","-243,07 M","-181,42 M","-181,58 M","-245,61 M","-237,11 M","-179,60 M","-190,93 M","-155,03 M","-303,00 M","-181,16 M","-133,38 M","-322,92 M","-343,65 M","-195,26 M","-128,94 M","-160,65 M","-165,55 M","-155,29 M","-139,52 M","-143,75 M","-144,87 M","-208,79 M",0,0,0,0,"-129,50 M","-115,70 M","-97,32 M","-112,36 M","-127,48 M","-159,94 M","-118,17 M","-109,75 M","-109,49 M","-109,79 M","-107,68 M","-104,20 M","-103,52 M","-112,92 M","-103,88 M","-109,64 M","-108,56 M"
Lucro bruto,"96,62 M","66,91 M","120,33 M","178,94 M",0,0,0,0,"102,88 M","88,59 M","141,68 M","204,21 M","160,50 M","118,23 M","116,12 M","165,13 M","3,34 M","11,19 M","81,38 M","130,02 M","856,33 M","153,77 M","129,62 M","268,33 M","71,27 M","103,19 M","166,93 M","187,84 M","183,48 M","52,76 M","134,19 M","175,89 M","22,51 M","-5,42 M","198,13 M","247,37 M","169,27 M","178,56 M","182,38 M","182,09 M","179,59 M","160,35 M","86,85 M",0,0,0,0,"224,74 M","224,87 M","216,17 M","174,25 M","147,87 M","109,22 M","152,79 M","167,89 M","175,91 M","146,87 M","134,12 M","118,33 M","133,49 M","112,87 M","116,88 M","99,40 M","98,15 M"
Despesas operacionais,"-33,40 M","-13,37 M","-12,54 M","-13,70 M",0,0,0,0,"-15,17 M","-8,01 M","-13,38 M","-6,13 M","-46,32 M","-10,76 M","-12,23 M","-10,74 M","17,96 M","-11,70 M","-12,64 M","-13,47 M","24,67 M","-16,13 M","-8,13 M","-15,46 M","-22,60 M","-15,58 M","-12,84 M","-13,89 M","-19,40 M","-14,94 M","-9,07 M","-13,03 M","-2,51 M","-13,96 M","-24,31 M","-25,85 M","-5,16 M","-23,41 M","-18,65 M","-19,85 M","-37,33 M","-19,64 M","-16,80 M",0,0,0,0,"-14,91 M","-23,04 M","-15,80 M","-16,18 M","-11,93 M","-17,20 M","-17,75 M","-10,58 M","-15,16 M","-17,08 M","-21,09 M","-11,89 M","-16,92 M","-15,43 M","-15,11 M","-12,74 M","-19,57 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-33,40 M","-13,37 M","-12,54 M","-13,70 M","141,41 M","-5,67 M","-12,33 M","-457,00 Mil","-15,17 M","-8,01 M","-13,38 M","-6,13 M","-46,32 M","-10,76 M","-12,23 M","-10,74 M","-15,40 M","-11,70 M","-12,64 M","-11,05 M","-18,82 M","-16,13 M","-8,13 M","-13,11 M","-22,60 M","-15,58 M","-12,84 M","-12,95 M","-12,49 M","-14,94 M","-9,07 M","-10,37 M","1,84 M","-13,96 M","-24,31 M","-21,66 M","-7,60 M","-23,41 M","-18,65 M","-18,18 M","-1,73 M","-19,64 M","-16,80 M","-14,31 M","-12,57 M","-12,53 M","-15,23 M","-13,71 M","-12,92 M","-15,80 M","-16,18 M","-10,80 M","-6,79 M","-17,75 M","-10,58 M","-13,86 M","-12,71 M","-18,67 M","-11,89 M","-15,31 M","-12,91 M","-12,59 M","-11,64 M","-16,46 M"
EBIT,"63,22 M","53,54 M","107,78 M","165,24 M",0,0,0,0,"87,71 M","80,58 M","128,31 M","198,07 M","114,18 M","107,47 M","103,89 M","154,39 M","21,30 M","-514,00 Mil","68,73 M","116,55 M","881,00 M","137,64 M","121,49 M","252,87 M","48,67 M","87,61 M","154,09 M","173,95 M","164,08 M","37,81 M","125,12 M","162,86 M","20,00 M","-19,39 M","173,82 M","221,52 M","164,11 M","155,16 M","163,73 M","162,24 M","142,26 M","140,71 M","70,05 M",0,0,0,0,"209,83 M","201,84 M","200,38 M","158,07 M","135,94 M","92,02 M","135,05 M","157,31 M","160,76 M","129,79 M","113,03 M","106,44 M","116,58 M","97,44 M","101,76 M","86,66 M","78,58 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-41,85 M","-4,59 M","-9,62 M","-17,36 M",0,0,0,0,"-7,50 M","7,17 M","-9,27 M","-28,40 M","-17,50 M","-22,98 M","-63,93 M","-49,92 M","-46,03 M","-18,25 M","-62,54 M","-109,76 M","-197,76 M","-120,81 M","-28,61 M","-41,27 M","-42,74 M","-7,51 M","-41,02 M","-39,57 M","-12,27 M","-47,90 M","-51,62 M","-34,09 M","-26,90 M","-13,05 M","-9,25 M","-28,06 M","-23,36 M","-29,37 M","-40,74 M","-53,96 M","-44,90 M","-44,08 M","-44,81 M",0,0,0,0,"-25,75 M","-24,52 M","-25,61 M","-23,33 M","-27,66 M","-23,06 M","-36,46 M","-27,47 M","-16,43 M","-21,42 M","-18,46 M","-22,45 M","-30,24 M","-30,95 M","-16,70 M","-26,61 M","-28,51 M"
Antes dos impostos,"21,36 M","48,94 M","98,17 M","147,88 M",0,0,0,0,"80,22 M","87,76 M","119,04 M","169,67 M","96,68 M","84,50 M","39,96 M","104,47 M","-24,73 M","-18,76 M","6,20 M","6,79 M","683,23 M","16,83 M","92,88 M","211,60 M","5,94 M","80,11 M","113,08 M","134,38 M","151,81 M","-10,08 M","73,50 M","128,77 M","-6,91 M","-32,43 M","164,57 M","193,46 M","140,75 M","125,79 M","122,99 M","108,28 M","97,36 M","96,63 M","25,24 M",0,0,0,0,"184,09 M","177,31 M","174,76 M","134,74 M","108,28 M","68,97 M","98,59 M","129,84 M","144,33 M","108,38 M","94,57 M","84,00 M","86,33 M","66,48 M","85,06 M","60,05 M","50,07 M"
