Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"738,33 M","1,08 B","814,41 M","783,82 M","608,29 M","672,42 M","718,89 M","697,55 M","500,53 M","639,62 M","556,73 M","485,50 M","390,17 M","436,34 M","400,41 M","339,38 M","316,07 M","298,21 M","327,96 M","332,83 M","312,26 M","275,09 M","230,33 M","198,05 M","197,49 M","221,64 M","158,53 M","167,31 M","170,72 M"
Custos,"-536,99 M","-765,93 M","-566,29 M","-520,76 M","-408,60 M","-450,16 M","-480,87 M","-467,93 M","-334,06 M","-429,54 M","-378,30 M","-311,38 M","-249,48 M","-299,54 M","-283,42 M","-250,86 M","-228,46 M","-210,72 M","-224,82 M","-232,39 M","-206,56 M","-174,19 M","-146,70 M","-125,97 M","-122,47 M","-133,44 M","-102,37 M","-115,95 M","-111,38 M"
Lucro bruto,"201,34 M","309,26 M","248,13 M","263,06 M","199,69 M","222,26 M","238,03 M","229,62 M","166,47 M","210,08 M","178,43 M","174,12 M","140,69 M","136,81 M","116,99 M","88,52 M","87,60 M","87,48 M","103,14 M","100,45 M","105,70 M","100,90 M","83,63 M","72,07 M","75,02 M","88,19 M","56,16 M","51,35 M","59,35 M"
Despesas operacionais,"-131,61 M","-139,04 M","-129,81 M","-132,55 M","-103,69 M","-105,21 M","-83,34 M","-110,86 M","-109,24 M","-110,25 M","-88,75 M","-91,77 M","-92,02 M","-71,74 M","-73,82 M","-63,72 M","-58,77 M","-55,26 M","-54,94 M","-72,55 M","-50,26 M","-52,55 M","-43,40 M","-34,93 M","-50,23 M","-46,80 M","-30,38 M","-31,57 M","-29,59 M"
Despesas com vendas,0,"207,13 M","-84,50 M","-68,81 M",0,"187,38 M","-71,83 M","-60,80 M",0,"166,43 M","-58,59 M","-58,47 M",0,"118,26 M","-44,86 M","-39,92 M",0,"117,51 M","-38,02 M",0,0,"84,84 M","-30,48 M",0,0,"56,05 M","-19,22 M","-19,48 M",0
Despesas administrativas,"-46,07 M","-47,02 M","-45,23 M","-50,64 M","-41,84 M","-41,32 M","-38,18 M","-38,34 M","-36,11 M","-33,18 M","-29,21 M","-28,14 M","-27,59 M","-22,11 M","-24,76 M","-21,10 M","-21,15 M","-21,74 M","-16,39 M","-25,74 M","-15,72 M","-20,37 M","-10,09 M","-12,51 M","-16,25 M","-15,03 M","-11,79 M","-11,73 M","-13,43 M"
EBIT,"69,73 M","170,21 M","118,32 M","130,50 M","95,99 M","117,05 M","154,69 M","118,76 M","57,23 M","99,83 M","89,68 M","82,36 M","48,66 M","65,06 M","43,17 M","24,81 M","28,83 M","32,22 M","48,20 M","27,90 M","55,44 M","48,35 M","40,23 M","37,14 M","24,79 M","41,39 M","25,77 M","19,78 M","29,75 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-4,66 M","-1,29 M","-459,00 Mil","-6,00 M","1,69 M","1,76 M","-6,50 M","-465,00 Mil","3,82 M","-289,00 Mil","724,00 Mil","-1,31 M","4,88 M","640,00 Mil","1,24 M","1,45 M","1,12 M","1,91 M","-1,39 M","-2,98 M","597,00 Mil","8,09 M","-1,97 M","-5,03 M","584,00 Mil","-1,01 M","282,00 Mil","176,00 Mil","882,00 Mil"
Antes dos impostos,"65,07 M","168,92 M","117,86 M","124,50 M","97,68 M","118,81 M","148,18 M","118,30 M","61,05 M","99,54 M","90,40 M","81,05 M","53,55 M","65,70 M","44,41 M","26,25 M","29,95 M","34,13 M","46,81 M","24,92 M","56,04 M","56,44 M","38,26 M","32,11 M","25,38 M","40,38 M","26,05 M","19,96 M","30,63 M"
Imposto,"-20,94 M","-25,09 M","-22,64 M","-21,68 M","-16,85 M","-15,32 M","-14,69 M","-14,39 M","-11,37 M","-13,83 M","-12,71 M","-10,80 M","-10,29 M","-9,03 M","-9,88 M","-6,92 M","-7,93 M","-6,71 M","-6,74 M","-7,32 M","-6,03 M","-6,99 M","-4,86 M","-3,16 M","-4,98 M","-5,17 M","-2,67 M","-3,00 M","-3,95 M"
Op. continuadas,"44,13 M","143,84 M","95,22 M","102,82 M","80,83 M","103,49 M","133,49 M","103,90 M","49,68 M","85,72 M","77,70 M","70,25 M","43,26 M","56,67 M","34,53 M","19,33 M","22,02 M","27,42 M","40,06 M","17,60 M","50,01 M","49,46 M","33,40 M","28,95 M","20,40 M","35,21 M","23,39 M","16,95 M","26,68 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"44,13 M","143,84 M","95,22 M","102,82 M","80,83 M","103,49 M","133,49 M","103,90 M","49,68 M","85,72 M","77,70 M","70,25 M","43,26 M","56,67 M","34,53 M","19,33 M","22,02 M","27,42 M","40,06 M","17,60 M","50,01 M","49,46 M","33,40 M","28,95 M","20,40 M","35,21 M","23,39 M","16,95 M","26,68 M"
