Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"4,21 B","4,37 B","4,99 B","3,56 B","3,50 B","3,85 B","3,50 B","2,80 B","2,68 B","3,03 B","2,40 B","1,76 B","1,80 B","2,16 B","1,96 B","1,50 B","1,27 B","1,64 B","1,73 B","1,21 B","769,27 M","1,00 B","853,63 M","791,26 M","466,44 M"
Custos,"-3,56 B","-3,66 B","-4,45 B","-2,84 B","-2,99 B","-3,17 B","-2,87 B","-2,08 B","-2,18 B","-2,60 B","-2,03 B","-1,58 B","-1,54 B","-1,77 B","-1,72 B","-1,24 B","-1,12 B","-1,44 B","-1,52 B","-1,02 B","-662,03 M","-823,20 M","-702,89 M","-672,35 M","-413,82 M"
Lucro bruto,"651,07 M","704,26 M","545,08 M","723,70 M","511,33 M","683,97 M","630,55 M","716,20 M","500,78 M","426,73 M","374,87 M","184,25 M","260,16 M","390,78 M","241,23 M","253,09 M","158,19 M","195,27 M","213,00 M","185,54 M","107,25 M","177,91 M","150,73 M","118,92 M","52,62 M"
Despesas operacionais,"-548,46 M","-606,88 M","-541,33 M","-422,78 M","-374,40 M","-344,39 M","-289,35 M","-337,59 M","-314,88 M","-298,27 M","-213,15 M","-143,41 M","-149,49 M","-152,44 M","-142,22 M","-99,30 M","-111,69 M","-119,43 M","-100,73 M","-70,03 M","-57,27 M","-30,12 M","-62,12 M","-47,35 M","-33,11 M"
Despesas com vendas,"-496,44 M","-571,59 M","-478,61 M","-383,03 M","-352,10 M","-311,67 M","-269,86 M","-298,72 M","-303,02 M","-290,67 M","-202,42 M","-132,63 M","-139,03 M","-141,44 M","-128,29 M","-94,35 M","-98,01 M","-114,54 M","-92,03 M","-64,49 M","-48,91 M","-34,77 M","-63,63 M","-42,53 M","-37,23 M"
Despesas administrativas,"-44,20 M","-41,81 M","-40,83 M","-31,30 M","-23,21 M","-41,25 M","-24,64 M","-21,97 M","-18,96 M","-20,18 M","-19,07 M","-16,47 M","-16,10 M","-22,29 M","-16,25 M","-12,38 M","-17,46 M","-15,78 M","-17,76 M","-11,49 M","-10,68 M","-9,55 M","-3,55 M","-3,07 M","-3,59 M"
EBIT,"102,61 M","97,39 M","3,75 M","300,92 M","136,94 M","339,58 M","341,20 M","378,61 M","185,90 M","128,46 M","161,73 M","40,84 M","110,66 M","238,34 M","99,02 M","153,79 M","46,50 M","75,84 M","112,27 M","115,51 M","49,97 M","147,78 M","88,62 M","71,56 M","19,51 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-10,40 M","-13,99 M","249,21 M","150,23 M","111,58 M","-186,45 M","113,35 M","-162,10 M","-9,06 M","32,76 M","-46,41 M","17,13 M","-16,45 M","-12,07 M","2,58 M","6,40 M","5,76 M","22,17 M","-15,31 M","24,47 M","-5,08 M","-27,04 M","10,33 M","-34,43 M","-20,89 M"
Antes dos impostos,"92,22 M","83,40 M","252,95 M","451,15 M","248,52 M","153,12 M","454,55 M","216,51 M","176,84 M","161,22 M","115,32 M","57,97 M","94,21 M","226,27 M","101,60 M","160,19 M","52,26 M","98,01 M","96,97 M","139,98 M","44,89 M","120,75 M","98,95 M","37,13 M","-1,38 M"
Imposto,"-7,04 M","-1,01 M","-49,91 M","-120,30 M","-56,10 M","-17,22 M","-136,18 M","-70,86 M","-20,40 M","14,42 M","102,55 M","18,98 M","9,13 M","-2,26 M","67,56 M","-38,97 M","4,52 M","69,05 M","970,00 Mil","-25,70 M","6,15 M","-9,29 M","-2,33 M","-2,04 M","4,49 M"
Op. continuadas,"85,17 M","82,39 M","203,04 M","330,85 M","192,42 M","135,91 M","318,38 M","145,64 M","156,44 M","175,65 M","217,87 M","76,95 M","103,34 M","224,01 M","169,16 M","121,22 M","56,78 M","167,06 M","97,94 M","114,28 M","51,04 M","111,45 M","96,61 M","35,09 M","3,10 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"85,17 M","82,39 M","203,04 M","330,85 M","192,42 M","135,91 M","318,38 M","145,64 M","156,44 M","175,65 M","217,87 M","76,95 M","103,34 M","224,01 M","169,16 M","121,22 M","56,78 M","167,06 M","97,94 M","114,28 M","51,04 M","111,45 M","96,61 M","35,09 M","3,10 M"
Dos controladores,"89,12 M","88,26 M","203,52 M","331,56 M","192,33 M","136,19 M","318,73 M","146,28 M","157,42 M","173,21 M","219,14 M","78,36 M","104,57 M","224,28 M","169,15 M","121,22 M","56,78 M",0,0,0,--,--,--,--,--
Dos não controladores,"-3,94 M","-5,87 M","-477,00 Mil","-708,00 Mil","86,00 Mil","-279,00 Mil","-359,00 Mil","-634,00 Mil","-986,00 Mil","2,44 M","-1,28 M","-1,41 M","-1,23 M","-271,00 Mil","8,00 Mil",0,0,0,0,0,--,--,--,--,--
