Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018
Receita líquida,"362,78 M","381,46 M","387,40 M","370,78 M","348,89 M","364,12 M","349,35 M","335,95 M","320,61 M","347,30 M","330,09 M","313,69 M","302,85 M","302,46 M","303,08 M","282,50 M","248,78 M","245,87 M","209,14 M","184,29 M","160,92 M","140,15 M","126,23 M","117,30 M","104,53 M","105,17 M","101,93 M","94,03 M","84,59 M","83,62 M","79,07 M","77,63 M","74,66 M"
Custos,"-187,25 M","-184,46 M","-204,99 M","-193,58 M","-186,40 M","-196,14 M","-174,88 M","-175,92 M","-168,08 M","-181,53 M","-185,08 M","-168,98 M","-159,26 M","-168,46 M","-164,71 M","-151,12 M","-139,92 M","-137,84 M","-108,19 M","-97,99 M","-91,66 M","-79,67 M","-71,28 M","-69,46 M","-62,48 M","-59,71 M","-59,09 M","-56,89 M","-48,71 M","-45,42 M","-46,03 M","-43,29 M","-39,74 M"
Lucro bruto,"175,53 M","197,00 M","182,41 M","177,19 M","162,49 M","167,98 M","174,46 M","160,03 M","152,53 M","165,78 M","145,01 M","144,72 M","143,59 M","134,00 M","138,37 M","131,39 M","108,86 M","108,03 M","100,94 M","86,30 M","69,26 M","60,48 M","54,94 M","47,84 M","42,06 M","45,47 M","42,84 M","37,14 M","35,88 M","38,20 M","33,03 M","34,34 M","34,92 M"
Despesas operacionais,"-125,80 M","-142,10 M","-581,21 M","-141,95 M","-130,55 M","-137,97 M","-140,03 M","-134,28 M","-128,93 M","-133,40 M","-130,25 M","-125,44 M","-122,37 M","-116,69 M","-134,86 M","-110,26 M","-103,86 M","-113,67 M","-98,43 M","-72,95 M","-70,95 M","-49,23 M","-37,70 M","-33,37 M","-40,84 M","-31,14 M","-25,83 M","-25,87 M","-25,54 M","-26,27 M","-24,16 M","-30,46 M","-23,25 M"
Despesas com vendas,"-65,96 M","-66,69 M","-80,38 M","-73,05 M","-65,43 M","-68,83 M","-74,44 M","-73,51 M","-67,07 M","-66,18 M","-67,03 M","-67,12 M","-63,33 M","-65,34 M","-64,48 M","-61,77 M","-56,65 M","-52,35 M","-42,89 M","-31,46 M","-25,75 M","-24,17 M","-20,39 M","-18,63 M","-15,37 M","-16,60 M","-18,42 M","-18,32 M","-16,89 M","-16,74 M","-14,99 M","-17,11 M","-13,49 M"
Despesas administrativas,"-55,81 M","-71,78 M","-76,35 M","-65,94 M","-62,32 M","-69,65 M","-64,72 M","-63,18 M","-59,90 M","-68,00 M","-61,99 M","-64,66 M","-57,95 M","-51,59 M","-60,56 M","-56,23 M","-47,55 M","-59,98 M","-52,99 M","-38,74 M","-44,27 M","-25,21 M","-17,68 M","-14,89 M","-22,11 M","-14,96 M","-11,19 M","-9,34 M","-8,86 M","-9,72 M","-9,39 M","-12,19 M","-10,01 M"
EBIT,"49,73 M","54,90 M","-398,80 M","35,24 M","31,95 M","30,01 M","34,43 M","25,76 M","23,61 M","32,38 M","14,76 M","19,28 M","21,22 M","17,31 M","3,52 M","21,13 M","4,99 M","-5,64 M","2,52 M","13,35 M","-1,69 M","11,25 M","17,25 M","14,47 M","1,21 M","14,33 M","17,00 M","11,27 M","10,34 M","11,93 M","8,87 M","3,88 M","11,67 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-8,98 M","-6,78 M","-4,54 M","-8,14 M","-8,24 M","-45,40 M","-8,53 M","-4,21 M","9,25 M","-111,60 M","-4,24 M","-74,14 M","-6,13 M","-881,00 Mil","1,64 M","2,54 M","11,26 M","4,82 M","4,20 M","-862,00 Mil","-4,12 M","-5,26 M","-3,47 M","-3,89 M","-1,85 M","-7,38 M","-8,64 M","-5,61 M","-7,05 M","-5,13 M","-2,72 M","-2,42 M","-5,97 M"
Antes dos impostos,"40,75 M","48,11 M","-403,34 M","27,10 M","23,70 M","-15,39 M","25,90 M","21,55 M","32,86 M","-79,22 M","10,52 M","-54,86 M","15,09 M","16,43 M","5,15 M","23,66 M","16,25 M","-826,00 Mil","6,71 M","12,48 M","-5,81 M","5,99 M","13,77 M","10,58 M","-635,00 Mil","6,95 M","8,37 M","5,67 M","3,29 M","6,80 M","6,15 M","1,46 M","5,70 M"
Imposto,"-19,24 M","-16,35 M","115,51 M","-11,29 M","-8,89 M","-2,10 M","-9,01 M","-3,22 M","-8,39 M","34,13 M","-6,65 M","15,89 M","-7,86 M","1,75 M","-12,41 M","-10,41 M","-11,72 M","-6,39 M","-10,45 M","-8,91 M","-2,57 M","2,97 M","-5,96 M","-5,34 M","-1,64 M","-14,00 Mil","-2,39 M","-1,94 M","-1,86 M","-1,46 M","-3,77 M","-771,00 Mil","-3,22 M"
Op. continuadas,"21,52 M","31,76 M","-287,83 M","15,81 M","14,81 M","-17,49 M","16,89 M","18,32 M","24,47 M","-45,09 M","3,87 M","-38,97 M","7,23 M","18,18 M","-7,26 M","13,26 M","4,53 M","-7,21 M","-3,74 M","3,58 M","-8,38 M","8,96 M","7,81 M","5,24 M","-2,27 M","6,94 M","5,98 M","3,73 M","1,43 M","5,34 M","2,38 M","688,00 Mil","2,47 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
