Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,4T2016
Ativo total,"72,99 B","72,29 B","74,47 B","74,35 B","74,22 B","73,50 B","73,87 B","74,20 B","72,78 B","73,21 B","72,89 B","73,35 B","72,05 B","71,86 B","71,13 B","71,95 B","72,66 B","21,36 B","17,40 B","17,31 B","13,79 B","13,52 B","13,15 B","13,25 B","12,80 B","12,43 B","10,90 B","6,09 B","5,98 B","4,88 B","4,93 B","5,03 B","2,69 B","2,34 B","1,93 B"
Ativo circulante,"11,21 B","10,54 B","12,32 B","12,26 B","12,13 B","11,07 B","9,67 B","10,10 B","9,13 B","9,14 B","7,85 B","8,38 B","7,30 B","7,60 B","6,95 B","7,17 B","7,80 B","3,32 B","3,71 B","3,75 B","3,69 B","3,50 B","3,43 B","3,28 B","2,75 B","2,22 B","1,93 B","1,93 B","1,23 B","1,28 B","1,39 B","1,41 B","1,49 B","1,24 B","944,75 M"
Caixa e eq. de caixa,"919,13 M","875,44 M","670,75 M","610,21 M","495,03 M","596,75 M","488,84 M","419,68 M","826,58 M","1,43 B","639,66 M","547,96 M","364,24 M","1,27 B","568,71 M","593,36 M","1,02 B","347,26 M","506,14 M","226,62 M","175,82 M","143,21 M","172,19 M","206,93 M","497,97 M","224,23 M","169,62 M","142,95 M","143,03 M","185,48 M","89,15 M","113,05 M","347,75 M","104,21 M","56,85 M"
Aplicações financeiras,"7,41 B","6,99 B","8,84 B","8,93 B","8,98 B","8,18 B","6,92 B","7,37 B","6,12 B","5,57 B","4,78 B","5,19 B","4,05 B","3,33 B","3,27 B","3,53 B","3,34 B","1,72 B","2,03 B","2,27 B","2,36 B","2,33 B","2,40 B","2,16 B","1,39 B","1,18 B","1,15 B","1,09 B","639,82 M","702,36 M","619,96 M","671,93 M","572,82 M","802,81 M","442,33 M"
Contas a receber,"496,38 M","437,93 M","563,34 M","552,84 M","524,68 M","561,94 M","690,02 M","652,40 M","658,56 M","629,43 M","896,76 M","1,08 B","1,52 B","1,62 B","1,31 B","1,31 B","1,27 B","474,30 M","424,16 M","496,60 M","487,73 M","433,43 M","314,77 M","327,34 M","358,75 M","296,99 M","146,13 M","173,71 M","167,57 M","152,75 M","443,13 M","407,41 M","363,76 M","143,05 M","296,14 M"
Estoques,"447,54 M","362,80 M","357,06 M","418,26 M","385,34 M","366,43 M","389,52 M","403,94 M","332,32 M","318,61 M","286,02 M","285,37 M","264,15 M","280,76 M","286,13 M","328,68 M","300,31 M","156,93 M","141,28 M","143,99 M","135,57 M","101,68 M","108,65 M","127,94 M","85,96 M","72,70 M","21,05 M","20,27 M","17,75 M","19,19 M","12,41 M","14,91 M","12,55 M","14,23 M","13,89 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"61,78 B","61,75 B","62,15 B","62,09 B","62,09 B","62,43 B","64,20 B","64,10 B","63,65 B","64,07 B","65,05 B","64,97 B","64,75 B","64,26 B","64,18 B","64,78 B","64,87 B","18,04 B","13,69 B","13,56 B","10,11 B","10,02 B","9,72 B","9,97 B","10,04 B","10,21 B","8,96 B","4,16 B","4,75 B","3,60 B","3,54 B","3,62 B","1,20 B","1,10 B","989,87 M"
Investimentos,"5,96 M","5,95 M","5,95 M","5,95 M","5,95 M","5,80 M","4,94 M","4,73 M","7,74 M","5,52 M","6,44 M","6,41 M","6,37 M","6,37 M","6,79 M","8,05 M","7,45 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,00 Mil"
Imobilizado,"6,50 B","6,48 B","7,13 B","7,02 B","7,09 B","7,39 B","6,61 B","6,76 B","6,50 B","6,88 B","7,03 B","6,79 B","7,34 B","7,30 B","6,79 B","6,77 B","6,70 B","3,01 B","2,60 B","2,45 B","2,28 B","2,25 B","2,20 B","2,15 B","2,11 B","1,99 B","1,38 B","1,34 B","1,26 B","414,53 M","395,67 M","361,60 M","331,19 M","290,62 M","217,35 M"
Intangível,"48,73 B","48,80 B","48,86 B","49,11 B","49,31 B","49,48 B","49,75 B","49,93 B","50,07 B","50,29 B","50,50 B","50,87 B","51,10 B","50,76 B","51,91 B","52,27 B","52,46 B","7,56 B","7,41 B","7,29 B","5,43 B","5,51 B","5,00 B","5,18 B","5,29 B","5,33 B","178,57 M","135,23 M","140,93 M","115,09 M","95,55 M","85,25 M","48,66 M","45,96 M","18,04 M"
Passivo total,"72,99 B","72,29 B","74,47 B","74,35 B","74,22 B","73,50 B","73,87 B","74,20 B","72,78 B","73,21 B","72,89 B","73,35 B","72,05 B","71,86 B","71,13 B","71,95 B","72,66 B","21,36 B","17,40 B","17,31 B","13,79 B","13,52 B","13,15 B","13,25 B","12,80 B","12,43 B","10,90 B","6,09 B","5,98 B","4,88 B","4,93 B","5,03 B","2,69 B","2,34 B","1,93 B"
Passivo circulante,"6,26 B","5,55 B","6,22 B","5,99 B","5,76 B","5,25 B","6,98 B","7,27 B","6,49 B","6,25 B","7,38 B","7,16 B","7,34 B","6,59 B","6,68 B","6,75 B","7,34 B","3,18 B","3,27 B","2,65 B","2,30 B","2,12 B","1,89 B","2,11 B","1,93 B","1,75 B","1,04 B","1,02 B","1,09 B","987,50 M","1,05 B","1,36 B","1,70 B","1,54 B","1,11 B"
Fornecedores,"429,43 M","360,30 M","312,96 M","344,65 M","351,72 M","337,28 M","298,77 M","350,64 M","340,32 M","319,64 M","408,80 M","3,13 B","447,45 M","471,07 M","352,39 M","414,68 M","372,41 M","173,44 M","177,62 M","186,79 M","182,71 M","120,83 M","116,37 M","115,92 M","112,51 M","95,03 M","40,20 M","45,30 M","62,51 M","61,38 M","58,34 M","63,51 M","61,63 M","56,14 M","43,38 M"
Empréstimos e financ.,"1,27 B","847,17 M","1,42 B","1,01 B","1,33 B","950,84 M","602,56 M","1,27 B","1,48 B","2,11 B","2,18 B","1,93 B","2,17 B","1,73 B","1,19 B","1,27 B","1,31 B","713,25 M","649,85 M","93,56 M","40,72 M","42,91 M","30,10 M","56,96 M","42,23 M","75,04 M","21,01 M",0,0,0,"4,11 M","6,10 M",0,0,0
Passivo não circulante,"18,58 B","18,49 B","19,59 B","19,79 B","19,59 B","19,57 B","18,20 B","18,17 B","17,12 B","17,28 B","16,12 B","16,70 B","15,96 B","16,33 B","15,39 B","16,30 B","16,17 B","7,60 B","3,52 B","3,99 B","3,51 B","3,57 B","3,42 B","3,43 B","3,44 B","3,42 B","3,15 B","1,13 B","1,07 B","283,32 M","319,25 M","307,89 M","313,25 M","324,15 M","316,91 M"
