Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017
Receita líquida,"1,39 B","7,89 B","7,92 B","862,76 M","1,47 B","7,41 B","7,73 B","437,10 M","1,32 B","7,38 B","7,04 B","1,08 B","1,12 B","22,27 B","819,89 M","6,36 B","-592,67 M","2,60 B","2,56 B","2,40 B","2,32 B","2,27 B","2,13 B","2,08 B","2,08 B","1,79 B","1,32 B","1,28 B","1,26 B","1,21 B","1,16 B","1,11 B","1,09 B","1,04 B","989,69 M","926,73 M","887,77 M"
Custos,"-162,85 M","-7,06 B","-6,97 B","-211,30 M","-187,15 M","-6,27 B","-6,71 B","-287,20 M","-327,75 M","-6,12 B","-6,19 B","-544,18 M","-573,03 M","-22,15 B","-472,73 M","-5,68 B","-561,43 M","-1,75 B","-1,85 B","-1,70 B","-1,52 B","-1,51 B","-1,28 B","-1,13 B","-1,28 B","-1,10 B","-818,58 M","-751,36 M","-726,41 M","-744,18 M","-728,49 M","-678,07 M","-603,92 M","-609,85 M","-591,65 M","-548,99 M","-505,71 M"
Lucro bruto,"1,23 B","839,02 M","950,97 M","651,46 M","1,28 B","1,14 B","1,02 B","149,90 M","993,70 M","1,26 B","849,65 M","534,08 M","542,14 M","125,13 M","347,17 M","680,66 M","-1,15 B","853,51 M","707,71 M","703,65 M","801,05 M","761,12 M","841,93 M","943,74 M","799,19 M","681,28 M","497,19 M","524,90 M","530,59 M","467,16 M","435,25 M","432,88 M","485,95 M","433,94 M","398,04 M","377,75 M","382,06 M"
Despesas operacionais,"-694,61 M","-549,82 M","-599,82 M","-506,21 M","-611,06 M","-834,70 M","-767,03 M","-463,31 M","-494,73 M","-485,72 M","-530,05 M","-451,84 M","-442,12 M","-461,10 M","-382,31 M","-505,55 M","-378,87 M","-698,09 M","-654,54 M","-619,62 M","-550,41 M","-587,88 M","-510,98 M","-492,58 M","-487,40 M","-416,24 M","-265,48 M","-260,20 M","-258,56 M","-247,96 M","-256,15 M","-234,14 M","-212,46 M","-213,63 M","-218,31 M","-185,78 M","-190,62 M"
Despesas com vendas,"-155,25 M","-161,18 M","-123,51 M","-157,50 M","-132,32 M","-114,04 M","-67,21 M","-82,31 M","-68,70 M","-83,85 M","-83,60 M","-60,14 M","-57,03 M","-77,13 M","-60,69 M","-63,54 M","-50,33 M","-219,10 M","-168,57 M","-193,50 M","-144,34 M","-169,31 M","-167,05 M","-179,79 M","-154,57 M","-146,53 M","-125,08 M","-129,39 M","-118,73 M","-93,47 M","-116,64 M","-111,37 M","-121,94 M","-86,13 M","-103,26 M","-95,01 M","-93,77 M"
Despesas administrativas,"-565,30 M","-473,82 M","-519,61 M","-415,17 M","-505,93 M","-685,50 M","-738,65 M","-407,21 M","-432,29 M","-444,60 M","-425,19 M","-430,90 M","-397,24 M","-478,60 M","-750,57 M","-455,76 M","-343,11 M","-475,87 M","-504,77 M","-438,12 M","-409,50 M","-422,92 M","-346,90 M","-310,32 M","-333,38 M","-269,52 M","-138,43 M","-128,85 M","-139,28 M","-145,00 M","-139,09 M","-132,24 M","-90,85 M","-127,93 M","-115,39 M","-90,38 M","-98,67 M"
EBIT,"534,30 M","289,20 M","351,14 M","145,25 M","671,02 M","302,35 M","253,07 M","-313,41 M","498,97 M","770,43 M","319,60 M","82,24 M","100,02 M","-335,97 M","-35,14 M","175,12 M","-1,53 B","155,42 M","53,17 M","84,04 M","250,64 M","173,24 M","330,95 M","451,15 M","311,80 M","265,04 M","231,71 M","264,70 M","272,03 M","219,20 M","179,10 M","198,74 M","273,49 M","220,31 M","179,73 M","191,97 M","191,45 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-457,39 M","-420,60 M","-318,23 M","-601,76 M","-349,88 M","-221,77 M","-360,26 M","-251,09 M","-375,15 M","-657,81 M","-423,71 M","-455,76 M","-279,07 M","-338,85 M","-358,98 M","-242,93 M","-205,79 M","-21,71 M","5,70 M","-4,56 M","-29,83 M","-29,96 M","-20,55 M","-27,29 M","-56,69 M","-30,27 M","50,57 M","40,62 M","35,07 M","53,73 M","59,07 M","37,26 M","21,77 M","23,78 M","25,00 M","29,81 M","32,95 M"
Antes dos impostos,"76,91 M","-131,39 M","32,91 M","-456,51 M","321,15 M","80,59 M","-107,19 M","-564,50 M","123,82 M","112,62 M","-104,11 M","-373,52 M","-179,06 M","-674,81 M","-394,12 M","-67,81 M","-1,74 B","133,72 M","58,87 M","79,48 M","220,81 M","143,28 M","310,41 M","423,86 M","255,10 M","234,77 M","282,28 M","305,32 M","307,10 M","272,93 M","238,16 M","236,00 M","295,26 M","244,09 M","204,73 M","221,77 M","224,40 M"
