Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016
P/L,"-35,81","-25,66","-45,35","-11,49","179,33","142,87","74,78","57,98",-,-
P/VP,"0,11","0,34","0,56","0,40","8,44","14,30","8,75","12,67",-,-
P/EBIT,"3,49","22,49","21,93","-11,43","164,31","88,33","61,49","52,44",-,-
P/EBIT *,"4,11","23,64","23,26","-8,66","174,29","88,71","61,21","52,44",-,-
PSR,"0,16","0,58","1,00","0,83","9,03","13,08","11,28","9,98",-,-
P/Ativos,"0,07","0,23","0,38","0,27","4,18","8,28","5,11","9,36",-,-
LPA,"-0,28","-1,29","-1,22","-3,42","0,99","1,56","1,69","1,57",-,-
VPA,"95,99","96,84","98,84","97,35","21,03","15,58","14,44","7,17",-,-
EBIT por ação,"2,90","1,47","2,53","-3,44","1,08","2,52","2,06","1,73",-,-
EBIT por ação *,"2,46","1,40","2,39","-4,54","1,02","2,51","2,07","1,73",-,-
Ativo por ação,"143,82","146,23","145,65","142,96","42,50","26,90","24,72","9,70",-,-
Receita líquida por ação,"62,82","57,53","55,61","47,37","19,66","17,02","11,21","9,10",-,-
Margem bruta,"11,79%","11,42%","11,38%","-0,00%","31,02%","39,11%","39,65%","39,80%","41,22%","38,64%"
Margem líquida,"-0,45%","-2,25%","-2,20%","-7,22%","5,06%","9,18%","15,12%","17,23%","16,91%","15,03%"
Margem EBIT,"4,61%","2,56%","4,55%","-7,26%","5,50%","14,81%","18,34%","19,02%","20,36%","15,47%"
Margem EBIT *,"3,91%","2,44%","4,29%","-9,58%","5,18%","14,75%","18,43%","19,03%","20,30%","15,50%"
Margem EBITDA,"7,37%","5,17%","6,28%","-4,39%","13,68%","23,61%","20,89%","19,95%","21,43%","16,16%"
Margem EBITDA *,"6,66%","5,04%","6,02%","-6,71%","13,37%","23,54%","20,97%","19,95%","21,37%","16,19%"
Margem operacional,"-0,74%","-1,62%","-1,95%","-12,08%","4,99%","13,24%","20,05%","22,78%","23,26%","19,28%"
ROE,"-0,29%","-1,33%","-1,24%","-3,51%","4,73%","10,03%","11,73%","21,86%","137,84%","89,40%"
ROA,"-0,00","-0,01","-0,01","-0,02","0,02","0,06","0,07","0,16","0,28","0,24"
ROIC,"2,27%","1,15%","1,93%","-2,59%","2,84%","11,60%","9,46%","22,16%","57,06%","33,75%"
ROIC *,"1,93%","1,09%","1,82%","-3,42%","2,68%","11,55%","9,50%","22,17%","56,90%","33,82%"
Giro do ativo,"0,44","0,39","0,38","0,33","0,46","0,63","0,45","0,94","1,65","1,57"
EBIT *,1.234 mi,704 mi,1.199 mi,-2.281 mi,512 mi,1.261 mi,1.038 mi,870 mi,781 mi,470 mi
EBITDA,2.326 mi,1.494 mi,1.755 mi,-1.045 mi,1.352 mi,2.019 mi,1.176 mi,912 mi,824 mi,490 mi
EBITDA *,2.104 mi,1.457 mi,1.682 mi,-1.597 mi,1.321 mi,2.014 mi,1.181 mi,913 mi,822 mi,491 mi
Liquidez corrente,"1,90","2,11","1,46","1,15","1,04","1,65","1,27","1,29","0,80","0,85"
Liquidez seca,"1,83","2,04","1,41","1,11","0,99","1,60","1,23","1,27","0,80","0,84"
Liquidez imediata,"0,16","0,11","0,23","0,19","0,11","0,07","0,13","0,19","0,07","0,05"
Dívida bruta,12.868 mi,12.754 mi,11.526 mi,11.717 mi,5.595 mi,2.077 mi,2.111 mi,0 mi,0 mi,0 mi
Dívida líquida,5.004 mi,3.980 mi,4.522 mi,7.118 mi,3.528 mi,-401 mi,707 mi,-888 mi,-908 mi,-500 mi
Capital de giro,4.988 mi,5.820 mi,2.892 mi,1.001 mi,133 mi,1.381 mi,472 mi,288 mi,-302 mi,-163 mi
Endividamento geral,"49,82%","50,99%","47,35%","46,84%","102,02%","72,63%","71,10%","35,24%","394,94%","278,89%"
