Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"90,20 M","80,93 M","51,74 M","53,70 M","44,40 M","39,08 M","39,82 M","39,01 M","36,11 M","37,62 M","36,09 M","34,65 M","30,30 M","37,99 M","39,27 M","28,13 M","33,72 M","34,37 M","28,66 M","35,05 M","25,40 M","25,48 M","27,60 M","32,57 M","25,35 M"
Custos,"-27,36 M","-34,74 M","-8,31 M","-9,38 M","-9,47 M","-4,96 M","-7,23 M","-7,72 M","-7,32 M","-4,98 M","-4,47 M","-5,64 M","-5,09 M","-4,74 M","-3,81 M","-3,31 M","-2,96 M","-3,75 M","-3,80 M","-3,26 M","-2,35 M","-2,37 M","-2,41 M","-3,46 M","-3,20 M"
Lucro bruto,"62,84 M","46,20 M","43,43 M","44,32 M","34,92 M","34,12 M","32,59 M","31,29 M","28,79 M","32,65 M","31,62 M","29,00 M","25,21 M","33,25 M","35,46 M","24,83 M","30,76 M","30,62 M","24,86 M","31,79 M","23,05 M","23,11 M","25,19 M","29,11 M","22,15 M"
Despesas operacionais,"-37,58 M","-32,67 M","-35,86 M","-35,39 M","-31,15 M","-31,18 M","-33,15 M","-32,61 M","-36,89 M","-37,68 M","-44,76 M","-46,12 M","-48,90 M","-64,91 M","-57,26 M","-52,12 M","-54,82 M","-57,33 M","-47,61 M","-44,14 M","-34,88 M","-21,68 M","-32,23 M","-30,41 M","-31,73 M"
Despesas com vendas,"-4,99 M","13,47 M","-3,98 M","-4,62 M","-4,87 M","13,01 M","-4,84 M","-3,74 M","-4,43 M","23,44 M","-7,14 M","-7,83 M","-8,47 M","34,85 M","-10,09 M","-10,54 M","-14,22 M","42,37 M","-17,12 M","-14,05 M","-11,09 M","28,37 M","-10,89 M","-9,36 M","-8,96 M"
Despesas administrativas,"-32,62 M","-31,36 M","-31,51 M","-36,78 M","-31,63 M","-28,39 M","-33,82 M","-31,74 M","-32,83 M","-30,42 M","-37,72 M","-38,23 M","-40,26 M","-55,99 M","-46,59 M","-41,89 M","-40,05 M","-39,21 M","-30,48 M","-30,19 M","-23,98 M","-13,89 M","-21,27 M","-21,57 M","-22,74 M"
EBIT,"25,26 M","13,53 M","7,57 M","8,93 M","3,77 M","2,94 M","-559,00 Mil","-1,32 M","-8,10 M","-5,03 M","-13,15 M","-17,12 M","-23,69 M","-31,66 M","-21,80 M","-27,29 M","-24,05 M","-26,70 M","-22,75 M","-12,34 M","-11,83 M","1,43 M","-7,04 M","-1,29 M","-9,58 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-12,02 M","-7,24 M","-8,02 M","-3,74 M","-2,42 M","-3,56 M","934,00 Mil","-4,80 M","-2,02 M","-3,34 M","-4,70 M","-2,26 M","8,92 M","1,31 M","2,18 M","-1,45 M","8,36 M","2,39 M","-951,00 Mil","993,00 Mil","-9,96 M","1,36 M","-22,43 M","-7,76 M","-17,25 M"
Antes dos impostos,"13,24 M","6,29 M","-449,00 Mil","5,19 M","1,36 M","-620,00 Mil","375,00 Mil","-6,12 M","-10,12 M","-8,37 M","-17,85 M","-19,38 M","-14,77 M","-30,35 M","-19,62 M","-28,74 M","-15,70 M","-24,31 M","-23,70 M","-11,35 M","-21,78 M","2,79 M","-29,47 M","-9,05 M","-26,83 M"
Imposto,"-6,37 M","-4,43 M","-2,90 M","-3,23 M","-2,30 M","124,00 Mil","-126,00 Mil","40,00 Mil","-40,00 Mil","676,00 Mil","-812,00 Mil","760,00 Mil","-762,00 Mil","-161,00 Mil","-186,00 Mil","555,00 Mil","-992,00 Mil","-293,00 Mil","-369,00 Mil","-428,00 Mil","-283,00 Mil","421,00 Mil","-1,16 M","-476,00 Mil","-461,00 Mil"
Op. continuadas,"6,87 M","1,86 M","-3,35 M","1,96 M","-945,00 Mil","-496,00 Mil","249,00 Mil","-6,08 M","-10,15 M","-7,70 M","-18,66 M","-18,62 M","-15,53 M","-30,51 M","-19,81 M","-28,18 M","-16,69 M","-24,61 M","-24,07 M","-11,78 M","-22,07 M","3,21 M","-30,63 M","-9,53 M","-27,29 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"6,87 M","1,86 M","-3,35 M","1,96 M","-945,00 Mil","-496,00 Mil","249,00 Mil","-6,08 M","-10,15 M","-7,70 M","-18,66 M","-18,62 M","-15,53 M","-30,51 M","-19,81 M","-28,18 M","-16,69 M","-24,61 M","-24,07 M","-11,78 M","-22,07 M","3,21 M","-30,63 M","-9,53 M","-27,29 M"
Dos controladores,0,0,0,0,0,0,0,0,0,"-60,50 M",0,0,"-15,53 M","-95,19 M",0,0,"-16,69 M","-24,34 M","-24,07 M","-11,78 M","-22,07 M","3,35 M","-30,39 M","-9,38 M","-26,99 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-142,00 Mil","-241,00 Mil","-144,00 Mil","-297,00 Mil"
